코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11260620,-5538,-99.3333,5,102,-50.6667,-10.6667,8,123,17.33333,23.33333,281.3333,36.66667,9.333333,-62,0,10670.75,22,0,0,0,0,-1,0,0,0,1
11260630,6677,-10.3333,-29.6667,81.33333,16.33333,10,-0.33333,55.33333,28.33333,13,107,24.66667,-2.33333,-37.3333,0,1626.901,17,-1,0,0,0,0,0,-1,0,0
11260655,4000,-18.3333,-54,49,15.33333,-59.6667,24,125,59,18,236,23.66667,-36.6667,-55,0,21681.18,31,-4,0,0,0,0,0,1,0,2
11260660,1730,21.66667,-10.6667,90,56.66667,-3,-6.33333,78.33333,22.66667,14,35.66667,26.66667,6.666667,-34.3333,0,-4469.56,12,-1,0,0,0,0,0,0,-2,0
11260680,-1094,-71.6667,-5.66667,-34,-25.3333,6.333333,-28.3333,116,29.66667,33.33333,53.66667,40.66667,-11.3333,-18.6667,0,8410.04,20,2,0,0,0,0,0,0,0,0
11260690,-5850,-40,-48,-13,-44.3333,-28,-30.6667,70.66667,28.66667,21.33333,47.33333,32.33333,5.333333,-38,0,1944.517,10,-1,0,0,0,0,0,0,-1,1
11290525,6122,0,43,76.33333,105.6667,72.66667,79.33333,61.66667,20,11,88.66667,10.66667,8.666667,-3.66667,0,3345.081,17,-1,0,0,0,0,0,0,0,0
11290555,7815,-51.6667,-8,201.3333,-63.3333,-104,-86.6667,-31,-21,16,-114,-49,-64.6667,-26,0,14625.19,32,1,-1,0,0,0,0,0,0,2
11290575,12538,-25.6667,21,649.6667,116,-1.66667,43.33333,47.66667,2.333333,24.33333,215,15.33333,-3.33333,4,0,5415.443,37,0,-3,0,0,0,0,-1,1,0
11290580,-602,-20.6667,-45.3333,7,-5,-52,-12,16,14.33333,9,10,29.66667,10.33333,-37.6667,0,-13832.2,7,0,0,0,0,0,0,0,0,0
11290590,10386,-28.3333,-68.6667,38.33333,0.333333,-42.6667,25.66667,32.66667,19,-15,51.66667,29,29,-14.3333,0,-9274.45,5,1,0,0,0,0,0,0,0,0
11290600,28799,7.333333,53,1309.667,182.6667,45.33333,43.33333,38.33333,-1.33333,6,193.6667,12,-8.33333,-15,0,7538.505,47,2,1,0,-1,0,0,0,0,1
11290610,-3817,26.33333,-7.33333,52.66667,63,30.66667,56.66667,49,17,-9.33333,10,8.333333,23,-36.6667,0,-270.622,17,-3,-1,0,1,0,0,-1,0,1
11290620,21581,7.666667,-4.66667,184,32,15.66667,28.66667,36.66667,15.33333,28.33333,47.66667,5,31,-15.6667,0,-11762.1,15,1,0,0,1,0,0,0,0,1
11290630,-4588,-31.6667,-34.6667,134.6667,66.66667,-15.6667,-14.6667,24.33333,52.66667,32.33333,25.66667,47.33333,31,-16.3333,0,-25088.4,16,3,0,0,1,0,0,0,0,0
11290640,-8599,-10,92,1156,127.6667,33.33333,5,27.33333,4.666667,24.66667,178.3333,80.66667,-18,-19.6667,0,-1625.26,15,2,0,0,0,0,0,0,0,0
11290650,-15745,-28.6667,-18.6667,196,-22.3333,-65,12,6.666667,-17.6667,23,89.66667,14.66667,-41.3333,-16.3333,0,-6115.23,18,1,0,0,0,0,0,0,0,1
11290660,7425,-97.6667,2.666667,14,-75.3333,-32,79,32.66667,29.66667,4.333333,19,52.33333,-18,5.333333,0,-25658.5,7,-1,0,0,0,1,0,0,0,1
11290685,-27015,46.66667,-5.66667,81.33333,20.33333,65.66667,72.33333,44.66667,58.66667,14.33333,30.33333,42.66667,37.66667,16.33333,0,-7518.18,8,0,0,0,0,0,0,0,0,0
11290705,-1070,-45.6667,35.33333,1142.333,195,-10.3333,23,66.33333,47.33333,20,164.6667,49.33333,-4,-26,0,15222.96,27,0,0,0,0,0,-1,0,0,1
11290715,4917,-45,-32.3333,33,15.33333,-28,42.33333,58.66667,16.33333,28,54.66667,44.33333,2.666667,-35,0,-4259.63,13,1,0,0,0,0,0,0,0,0
11290725,8024,-4.33333,7,290.3333,164,6.333333,41.33333,80,13.66667,8,233,38.33333,-32.6667,-15.3333,0,11294.67,24,2,0,0,0,0,0,-1,1,2
11290760,3848,-12.3333,-9.33333,67.33333,59,-10.3333,-4,73.66667,17.33333,27.33333,91.66667,46.33333,-16,-12.3333,0,-6180.74,12,-1,0,0,0,0,0,-1,0,0
11290770,1680,26,18,177,169.3333,40.33333,5.333333,46.33333,5.333333,7.666667,172.3333,68,33.66667,-9.33333,0,2227.678,8,1,0,0,0,0,0,0,0,1
11290780,-849,25.66667,-19.3333,133.6667,96,6.333333,2.666667,56.33333,36.33333,-1,66.66667,41,22.66667,-10.6667,0,-46130.1,8,-1,0,0,1,0,0,0,0,0
11290810,2883,33.33333,-12.6667,513.6667,179.6667,52,93,107.6667,44.66667,39,181.3333,123.6667,-7.66667,-34,0,7805.369,23,1,0,0,0,0,-1,0,0,0
11305534,2134,-49,-28.6667,6.333333,-25,-63.3333,16,87.33333,1.666667,5.666667,-1.66667,27.66667,-19,-28,0,4266.594,13,-1,0,0,0,0,0,-1,0,3
11305535,18271,-14.3333,-16.3333,231.3333,107,27.33333,48.33333,90,25.66667,18.66667,213.3333,42.33333,10.33333,-45,0,702.7858,32,0,0,0,0,0,0,0,0,1
11305545,-36,21.66667,-17.3333,186.3333,48.33333,19,120.6667,125.3333,28,33.33333,89.66667,71.33333,2,-23.3333,0,19899.73,28,0,1,0,0,0,-1,1,0,1
11305555,3534,-35.3333,-41,74.33333,-13.3333,47,38.33333,86,57.33333,20,80.66667,66,-25.6667,-32.6667,0,-2431.73,23,-1,-1,0,1,0,-1,0,1,0
11305575,1036,-52.3333,-68,-5.33333,-12.6667,-55.6667,1.333333,51.66667,40,18,50,39,12,-7,0,5463.627,9,0,0,0,0,0,0,0,0,0
11305590,-2068,0,-3,210.6667,103.3333,23,77.33333,22.66667,8.333333,28.33333,148.3333,60,-19,-14.6667,0,-128.721,30,1,-5,0,0,0,0,-1,0,0
11305600,-10230,-29.6667,-27,13,-5,-36.3333,-9.66667,19,-2,27.33333,53.33333,21.33333,-47,-28.3333,0,-11327.4,7,1,0,0,0,0,0,0,0,0
11305606,-3238,-20.3333,-62,-30.3333,-49,-59,17.33333,32.33333,23,26,79.33333,42.66667,-14,-34,0,-8425.94,11,1,0,0,0,0,0,0,0,0
11305610,2759,-13.3333,-37.3333,5.333333,30.66667,6.333333,-19,103,29.33333,25,61.66667,12.66667,-5.33333,-46,0,-24599.3,23,1,-1,0,0,0,0,-1,0,1
11305620,2948,-16.3333,-34.3333,19.33333,-23.6667,-3,-16.6667,34.33333,15.66667,29.33333,76.33333,12.33333,0.333333,-14,0,616.4695,17,0,0,0,0,0,0,-2,0,1
11305630,14193,-32.6667,-35,252,29,-2.33333,88.33333,30,28.33333,32.66667,252.3333,48.33333,-28,-34.6667,0,-10013.6,35,1,0,0,0,-1,1,3,1,1
11305645,-3139,-47,-20.6667,-9,27.66667,18.33333,-29.3333,61.33333,-2,35.33333,72,29,-17.6667,9.333333,0,6301.736,17,2,0,0,0,0,-1,-1,0,3
11305660,-1414,-53.6667,-55.6667,29,-14.3333,-103.333,55.33333,46.66667,44,29.33333,125,60.66667,15.33333,-62.6667,0,9310.6,27,-2,0,0,-1,-1,0,0,0,0
11320511,10497,-42,-67,-3.66667,-9,-88.3333,-25.3333,63.66667,17.66667,21,56.33333,56,-38.3333,-50,0,-19970.6,15,0,0,0,0,0,0,0,0,1
11320512,207,-51.6667,-15.3333,20.66667,-20.3333,-14.3333,4.333333,94.33333,42.33333,27,78.66667,59,-32.3333,-11,0,-1896.79,22,2,0,0,0,-1,-1,0,0,0
