CD,남자 인구수,여자 인구수
11260550,"5,189","4,939"
11260565,"17,938","17,987"
11260570,"11,052","11,125"
11260575,"13,532","13,455"
11260580,"12,560","13,077"
11260590,"9,200","9,432"
11260600,"10,318","10,559"
11260610,"14,544","13,578"
11260620,"17,680","18,449"
11260630,"9,997","10,236"
11260655,"16,078","15,664"
11260660,"9,166","9,051"
11260680,"20,161","20,939"
11260690,"10,886","11,708"
