이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
상계5동,11350670,5268,-39.333,-57.667,13.333,-5,-102.667,27,11.667,16.667,19,-84,4.667,64,229,12,1,8.3
상계6.7동,11350695,-13495,-106.333,-54,73.667,-65.667,-76.667,20,63.333,11.333,9,-221.667,-179.667,105,290.333,28,0,7.1
상계8동,11350700,3184,-64.667,-52,47,-64.667,-32,36,33,13.333,5.6667,-192.667,-111,73.667,244,6,1,0
상계9동,11350710,-27948,-48.667,-62.333,4,-44.667,-47.667,23.667,38.667,34,0.6667,-97.333,-93.667,-10,228.667,7,0,0
상계10동,11350720,-19975,-42.667,-33.667,40,-39.333,-41.667,20,34.667,1.6667,1.3333,-78.667,-123,139,82.333,5,0,0
녹번동,11380510,-10014,10.667,-17.333,101.333,41.667,19.667,124.333,105.667,35.667,38.6667,-723.333,-879.667,-547,-198.667,26,2,0
불광1동,11380520,2171,-47,-84.667,62,-9.333,-66.667,10,88,71.667,47.667,-572.333,-250,201,284.667,13,1,15.4
불광2동,11380530,-17416,-11.333,-38,84,41.667,32.333,28.333,47.667,23.667,19.3333,-514.333,-44.333,98.333,184.667,25,1,0
갈현1동,11380551,-12234,-22,-86.667,73.333,65.667,-32,1.333,45.333,19.333,13,-410.333,-41.667,91,165.333,21,0,4.8
갈현2동,11380552,552,-11.667,64.667,87,17.667,9.667,91.667,39.667,57.667,15.3333,-360,-180.667,111.667,188.333,34,0,5.9
구산동,11380560,-19714,-23.333,-40,99.333,35.667,-3.667,89,58,63,29,-571,-210.333,29.667,181,24,1,0
대조동,11380570,-25054,-45.667,-33.667,89,43,-42.333,64,55.333,28.333,23.6667,351.333,404.333,408.667,504.333,33,1,6.1
응암1동,11380580,-1349,-1,-72.333,57.667,22.667,18.667,55,35.667,45,11,-437.667,-109.333,43.667,148.333,27,0,3.7
응암2동,11380590,-2056,-31,-22.667,22,25,4.667,-12.667,-11.333,-9,6,-414.333,-538.333,-449.667,-228,4,0,25
응암3동,11380600,-9959,-23.333,-77,90,22.667,-1.667,68,95.333,47.333,21.3333,-402.667,-111.667,131.333,120.667,28,0,7.1
역촌동,11380625,1525,-68.333,-41,178.667,34.667,24.333,118.333,68.667,78.333,47.333,-501,-187,253.333,409.667,41,0,4.9
신사1동,11380631,9567,-45.333,-25.667,79.333,27.333,14.667,23,72.667,55.667,3.6667,-362,-248.667,-30.333,118,20,1,10
신사2동,11380632,-7514,-20,-65.333,44.667,98.333,-39,87.667,42.667,34.667,13,-278.667,-67.333,34.667,156.667,12,1,0
증산동,11380640,-38809,-20.667,-45.333,-7.667,-26.667,-51.667,-4.667,30.333,15.333,3.3333,-98.667,-81,44.667,114,16,1,0
수색동,11380650,-18245,-32.3333,-67.6667,-98,-100,-133,-169,-121,-84,-35,502.333,350.3333,247,276.6667,1,1,0
진관동,11380690,14864,-125,108,173,159.667,66.33,172.333,119.667,69.667,25.667,-1110.67,-396,-174,79.333,32,1,3.1
천연동,11410520,-27948,2.333,-15.333,67.667,48.333,0,50,57,-1,17.3333,29.667,-78.667,50,150.333,10,0,0
북아현동,11410555,84221,37,-7.333,98.667,111,46.333,98.667,49.667,2.667,9.6667,-52,1.667,-24.333,110.333,8,0,0
충현동,11410565,-1916,10.3333,-13.333,125.667,94,16.667,47,29.333,-13.667,19.6667,-232,-75.333,40.667,104,27,2,7.4
