NM,CD,GUBUN,,자치구,행정동,,,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
마장동,11200540,dong,성동구마장동,성동구,마장동,11602,11886,4862,2286.333333,1753.666667,1461.333333,363.6666667,1393,1865,4430,3464,3297,3856.333333,2812.333333,1654.666667,619.6666667,22683.12344,11247.51731,15,0,1,121371
사근동,11200550,dong,성동구사근동,성동구,사근동,6014,5649.333333,5235.333333,968,567,473.3333333,131.3333333,478.3333333,888.6666667,4128,1689.666667,1251.666667,1273.666667,926.3333333,738.3333333,248.3333333,10857.30951,7497.643593,34,5.9,2,137744
행당1동,11200560,dong,성동구행당1동,성동구,행당1동,7929,8362.333333,3007,1515.333333,1315.333333,1044.666667,219.3333333,1096,1209.666667,2701.666667,2690.333333,2531,2673,1829.666667,1092,402.3333333,18492.3891,6554.926769,18,0,1,173800
행당2동,11200570,dong,성동구행당2동,성동구,행당2동,11709,13158.66667,2374,2369.666667,2187.333333,1965.333333,412.6666667,2097,2407.333333,3092.333333,3931,4528,3869.666667,2609.333333,1625,594.6666667,22985.32143,916.803916,7,14.3,1,154958
응봉동,11200580,dong,성동구응봉동,성동구,응봉동,7698.666667,8556,1627,1401,1437.666667,1310,298.3333333,1331.333333,1854.333333,1782.333333,2392.666667,3176.333333,2389.666667,1654.666667,1152.666667,459.6666667,16979.20166,482.8603561,3,0,1,127135
금호1가동,11200590,dong,성동구금호1가동,성동구,금호1가동,7698.666667,8355.666667,2137.666667,1638.333333,1431.666667,1104,248.6666667,1339.666667,1236.333333,1959,2968.333333,2656.666667,2458.666667,1879.333333,1045.666667,450.6666667,16766.95716,1033.993628,9,11.1,1,163240
금호2.3가동,11200615,dong,성동구금호2.3가동,성동구,금호2.3가동,11556.33333,12643.33333,3627.666667,2551.666667,2137.333333,1555,336.6666667,1913.666667,1728.333333,3034.333333,4536.333333,3982.666667,3672.666667,2804.333333,1745.333333,654,24298.02228,1255.411188,13,7.7,0,120814
금호4가동,11200620,dong,성동구금호4가동,성동구,금호4가동,7325.666667,7949.333333,2166,1585.666667,1445.666667,968,206,1531.666667,1010,1705.333333,2994,2669.666667,2219,1679,1026,379.3333333,13513.46092,904.4300908,9,0,1,102596
옥수동,11200645,dong,성동구옥수동,성동구,옥수동,12674.33333,14373.33333,3246.333333,2824.666667,2577.333333,1808,432.3333333,2742.333333,1781.333333,3222.666667,5445.666667,4419.666667,4008,2943.333333,1650,695.3333333,43289.72555,3600.526812,14,7.1,1,161951
성수1가1동,11200650,dong,성동구성수1가1동,성동구,성수1가1동,8615,8577.333333,3107.333333,1682.333333,1297.666667,1191.666667,235.3333333,1146.666667,1357.666667,2678.666667,3001.666667,2721,3089,1869,934,344.3333333,14873.36016,7198.037059,21,9.5,0,96824
성수1가2동,11200660,dong,성동구성수1가2동,성동구,성수1가2동,7585.333333,7616.666667,3057,1400.333333,1115.666667,873.3333333,216,958.3333333,1089.666667,2452.666667,2821.666667,2456.333333,2386,1708,930.6666667,341.6666667,13815.66294,16116.61655,29,0,2,139305
성수2가1동,11200670,dong,성동구성수2가1동,성동구,성수2가1동,9130.333333,8409.333333,4138,1799.333333,1296.333333,982,219.6666667,941.6666667,1156,2494.333333,2765,2641.333333,3420.666667,2394.666667,1200.333333,443,18463.37966,45250.15648,23,17.4,0,83615
성수2가3동,11200690,dong,성동구성수2가3동,성동구,성수2가3동,5944.666667,5597.666667,2941.333333,1087,786.3333333,661.3333333,171.3333333,681.6666667,614.3333333,2029.666667,2113,1576.333333,1954.666667,1444,785.6666667,302,10947.13361,49529.70219,55,7.3,1,107947
송정동,11200720,dong,성동구송정동,성동구,송정동,5994.333333,5253.666667,2760.333333,1145.666667,809.6666667,610,154.3333333,619.3333333,709.3333333,1722,1824,1714,2152,1460,744.6666667,263.3333333,14444.38555,2412.313701,7,14.3,0,86274
용답동,11200790,dong,성동구용답동,성동구,용답동,7460.333333,6579.666667,4030.666667,1214,762.6666667,608.6666667,133,580.3333333,869,2192.666667,2051.333333,2266.666667,2646,1820.333333,1145.666667,421,14626.74448,27049.87303,16,0,3,126667
광진구,11215,gu,광진구계,광진구,계,172574,182640,74903,33501.33333,26612.33333,23248.33333,5146.666667,22908,28933,61411.66667,60111.66667,55962.66667,56416.33333,38982.66667,21458,7721.333333,342186.6582,78075.78778,399,6.3,9,112690
화양동,11215710,dong,광진구화양동,광진구,화양동,10408.33333,11295,12872.66667,1966,742,579.6666667,105.6666667,514.3333333,815.6666667,8625,4280.333333,2231.666667,2097,1665.333333,1019.666667,378,22131.67126,6351.042712,67,3,1,159344
군자동,11215730,dong,광진구군자동,광진구,군자동,9819.666667,10081,6080,2022.333333,1363.333333,1003.333333,231.6666667,1098.666667,1200.333333,4124.666667,3694.666667,2743.666667,2976.666667,2192.666667,1348.666667,459,19829.25006,7012.094333,27,3.7,0,101852
중곡1동,11215740,dong,광진구중곡1동,광진구,중곡1동,7909,8155,3984.666667,1844.333333,1186,816.3333333,184.3333333,914.3333333,906.3333333,2625.666667,3174.666667,2381.666667,2639.666667,1913,1149,303,16599.32744,4203.832646,15,0,0,75879
중곡2동,11215750,dong,광진구중곡2동,광진구,중곡2동,10766,11560,4634,2403.333333,1743.333333,1355,315,1446.333333,1579,3740.333333,4130,3248,3751.666667,2552,1391.333333,417.3333333,22558.99796,4062.356027,25,0,0,84340
중곡3동,11215760,dong,광진구중곡3동,광진구,중곡3동,8717.666667,8818.333333,4058.333333,1903.666667,1302.666667,915.6666667,243,960,1180.666667,2735,3008.666667,2584.666667,3203.666667,2159,1236.666667,392.3333333,17491.97768,2379.731835,21,4.8,1,88184
중곡4동,11215770,dong,광진구중곡4동,광진구,중곡4동,15104.33333,15504,4941.333333,3146.333333,2547.333333,1980.666667,459.6666667,1830.333333,2332.333333,4622,4719.333333,4692,5625.666667,3869.666667,2138.333333,658,31257.58943,2583.32197,22,9.1,0,107573
능동,11215780,dong,광진구능동,광진구,능동,5353.333333,6198,3610,1301.333333,726.6666667,529.3333333,144.3333333,657.6666667,592.6666667,2274.666667,2754,1638.666667,1454,1160,717.3333333,250.6666667,11525.46215,3408.174867,17,17.6,3,141825
광장동,11215810,dong,광진구광장동,광진구,광장동,17504,18555,2184.666667,1937.333333,3023.666667,3935.333333,714.3333333,3547.666667,5752.666667,4211.333333,4220.666667,8012,5239.666667,2765.333333,1452.333333,732.6666667,28932.01122,7083.297429,25,8,1,134854
자양1동,11215820,dong,광진구자양1동,광진구,자양1동,11225,12024.33333,5738.666667,2433.333333,1677,1313.333333,307,1190,1728.333333,4238,4092.666667,3601.666667,3743.333333,2611,1471.666667,491,21237.24674,9115.693864,25,12,0,116670
자양2동,11215830,dong,광진구자양2동,광진구,자양2동,13268,13724.66667,4038.333333,2527,2197.666667,1904,431,1956,2161.333333,4014.666667,4546,4344.666667,4435.333333,3298.666667,1602.666667,542.6666667,28030.79968,5267.878494,21,4.8,1,86169
자양3동,11215840,dong,광진구자양3동,광진구,자양3동,14313.66667,15374.33333,2912,2450.333333,2453,2555.666667,508.6666667,2682.333333,2913.333333,4104.333333,4652.666667,4889.333333,4825.666667,3211,1531.666667,764.6666667,32379.63389,3298.507606,25,8,1,104263
자양4동,11215847,dong,광진구자양4동,광진구,자양4동,9651.333333,9581.333333,5044.333333,2015.666667,1339.333333,922,236.6666667,862,1031,2884.666667,3020,2760.333333,3578.666667,2865.333333,1593.333333,549.3333333,21714.05985,2905.509055,30,20,0,151943
구의1동,11215850,dong,광진구구의1동,광진구,구의1동,10767.66667,11753,6544.666667,2394.333333,1563.333333,1101,279,1096.333333,1413,4581.666667,4463.666667,3378.666667,3354.333333,2240,1416,496,22801.14628,4570.354098,30,6.7,0,98417
구의2동,11215860,dong,광진구구의2동,광진구,구의2동,13410,14261,4178,2594.666667,2275.666667,1965,458.6666667,2049.666667,2544.666667,3732.333333,4356,4589,4569.333333,3287.666667,1803.333333,635,25647.62543,3437.415686,18,0,0,110268
구의3동,11215870,dong,광진구구의3동,광진구,구의3동,14356,15755,4081.333333,2561.333333,2471.333333,2372,527.6666667,2102.333333,2781.666667,4897.333333,4998.333333,4866.666667,4921.666667,3192,1586,651.6666667,21435.1593,9847.335332,31,0,1,129571
동대문구,11230,gu,동대문구계,동대문구,계,173064.6667,174143.3333,76426,33563,26152,21625,5377,22637.66667,26449.33333,54304.33333,52289,53425.33333,55316.66667,43487.33333,27517,10085.66667,336386.7409,91888.10305,379,5.5,7,120300
용신동,11230536,dong,동대문구용신동,동대문구,용신동,15692,14800.66667,10594,3138.333333,1915.666667,1442.333333,353.3333333,1509.333333,1629,5340.666667,5148,4433.666667,4901.333333,3777.333333,2596.666667,982.3333333,30616.66953,28699.77514,55,10.9,2,105622
제기동,11230545,dong,동대문구제기동,동대문구,제기동,12885.66667,12277.33333,6961.333333,2593.333333,1697.333333,1247.666667,369,1169.666667,1548.333333,4137,3561.666667,3353.333333,4058,3636,2523,1021.333333,24382.72089,6193.527805,27,3.7,1,120281
전농1동,11230560,dong,동대문구전농1동,동대문구,전농1동,15422.66667,15148.33333,7357,3004.333333,2382.666667,1773.666667,435,2043,2182.666667,4580.333333,4535.666667,4553.333333,5143.333333,3904,2534,933,32346.78954,2971.634999,30,0,0,131730
전농2동,11230570,dong,동대문구전농2동,동대문구,전농2동,9551,10318.33333,2257.666667,1845.333333,1694,1431,383.6666667,1436.666667,1950.666667,2480.666667,2540.333333,3295.666667,3343.666667,2518.333333,1569.333333,658,17329.06539,2961.755211,15,0,0,110345
답십리1동,11230600,dong,동대문구답십리1동,동대문구,답십리1동,14226.66667,14918,4918,2646.666667,2432.333333,2058.333333,496.6666667,2863.333333,2102,4008.666667,5672.666667,4626.333333,4370.333333,2936,1765.666667,670.3333333,26209.92989,4955.736164,30,6.7,0,122505
답십리2동,11230610,dong,동대문구답십리2동,동대문구,답십리2동,14444.66667,14977.66667,4611.333333,3175,2492,2097.333333,489.3333333,1948,2365.333333,3885.333333,4209,4640.666667,5126.666667,3867.666667,2387.666667,870.3333333,28184.356,3935.296247,17,5.9,0,92942
장안1동,11230650,dong,동대문구장안1동,동대문구,장안1동,19314.66667,19246.66667,7498,3865,3042.666667,2501.666667,616,2762.333333,2831.333333,5211,6635.333333,6408.333333,6175.666667,4930.666667,2657,797,34570.22363,13095.00444,53,3.8,0,111149
장안2동,11230660,dong,동대문구장안2동,동대문구,장안2동,15720.33333,15621.33333,4653,3025.666667,2814,2477.333333,550.3333333,2779.333333,2910.666667,3627.666667,4922.333333,5627.666667,4820,3838.333333,2060.666667,626.3333333,29534.35563,6827.604566,32,6.3,0,101092
청량리동,11230705,dong,동대문구청량리동,동대문구,청량리동,10933,10851.33333,4999.666667,2327.666667,1551,1148,322,1038.666667,1342,2662,2657.666667,2972.666667,3986,3588.666667,2439.666667,941.3333333,21657.96505,5937.423525,18,0,1,144200
회기동,11230710,dong,동대문구회기동,동대문구,회기동,4942,5408,3885,887.3333333,574.3333333,482.6666667,138.6666667,547,765,2853,1604,1380.666667,1189.666667,957,709.3333333,276,9324.164006,3903.39413,22,13.6,0,169733
휘경1동,11230720,dong,동대문구휘경1동,동대문구,휘경1동,6427.333333,6385,4030,1348.333333,976.6666667,818,202.6666667,566,826,2756.333333,1877.666667,1772.666667,1965,1531,1059.666667,398,15884.13485,2126.528084,17,5.9,1,144556
휘경2동,11230730,dong,동대문구휘경2동,동대문구,휘경2동,12156.33333,12457,5515.333333,2088.666667,1811,1609.333333,399,1502.333333,2289.666667,5053.666667,3245.333333,3688,3619,2836,1697.666667,588.6666667,21190.68223,3330.200359,17,0,0,101796
이문1동,11230740,dong,동대문구이문1동,동대문구,이문1동,10933,10832.33333,6264.333333,1695.333333,1133,971.3333333,240,971.3333333,1697.333333,4845,2852.333333,3114.333333,3145.666667,2518.333333,1791.666667,696.3333333,26407.64577,5841.429426,33,9.1,1,121254
이문2동,11230750,dong,동대문구이문2동,동대문구,이문2동,10415.33333,10901.33333,2881.333333,1922,1635.333333,1566.333333,381.3333333,1500.666667,2009.333333,2863,2827,3558,3472.333333,2648,1725,626.6666667,21278.61229,1529.215034,13,0,1,206204
중랑구,11260,gu,중랑구계,중랑구,계,199992.6667,202605,75585,41822,31729.66667,25132.33333,6090.666667,25960.33333,30234.66667,57357.66667,61742.66667,61229,72042.33333,52924.66667,29513.66667,10014.33333,407633.339,53332.25359,295,3.1,11,90570
면목2동,11260520,dong,중랑구면목2동,중랑구,면목2동,13069.66667,12993.66667,5557.333333,2759.333333,1940.666667,1535.333333,367.6666667,1580,1926,3537,3826,4181.333333,5023.333333,3358.333333,1900,633.3333333,25645.57412,2634.698145,21,0,0,82122
면목4동,11260540,dong,중랑구면목4동,중랑구,면목4동,10131.66667,10230,3939,2138.666667,1613.666667,1171.333333,285.3333333,1259.333333,1459.333333,2857,3143.333333,3222.333333,3431,2747,1734,428.6666667,27399.55371,2472.009364,11,0,1,76314
면목5동,11260550,dong,중랑구면목5동,중랑구,면목5동,5085.666667,4845.333333,1913.666667,1074,786,584,128.3333333,588.3333333,736.6666667,1335.333333,1491.333333,1531,1884.333333,1327.666667,760,243,10728.7526,1178.983802,7,0,0,71496
