NM,CD,GUBUN,종로구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
답십리1동,11230600,dong,동대문구,답십리1동,14198.66667,15063.66667,4918,2646.666667,2432.333333,2058.333333,496.6666667,2808,2027.666667,4037.333333,5533,4687.333333,4361.666667,3109,1829.666667,736.3333333,28735.15193,7647.180239,35,6.3,0,150329
답십리2동,11230610,dong,동대문구,답십리2동,14700,15424,4611.333333,3175,2492,2097.333333,489.3333333,1941,2198,4071.333333,4510.333333,4594.333333,5138.333333,4098,2480.333333,958,30141.05246,2772.334329,16,5.7,0,82414
장안1동,11230650,dong,동대문구,장안1동,19229.33333,19350,7498,3865,3042.666667,2501.666667,616,2658.333333,2697.666667,5213,6434,6432.666667,6123.333333,5182,2811,860,35150.95781,9894.534262,55,6.3,0,98391
장안2동,11230660,dong,동대문구,장안2동,16526.66667,16449,4653,3025.666667,2814,2477.333333,550.3333333,2968.666667,2941.666667,3893.333333,5199.333333,5793,5009.333333,4096.333333,2231.666667,711.3333333,30339.60791,6138.22293,38,7.3,0,96224
청량리동,11230705,dong,동대문구,청량리동,10562,10520.33333,4999.666667,2327.666667,1551,1148,322,923.3333333,1246.666667,2491.666667,2496.333333,2782,3769.666667,3743.666667,2481.333333,980,21298.15157,4920.123579,16,2.6,1,88654
회기동,11230710,dong,동대문구,회기동,4894.333333,5369.333333,3885,887.3333333,574.3333333,482.6666667,138.6666667,512.6666667,735.3333333,2920.333333,1483,1364.333333,1197,960.6666667,701.3333333,320.6666667,9183.971682,718.3711263,24,0,0,134507
휘경1동,11230720,dong,동대문구,휘경1동,7092,7257,4030,1348.333333,976.6666667,818,202.6666667,758,871,3116,2186,1850,2245.666667,1689.333333,1103,454,15203.16118,1867.224945,19,4.2,1,148726
휘경2동,11230730,dong,동대문구,휘경2동,12080,12247.66667,5515.333333,2088.666667,1811,1609.333333,399,1364.333333,2168,5123.333333,3077.666667,3607.666667,3539.666667,2900,1791.333333,642.3333333,21164.59711,3827.556652,17,5.3,0,118081
이문1동,11230740,dong,동대문구,이문1동,9293.333333,9398.666667,6264.333333,1695.333333,1133,971.3333333,240,762.6666667,1416.333333,4529,2244,2589.666667,2646.666667,2195.333333,1517.333333,657.6666667,19772.53241,4169.739229,30,5.9,1,126852
이문2동,11230750,dong,동대문구,이문2동,10090.66667,10612.66667,2881.333333,1922,1635.333333,1566.333333,381.3333333,1378,1929,2807.333333,2605.666667,3341.666667,3408.333333,2690,1782.333333,664.6666667,20390.52165,2183.18167,14,10,1,92502
중랑구,11260,gu,중랑구,계,196454,199775.3333,75585,41822,31729.66667,25132.33333,6090.666667,24278,28153.33333,56138.33333,59077.66667,59118.66667,70591.66667,55561.66667,30528,11054.66667,400816.3355,39778.16107,311,0,11,93783
면목2동,11260520,dong,중랑구,면목2동,12773.33333,12728,5557.333333,2759.333333,1940.666667,1535.333333,367.6666667,1422.666667,1735.333333,3482,3531,3936,5028,3561.333333,1976.333333,715,25185.82813,1465.685918,22,2.6,0,75998
면목4동,11260540,dong,중랑구,면목4동,9808,9851.666667,3939,2138.666667,1613.666667,1171.333333,285.3333333,1165,1327.333333,2612,2876.666667,3122.333333,3359,2835.333333,1787.333333,484.6666667,26513.53844,2173.548028,13,9.1,1,68950
