임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
-5456,18,139.333,1619.333,210.333,61.333,129.333,110,46,14.3333,-439.333,-83.333,42.667,164.333,174.2832,-4384.34,27,-1,-1,0,0,0,0,0,0,1,3.7
33751,13.667,-31.333,159.333,97.667,-27.333,85,53.333,8.333,21.6667,-734,-268.333,-173.667,76.333,21.91164,-13709.6,30,0,-1,0,0,0,-1,-2,0,0,0
33170,-37,-12.333,217,18,-37,21.667,61,12,39,-229.667,-78.333,42,109,-59.4449,17896.46,15,1,0,0,0,0,-1,0,0,0,0
-27671,300.333,60.667,212,473,264.333,194.333,129.667,50,23.3333,-680,-457.667,-319.333,-179.333,52.18599,14102.76,32,3,-2,0,0,0,1,0,1,0,9.4
11608,-48.333,-72.667,71,-3.667,-59.333,50,39.333,-8.333,20,-648.333,-388,-109,71.667,-13.5592,2005.692,16,-2,1,0,0,-1,0,0,0,0,0
7506,-33.333,-14.333,141.333,57.667,131.333,59,57.333,50,28.3333,-668,-261,54.333,153.333,296.7993,-4512.12,54,-2,1,0,0,0,0,0,0,0,5.6
-982,-52,14,15.667,47.667,25,36.667,42.333,12.333,-1.6667,-505,-424.667,-187,-52.333,106.1336,-17070.5,34,0,0,0,0,0,1,1,2,0,2.9
34827,-18.667,-12.333,155.333,74,100.333,153,67,6.667,35.3333,-210.667,-29.667,83,158,-59.1337,5525.78,17,0,0,0,0,-1,0,-1,0,1,0
38348,2,256.3333,1878.667,109,26.667,13,6,20,5.3333,-205,-27.3333,34.6667,55.3333,8.246608,14756.08,25,-1,0,0,0,0,-1,2,1,0,8
-20172,14.6667,65.3333,1183.667,110.667,53.667,60.667,12.333,27.667,6,-237,-123.333,-115.667,-100,52.10297,-6462.97,17,1,0,0,0,0,0,-2,0,1,0
-1888,-35.333,7.667,278,22,3.333,10,57.333,26,17.3333,-622.333,-70.667,34,164.667,-0.8695,13740.73,16,0,0,0,0,0,0,0,0,0,6.3
-2447,27,183.667,2511,260,40.667,104.667,32.333,-17.333,36,1720.667,845.667,672,508.6667,-537.555,-11384.8,36,2,-1,0,0,0,0,0,0,1,0
-23800,-18,21.333,217,93.333,-14.333,69.333,53.333,22,18.6667,-126.333,5,73.667,165.667,23.70876,-209.313,14,0,0,0,0,0,0,0,0,1,0
12049,-32.667,-40,66.333,2,-65,28.333,50,19.667,23.3333,-336.333,-87.333,130.333,156.667,70.73015,73269.41,21,-1,0,0,0,-1,0,0,0,0,4.8
5070,17,-58.667,77.333,42,34,51.333,35.667,32.333,1.3333,6,-23.667,73.333,176.667,-8.03035,28278.58,13,0,0,0,0,0,0,0,0,1,0
2260,-30,-29,-46,-12.667,-36.333,34.667,14.333,9.3333,6.3333,-17.667,19,28,64,64.89819,568.3651,6,0,0,0,0,0,0,0,1,0,0
-8527,29.667,-53.333,203,173.333,20,210,84.667,20,7.6667,-469,-116,124.667,197.333,198.1732,-20179,29,1,0,0,0,1,1,0,0,1,0
-51185,-23,-25.333,26,39.667,6.667,64.333,19.667,20,10,-202,-193.667,-1,71,26.76431,9600.036,17,1,0,0,0,0,0,0,0,0,5.9
1101,-3,-27.667,116,41.333,-19,54.333,63.333,37.333,12,-184,-96.667,93,157.667,-259.256,-11591.7,20,-1,0,0,0,1,0,-1,0,1,0
-16080,-4.333,-50,19.667,55.667,-20.667,-30.667,56,16,12.6667,-233.333,-122,-2.667,133.333,-51.8975,-928.979,15,3,0,0,0,0,0,0,0,0,0
4842,18.3333,-7.667,143.333,168.667,68.333,95.333,29,14.667,2.3333,-1224,-239.667,31,118,-74.2954,-7272.35,35,0,-2,0,0,0,0,-4,0,2,2.9
-22984,-48.333,-19.333,26.333,-24.667,-8.333,40.667,47,8.333,-0.3333,-280.333,-169.667,-10.333,151.333,96.04384,16423.53,18,0,0,0,0,0,0,0,1,1,0
-14292,-10,21,149.667,103.667,77.333,156.667,94,19.667,39,-237.333,-20,205,243,236.7342,-5494.81,15,0,0,0,0,-1,0,1,0,1,6.7
-19865,-44,-1,38.333,14.667,15.333,38.667,13.333,57,18.6667,-259.667,-200.333,33.333,188,70.9224,-1052.85,23,3,0,0,0,0,0,-1,0,1,0
32333,-0.333,-39,11.333,84,0.667,46.667,44,26.333,10.6667,-233,-48.333,78.667,135.667,56.4512,4874.544,13,0,0,0,0,0,1,0,0,0,15.4
