자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
동작구,사당1동,982,1094,5353,5006,3080,3538,3002,1688,461,64
동작구,사당3동,2304,1783,3718,4546,4043,4047,3434,1964,599,101
동작구,사당4동,836,863,2665,2735,2174,2263,1901,1197,348,68
동작구,사당5동,942,961,2079,2233,2053,2020,1523,900,327,44
동작구,대방동,2627,4507,6594,5837,7141,5980,3960,2396,990,141
동작구,신대방1동,1901,2754,3413,3637,4930,4868,3038,1588,606,101
동작구,신대방2동,1649,1833,3459,3609,3408,2848,2100,1384,477,61
동작구,흑석동,2506,2568,7290,5267,5003,5309,3851,2502,1056,180
동작구,노량진1동,2178,2135,5681,5413,4521,5001,4005,2465,1020,157
동작구,사당2동,2021,1811,3907,4979,4265,4497,3836,2339,762,127
관악구,계,26925,32239,110655,93485,74466,74987,58092,35644,11507,1559
관악구,보라매동,1520,1665,4922,4664,3687,3915,3261,1996,653,91
관악구,청림동,1556,1234,2007,2824,2738,2366,1889,1206,486,56
관악구,행운동,1410,1545,7681,6347,3916,3801,3167,2023,596,80
관악구,낙성대동,898,957,5535,3806,2202,1757,1348,942,311,41
관악구,중앙동,496,759,4357,3088,1879,2088,1663,1125,369,41
관악구,인헌동,1442,1819,5842,5333,3974,3614,2866,1763,565,70
관악구,남현동,1199,949,3969,4038,2485,2700,2127,1238,344,55
관악구,서원동,864,1007,6501,4984,3007,3213,2516,1537,460,50
관악구,신원동,842,992,4438,3622,2714,3041,2325,1534,482,74
관악구,서림동,1034,1286,6102,4944,3316,3278,2629,1549,489,76
관악구,신사동,1162,1406,5769,4711,3850,4521,2783,1584,487,70
관악구,신림동,500,567,8429,5929,2541,1972,1500,915,277,37
관악구,난향동,1413,1569,1779,2221,3193,2599,2064,1234,388,66
관악구,조원동,929,975,3977,3686,2750,3444,2242,1175,430,58
관악구,대학동,851,1158,7067,4957,3653,3162,2117,1244,470,50
관악구,은천동,2568,2753,5555,6054,5727,5286,4259,2632,811,108
관악구,성현동,2349,3358,4094,4445,5766,5095,3941,2614,906,121
관악구,청룡동,1061,1616,9957,5750,3646,3595,2892,1841,545,74
관악구,난곡동,1650,2158,4321,4146,4415,5398,3910,2431,776,96
관악구,삼성동,1123,1865,3265,3094,3917,4644,4030,2637,946,149
관악구,미성동,2058,2601,5088,4842,5090,5498,4563,2424,716,96
서초구,계,36921,46180,57607,69201,79955,62994,46100,25885,8863,1731
서초구,서초1동,1651,2001,3030,3926,3899,2918,2329,1252,440,97
서초구,서초2동,1510,1685,2714,3887,3287,2425,1755,926,305,65
서초구,서초3동,1757,2775,5182,5031,4921,4855,3501,2051,698,118
서초구,서초4동,3158,4220,3727,4208,6468,4538,3014,1779,620,120
서초구,잠원동,2718,4043,4565,5436,6795,5342,3285,1591,638,146
서초구,반포본동,672,2040,1520,966,2596,2018,1179,976,315,39
서초구,반포1동,3233,3525,4625,6143,6708,4058,2905,1480,454,100
서초구,반포2동,2052,2711,1400,1822,3871,1977,1338,890,274,68
서초구,반포3동,1910,2735,2220,2680,4341,2918,1868,1107,402,72
서초구,반포4동,1909,2304,2445,3110,3781,2889,2257,1177,404,87
서초구,방배본동,1614,2914,2705,2637,4191,3403,2150,1262,584,96
서초구,방배1동,1257,1416,2564,3260,2855,2459,2065,1231,396,78
서초구,방배2동,1330,1761,3147,3416,3253,3402,2834,1601,491,94
