NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
화양동,11215710,dong,92707.97313,194901.1243,189.9809316,55.26620988,86559.74514,179957.2674,190.7902694,26.22788106,79440.59638,152971.1636,194.0009392,23.63088504
군자동,11215730,dong,80416.91897,139905.8804,270.7723025,92.19405485,77250.32595,136796.8584,267.9628387,37.53225428,72821.64269,128978.0264,269.0538926,32.22700468
중곡1동,11215740,dong,67125.99686,133687.9023,264.1310353,67.88670287,62633.76186,128992.4853,267.7310877,59.70778192,68749.57073,138887.1281,273.7864754,91.17920796
중곡2동,11215750,dong,91495.19004,181840.1605,411.4301028,71.45649744,88476.43294,169172.0202,410.1635992,53.04630814,92617.97297,172052.7069,403.9779225,51.65131872
중곡3동,11215760,dong,83272.23946,128849.3642,292.2486452,41.49301626,79669.60374,124797.7078,291.5329614,27.19598418,82313.72249,131518.4633,284.2596168,24.78263185
중곡4동,11215770,dong,35459.03811,57923.54871,135.105641,10.87362332,33198.08683,54914.7775,134.7309889,21.10685295,32905.3093,53862.1631,129.8256604,21.97378045
능동,11215780,dong,20485.032,76899.61376,105.233911,29.80439325,17999.92505,68011.42182,104.7769286,24.64963158,18491.77523,67197.07805,104.557577,20.91151541
광장동,11215810,dong,25857.22151,58876.71588,122.5909803,28.7685981,23104.10855,55212.84724,121.0544402,43.74986374,23466.62126,56683.11394,124.2071159,57.56142094
자양1동,11215820,dong,144335.6403,234497.9957,363.2204322,158.7339891,138383.8959,228163.8268,372.5832762,200.0785063,134231.3942,213855.0082,369.896687,198.8397795
자양2동,11215830,dong,32520.73975,64134.71635,165.789251,32.18417022,31364.0533,60850.35072,166.8499981,31.91438483,31235.28597,56281.15715,162.4905115,30.68808763
