NM,CD,GUBUN,면적(km),2018년2분기주거인구,2018년2분기직장인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기주거인구,2020년2분기직장인구
공릉1동,11350595,dong,1.41,18802724.8,4577289.715,19138727.38,3484287.209,19126301.25,3131882.125
공릉2동,11350600,dong,6.82,3394119.522,543022.1889,3424506.604,627803.8258,3402765.57,594142.9978
하계1동,11350611,dong,1.55,11535533.08,3160295.783,11522753.38,2041866.034,11878523.7,1909122.068
하계2동,11350612,dong,0.51,28286322.85,767645.4733,28139151.55,2279389.013,27468050.45,1664801.686
중계본동,11350619,dong,1.97,7717096.116,719542.0878,7824261.962,589845.4211,7473301.045,519364.3815
중계1동,11350621,dong,0.63,27570015.12,1500613.283,27418888.15,2684441.192,27198979.03,2101246.101
중계4동,11350624,dong,1.7,8177660.515,853778.7044,8337891.293,754027.1907,8347316.636,810579.2299
중계2.3동,11350625,dong,0.9,25295850.66,1882879.841,25073008.94,1514793.081,24353415.91,1475663.137
상계1동,11350630,dong,5.62,4943416.965,729654.3004,4933368.632,811735.8695,4836275.095,674206.869
상계2동,11350640,dong,0.61,20610773.47,4474081.126,20577119.3,2338483.838,20255000.85,2388484.315
상계3.4동,11350665,dong,5.62,3268126.751,367519.6289,3312199.655,298096.9171,3149792.584,267592.9983
상계5동,11350670,dong,0.44,28152190.44,2869126.95,28647836.59,2135877.231,27192834.1,2120547.968
상계6.7동,11350695,dong,1.11,14857915.7,3734940.305,14769741.91,2723262.134,14571034.48,2677276.762
상계8동,11350700,dong,0.67,22394343.57,1036465.317,22212555.14,798602.858,21635535.18,1067215.597
상계9동,11350710,dong,0.81,16373403.02,948025.5517,16212253.2,1806765.389,15894308.94,1906213.705
상계10동,11350720,dong,0.8,12938302.51,756775.748,12793580.45,904512.8464,12489061.13,802001.3905
은평구,11380,gu,29.71,9334837.639,998718.1103,9406417.59,987193.0194,9246174.126,950518.7422
녹번동,11380510,dong,1.76,10220712.73,2286580.483,10405388.4,1674665.37,11929985.13,1635653.815
불광1동,11380520,dong,3.13,6224861.613,540043.37,6187928.553,679978.6204,6081643.424,615140.5865
불광2동,11380530,dong,1.38,14082486.81,1233009.753,14018425.41,1284327.757,13899257.43,1295349.073
갈현1동,11380551,dong,0.97,16072709.37,1484125.737,16316739,1569236.89,16012200.66,1733474.819
갈현2동,11380552,dong,0.96,17948418.87,1976844.652,17829024.1,1989912.735,17714975.37,2325524.883
구산동,11380560,dong,1.38,15405546.87,1939481.139,15399112.57,2285554.432,15439097.13,1942238.695
대조동,11380570,dong,0.85,22714731.46,2494415.449,22520171.24,2079493.114,19284474.37,1824960.926
응암1동,11380580,dong,1.2,13834105.1,2086636.577,13843235.81,1504956.42,13611745.37,1554906.793
응암2동,11380590,dong,0.78,14704645.01,1067880.212,13895545.58,1195632.753,14122661.21,967425.2228
응암3동,11380600,dong,0.63,21823028.8,1962633.198,21872305.36,1669567.389,21494302.33,1559343.523
역촌동,11380625,dong,1.16,26346709.93,2195160.717,26057705.23,2454414.935,25584353.78,2547916.456
신사1동,11380631,dong,0.84,20284262.98,1512687.341,20982934.99,1915286.983,20763268.4,1818310.427
신사2동,11380632,dong,1,12478014.15,1039930.483,12540202.69,1309989.95,12544233.43,1104422.296
증산동,11380640,dong,0.81,11156551.83,1517176.496,11032235.78,2163489.779,10879281.48,1888172.036
수색동,11380650,dong,1.29,5903062.324,727859.845,5639232.529,1063078.878,4266282.971,886157.7217
진관동,11380690,dong,11.53,2630134.985,232123.4105,2838598.303,160718.9502,2737453.767,169438.3067
서대문구,11410,gu,17.63,10734583.94,2592334.715,10775795.92,2207934.283,10785408.55,2312799.364
천연동,11410520,dong,0.97,13055695.63,1097457.544,12970523.99,1293631.571,12632629.94,1272687.724
북아현동,11410555,dong,0.46,22639902.07,1702711.486,22693644.31,2254552.545,22270260.32,2418400.84
충현동,11410565,dong,1.12,9627702.106,13388299.22,9598496.675,7340651.588,9524686.596,7526504.309
신촌동,11410585,dong,2.63,4451232.61,4943505.893,4491812.547,1221987.507,4516691.913,1218847.392
연희동,11410615,dong,3.05,7607378.882,1796787.333,7590243.31,3007293.24,7732223.778,3030548.662
홍제1동,11410620,dong,1.23,9317292.584,736333.3189,9215519.647,860407.1049,10028486.77,1004348.916
홍제3동,11410640,dong,0.81,8882664.014,874267.0614,9071350.767,757513.6756,9015464.074,664553.6336
홍제2동,11410655,dong,1.05,12613761.86,960591.098,12524564.11,780480.2669,12389052.15,633818.5906
홍은1동,11410660,dong,1.58,8760961.313,555033.9625,8712971.134,878770.9936,8739719.757,2983258.378
홍은2동,11410685,dong,2.06,8510309.819,1033645.648,9003815.107,1528626.732,8084395.863,1722250.817
남가좌1동,11410690,dong,0.51,21829247.16,1682340.928,21788062.25,4944684.538,21471063.3,4990861.551
남가좌2동,11410700,dong,0.77,17081041.77,1229023.345,17063363.51,3152110.529,19068693.03,1404268.699
북가좌1동,11410710,dong,0.55,18850346.15,1907181.138,18834220.05,3407984.334,18834220.05,1865253.255
북가좌2동,11410720,dong,0.84,26384496.19,1990405.415,26209004.53,2189895.935,25735027.05,2267892.228
마포구,11440,gu,23.85,9137671.756,5417568.995,9133020.492,4276482.851,7680201.044,3514339.585
아현동,11440555,dong,0.76,18632008.45,15275008.76,19012806.6,15224282,18206737.54,15103371.64
공덕동,11440565,dong,1.01,25795060.42,7415791.36,25929473.33,6242733.186,21969723.15,3062985.226
도화동,11440585,dong,0.62,15781554.71,10912218.19,15629519.31,8279273.345,12851545.31,9206899.468
용강동,11440590,dong,0.84,13280403.52,12312816.08,13287049.04,11315323.8,11611049.36,8742843.711
대흥동,11440600,dong,0.88,8441550.764,4179336.201,8338129.898,2459433.1,6179042.319,3986661.718
염리동,11440610,dong,0.43,13150139.83,8711719.958,14245434.42,24904467.06,16374378.87,5091193.429
신수동,11440630,dong,0.78,14016754.64,2843317.504,14005505.77,3484503.136,10362856.74,3673087.145
서강동,11440655,dong,1.45,8045563.412,3113967.764,7984122.467,2483238.09,6243935.775,2010590.84
서교동,11440660,dong,1.65,9087485.343,18197453.51,8426637.629,10761903.17,6956408.108,9925247.108
합정동,11440680,dong,1.72,6212939.042,3709066.222,6157927.414,2151528.405,6315874.909,1936544.311
망원1동,11440690,dong,1.13,11533187.05,1588813.676,11702464.56,1843002.093,8983138.373,1715635.734
망원2동,11440700,dong,0.67,9794037.188,1311973.829,9726512.799,1155917.468,7236613.556,2601939.709
연남동,11440710,dong,0.64,15648933.3,4687042.685,15428300.03,3043607.682,11875538.65,3033236.033
성산1동,11440720,dong,0.8,14021809.37,6303239.502,14010498.04,7212387.777,10960680.27,4139947.346
성산2동,11440730,dong,2.07,12320476.48,2873177.416,12535622.92,1001889.576,10448580.89,837794.8318
상암동,11440740,dong,8.4,2609781.084,2851666.321,2606141.333,1321546.362,2206401.647,1212195.561
양천구,11470,gu,17.41,15532640.5,2405904.247,15570114.8,4961942.66,15509824.17,4725824.101
목1동,11470510,dong,1.41,11121298.07,5516788.66,11275194.12,9398431.784,12273979.49,6704866.169
목2동,11470520,dong,1.03,18416519.82,1536338.718,18460347.53,3220744.004,18449686.74,3275232.501
목3동,11470530,dong,0.53,24934343.08,2728364.167,26017063.3,2921301.733,25978475.78,2841856.853
목4동,11470540,dong,0.57,28049933.41,2221517.893,28256075.2,3683345.729,27985056.3,3012600.1
목5동,11470550,dong,1.81,12789279.89,1841380.76,12755425.57,9566642.777,12615003.73,9170988.78
신월1동,11470560,dong,0.65,20954565.28,2560597.999,21171089.99,2458135.415,20785405.36,2172013.478
신월2동,11470570,dong,0.61,22233605.75,2143873.121,22199781.3,2998437.86,21880438.71,2980530.799
신월3동,11470580,dong,0.87,10895714.3,1721298.285,10339472.73,1043683.123,10710084.09,1089766.147
신월4동,11470590,dong,0.52,24733999.12,2597687.485,24758444.91,2250299.857,24394331.22,2332643.591
신월5동,11470600,dong,0.69,17588318.24,3137344.443,19190514.04,2181344.497,17525895.03,2531608.081
신월6동,11470610,dong,0.41,9452367.933,1694449.084,9374844.117,1633537.516,9121507.366,1543554.518
신월7동,11470611,dong,1.19,11048937.5,1540990.659,10956719.38,1571586.391,10621459.11,1878405.56
신정1동,11470620,dong,0.7,17933677.42,2266196.657,17914422.7,10935005.81,17871727.46,9651636.965
신정2동,11470630,dong,0.52,21298069.41,1922784.744,21281800.47,7878231.725,20872026.68,14220065.91
신정3동,11470640,dong,2.72,10503103.73,1396762.165,10314586.48,1773796.657,10208231.71,1611753.988
신정4동,11470650,dong,1.01,21534324.36,4782774.291,21494250.34,4122160.043,21101403.44,4387498.67
신정6동,11470670,dong,0.96,15400018.1,3589978.366,15564245.14,12791047.51,15716652.82,11293719.85
신정7동,11470680,dong,1.21,16015066.71,1058117.562,15907192.65,3468362.363,16206490.27,3042154.09
강서구,11500,gu,41.44,8383233.943,2731544.76,8355963.641,2097703.624,8318454.669,2105663.908
염창동,11500510,dong,1.74,12603819.04,3782783.415,12487325.88,4228980.053,12960096.55,6074639.696
등촌1동,11500520,dong,0.59,20888827.81,27615770.04,20963354.24,7869991.407,21768239.73,8019975.856
등촌2동,11500530,dong,0.92,14711497.09,1592303.215,14658242.81,3267150.577,14479840.94,3323067.579
등촌3동,11500535,dong,0.76,19215509.79,11056312.26,19029287.29,8667706.026,18682786.61,8849316.203
화곡1동,11500540,dong,1.12,27181447.1,2504000.743,27011813.07,2668064.695,27064475.57,2547548.582
화곡2동,11500550,dong,0.47,26333878.58,2137115.43,26089788.43,2029662.699,25529972.96,2032315.852
