name,code,type,parent,male,female,onehouse,convnum,rent
화곡본동,11500590,dong,강서구,"17,438","18,246",6877,28,105134
화곡6동,11500591,dong,강서구,"12,302","12,548",4925,32,104271
화곡8동,11500593,dong,강서구,"12,637","13,633",4225,15,146460
가양1동,11500603,dong,강서구,"15,783","17,940",11762,82,236100
가양2동,11500604,dong,강서구,"7,287","8,034",3977,6,180154
가양3동,11500605,dong,강서구,"7,696","8,631",3112,8,98568
발산1동,11500611,dong,강서구,"18,331","20,125",2649,34,118303
우장산동,11500615,dong,강서구,"21,997","23,789",3967,27,137671
공항동,11500620,dong,강서구,"13,934","13,684",5543,45,120392
방화1동,11500630,dong,강서구,"22,318","23,314",4868,32,121070
방화2동,11500640,dong,강서구,"11,908","12,124",5412,27,61987
방화3동,11500641,dong,강서구,"11,842","12,666",4453,20,147961
구로구,11530,gu,구로구,"200,561","204,854",64538,360,117675
신도림동,11530510,dong,구로구,"18,139","19,005",2962,31,129209
구로1동,11530520,dong,구로구,"10,551","10,858",1767,10,138793
구로2동,11530530,dong,구로구,"13,040","12,699",6178,28,112997
구로3동,11530540,dong,구로구,"12,483","12,045",7670,72,168180
구로4동,11530550,dong,구로구,"10,396","10,828",4941,19,128100
구로5동,11530560,dong,구로구,"14,531","15,512",6820,29,111857
가리봉동,11530595,dong,구로구,"5,182","4,361",3883,14,94573
고척1동,11530720,dong,구로구,"12,010","11,939",2885,15,101455
고척2동,11530730,dong,구로구,"14,167","14,397",3693,23,79060
개봉1동,11530740,dong,구로구,"16,625","16,625",4761,21,91282
개봉2동,11530750,dong,구로구,"16,156","16,881",3117,12,139488
개봉3동,11530760,dong,구로구,"10,625","11,065",2597,9,96867
오류1동,11530770,dong,구로구,"10,772","11,224",5060,23,153515
오류2동,11530780,dong,구로구,"23,574","24,917",5426,30,126987
수궁동,11530790,dong,구로구,"12,310","12,498",2778,24,80094
금천구,11545,gu,금천구,"118,912","115,167",48816,280,110918
가산동,11545510,dong,금천구,"11,548","9,334",9590,112,137590
독산1동,11545610,dong,금천구,"21,218","19,792",9441,42,110389
독산2동,11545620,dong,금천구,"10,062","9,686",3974,15,90324
독산3동,11545630,dong,금천구,"12,815","12,527",5624,19,86576
독산4동,11545640,dong,금천구,"8,185","8,069",3297,14,102744
시흥1동,11545670,dong,금천구,"17,342","17,317",6587,41,111267
시흥2동,11545680,dong,금천구,"11,080","11,659",2012,4,123494
시흥3동,11545690,dong,금천구,"5,760","5,738",1429,9,86902
시흥4동,11545700,dong,금천구,"10,680","10,822",3078,12,120069
시흥5동,11545710,dong,금천구,"10,222","10,223",3784,12,137902
영등포구,11560,gu,영등포구,"183,460","185,557",79442,487,113743
영등포본동,11560515,dong,영등포구,"11,319","10,832",4483,20,100810
영등포동,11560535,dong,영등포구,"14,335","11,892",12084,67,123568
