code,profitscore,stablescore,profit2018,profit2019,expectedprofit2020,survive2018,survive2019,expectedsurvive2020
11530520,-0.21073,0.535871,26746919,13458139,48605328,90.9,100,99.36643
11530530,2.33191,0.835203,61497659,39807228,68463087,100,100,99.70946
11530540,2.119423,-1.51767,73845419,62954825,66803584,97.2,97.2,97.01309
11530550,1.211521,1.003401,68968475,41306153,59712954,100,100,99.90222
11530560,0.824345,-0.13298,79571562,67861080,56689140,100,100,98.59993
11530595,1.000375,0.98068,66118298,60110278,58063920,94.1,85.7,99.87618
11530720,-0.28899,0.66304,1.24E+08,73790030,47994060,91.7,93.3,99.51217
11530730,-1.03306,0.237599,35462568,30915532,42183003,95.7,100,99.02461
11530740,-1.14926,0.054752,52201673,39389970,41275440,95.2,95.2,98.81507
11530750,-0.46725,1.088726,73556473,46919192,46601920,100,100,100
11530760,-0.83042,1.088726,54569392,38370648,43765580,100,100,100
11530770,0.329049,0.417478,1.03E+08,98688549,52820920,100,95.7,99.23075
11530780,-2.25546,-0.47752,55056094,37521698,32636160,96,86.7,98.20509
11530790,-0.37719,0.097502,60316783,41473180,47305280,100,100,98.86406
11530,0,0,67486656.4,49790528.2,50935619.07,97.17333333,96.70666667,99.06542867
11545510,2.646855,-3.94074,77413002,61847935,70922785,96.2,96.4,94.23627
11545610,0.609046,-1.23181,66525245,55575097,55007670,97,97.6,97.34068
11545620,-0.85518,0.129036,46873366,32605303,43572216,92.9,100,98.9002
11545630,0.034772,-0.17555,78972911,56652809,50522647,94.1,100,98.55115
11545640,-0.15337,0.334407,55599357,51125119,49053297,84.6,100,99.13555
11545670,-0.31547,-1.399,55035845,36174270,47787323,94.9,92.7,97.14908
11545680,-0.83583,1.088726,76434633,46820317,43723354,100,100,100
11545690,-0.58268,1.088726,58452970,49305887,45700410,100,88.9,100
11545700,-1.08087,0.801874,98887392,68520676,41809550,90.9,91.7,99.67127
11545710,-1.20967,0.785679,76507807,67849329,40803680,100,91.7,99.65271
11545,0,0,69070252.8,52647674.2,48890293.2,95.06,95.9,98.463691
11560515,-0.47778,0.22106,62285094,46557359,46519666,87,90,99.00566
11560535,0.945125,-2.69213,53931990,56079076,57632420,98.6,91,95.66716
11560540,1.72692,-0.62497,80805968,54434939,63738170,95.8,99,98.03611
11560550,-0.00862,-0.45813,72642598,68698635,50183773,93.9,97,98.22731
11560560,1.069819,-0.77105,66802973,61349572,58606270,92.5,97.4,97.8687
11560585,-0.0138,0.834687,54897711,41730195,50143313,100,100,99.70887
11560605,0.422087,0.092119,88865044,77481785,53547544,97.5,97.4,98.85789
11560610,0.203348,-0.02873,55036596,44228417,51839210,95,88.9,98.7194
11560620,0.083024,-0.89771,29682852,24689572,50899490,92.3,91.9,97.72356
11560630,0.660868,0.551388,55755560,45550303,55412397,94.4,75,99.38421
11560650,-0.42956,1.088726,49757752,35364429,46896260,90,100,100
11560660,-0.77123,1.088726,73570577,82076073,44227843,83.3,100,100
11560670,-0.40888,1.088726,23904630,14644316,47057740,100,100,100
11560680,-0.33654,0.58127,1.04E+08,88171837,47622730,100,100,99.41846
11560690,-0.67424,0.124529,52407517,35705927,44985304,100,100,98.89504
11560700,0.268207,0.929338,59051022,49413621,52345750,100,93.3,99.81734
11560710,2.018585,1.088726,77244429,48414919,66016050,100,100,100
