code,male,female,g10,g20,g30,g40,g50,g60,livingpop,workingpop,house1,house2,house3,house4,house5
11320,160089,167925,26587,44992,42735,50074,58107,48828,330490,36096,46140,34302,28278,23352,5376
11320511,12185,13354,2268,3442,3556,4267,4264,3453,20844,1426,3692,2671,2232,1875,366
11320512,14616,15230,2372,4229,4394,4723,5253,4039,49496,4031,3860,3171,2650,2108,482
11320513,7212,7212,1114,1902,1787,2215,2689,2084,15505,818,2681,1663,1177,886,220
11320514,13181,14242,2724,3863,3506,4535,4980,3398,23137,2283,2912,2437,2368,2338,494
11320515,12159,13162,2056,3760,3654,3683,4508,3569,26235,7333,2912,2431,2255,2013,409
11320521,11016,10722,1265,2711,2487,3060,3873,3870,22516,2206,4316,2704,1758,1180,299
11320522,13736,14314,1804,3502,3793,3940,4615,4872,19668,1467,4134,3130,2502,1813,440
11320660,10592,11360,1703,3212,2710,3357,3746,3262,23268,1864,3239,2383,1886,1429,383
11320670,9403,10103,1479,2668,2743,2884,3372,3007,19916,1471,3133,2225,1698,1225,290
11320680,8202,8692,1050,2626,2463,2511,2884,2431,16882,2003,3265,1928,1397,1018,244
11320681,9237,10221,2095,2624,2419,3096,3500,2713,18907,1305,1567,1656,1724,1794,364
11320690,14536,14749,2307,4122,3529,4362,5550,4546,19687,4359,4727,3024,2363,1992,527
11320700,10350,10138,1523,2817,2377,3083,3900,3311,14077,683,3874,2386,1745,1182,302
11320710,13664,14426,2827,3514,3317,4358,4973,4273,40812,4273,1828,2493,2523,2499,556
11350,254463,272255,55046,75765,67261,88672,88811,66652,532446,56663,70945,49730,44406,41982,8733
11350560,11730,11035,1830,4294,2962,3554,3681,3136,24536,2802,4557,2239,1758,1574,379
11350570,13402,14374,2263,3326,3481,4453,4659,4378,25206,1235,4153,3155,2366,1867,433
11350580,14793,16075,2248,3694,4872,4777,4911,4514,29811,1379,3955,3556,2834,2076,459
11350595,18546,19433,2877,7148,5649,5615,5942,5362,44575,7299,8430,3719,2930,2434,536
11350600,19456,20430,4655,7023,5407,6794,6130,4318,38358,6698,5708,3177,3270,3384,694
11350611,13387,14415,3382,5235,2850,4404,5012,3456,30433,4891,4345,2398,2140,2304,454
11350612,10927,11990,2895,3205,2635,4178,4002,2431,23155,1403,1719,1802,1983,2262,435
11350619,12332,12871,4519,3377,2002,5236,4632,2275,24335,1691,1993,1415,1930,2665,647
11350621,13464,14107,5833,3039,2088,6756,4479,1998,28323,2188,1423,1370,2397,3274,536
11350624,10114,10790,2419,2654,2056,3638,3651,2613,23455,2278,2610,1999,1665,1706,378
11350625,16609,19308,3341,4441,4474,6101,5743,4794,36228,2195,5053,4088,3053,2604,514
11350630,19180,20245,3448,5496,5084,5883,7158,5817,44925,6263,4477,3766,3343,3081,773
11350640,10277,10495,1963,3381,2437,3259,4013,2798,20422,2408,3219,1750,1634,1689,346
11350665,13538,13725,2186,3300,3070,4119,4922,4256,29259,2486,4679,3025,2207,1726,451
11350670,12103,12747,2150,3491,2765,3829,4588,3622,19777,1542,4001,2665,2103,1663,394
11350695,15734,18102,3163,4759,5060,5783,5663,3889,26734,4912,4272,3351,3000,2703,498
11350700,11203,12083,2191,2731,4910,4020,3062,2214,23960,1182,2437,2285,2279,1915,318
11350710,10189,11228,2248,2753,2927,3680,3644,2731,21280,2552,2118,2202,2027,1739,308
11350720,7479,8802,1435,2418,2532,2593,2919,2050,16514,1060,1796,1768,1487,1316,180
11380,231508,250221,39715,67294,70240,78157,77902,63029,454056,46678,79784,49503,39388,31859,7786
11380510,17848,19556,2451,5150,6305,5923,6058,5028,34705,4758,6858,4228,3196,2289,538
11380520,18928,21009,2778,5505,5660,6288,6853,5511,31464,3182,6772,4422,3463,2563,557
11380530,13909,14729,1920,4388,4041,4167,5076,4304,31704,2955,6145,3341,2323,1567,406
11380551,11486,12039,1731,3844,3269,3552,4101,3436,25672,2779,4815,2693,1933,1388,324
11380552,13857,15267,2625,4468,4154,4855,4926,3664,28110,3690,4410,3070,2554,1992,449
11380560,16481,16599,2924,4520,4310,5306,5750,4584,35216,4430,4341,3205,2769,2259,594
11380570,12783,14581,1764,4821,4370,4261,4263,3535,27094,2564,7179,3052,2041,1401,313
11380580,14442,15944,2552,3782,4582,4917,4267,3318,26999,3084,5234,2921,2240,1845,407
11380590,13337,14122,2309,2796,5200,5184,3594,2823,18208,1247,3013,2602,2548,2075,462
11380600,12412,12971,1726,3723,3509,3768,4375,3749,22382,1624,6049,2928,1934,1371,306
11380625,22265,24748,3679,6665,7113,7815,7761,6219,49054,4885,7702,5018,4014,3084,748
11380631,13430,14357,2182,4045,4256,4334,4599,3801,28828,2525,3903,2958,2403,1951,443
11380632,10496,10546,1769,3040,2918,3321,3589,3105,20734,1825,3203,2204,1750,1481,346
11380640,7603,7913,1284,2147,2118,2333,2691,2400,14566,2528,2537,1736,1230,1057,268
11380650,5321,5400,561,1189,1190,1139,1601,1418,9097,1889,1385,899,715,580,143
11380690,26910,30440,7460,7211,7245,10994,8398,6134,52170,3229,6238,4226,4275,4956,1482
11410,149803,162829,24930,56034,47090,49044,50496,38320,314292,67396,61198,30545,24575,20711,4830
11410520,8561,9471,1564,2370,2550,2963,3085,2185,20254,2041,3314,1768,1502,1232,275
