name,code,type,parent,male,female,onehouse,convnum,rent
동작구,11590,gu,동작구,"192,296","202,492",70744,344,127102
노량진1동,11590510,dong,동작구,"16,078","16,305",6149,42,163272
노량진2동,11590520,dong,동작구,"6,873","6,516",3890,22,115939
상도1동,11590530,dong,동작구,"22,740","23,692",9107,47,116809
상도2동,11590540,dong,동작구,"13,077","13,970",4655,22,108435
상도3동,11590550,dong,동작구,"12,430","13,413",4585,12,172873
상도4동,11590560,dong,동작구,"14,746","15,057",4766,14,80353
흑석동,11590605,dong,동작구,"14,413","15,044",5127,27,138201
사당1동,11590620,dong,동작구,"11,182","12,127",6671,30,107548
사당2동,11590630,dong,동작구,"13,601","14,561",3975,23,180474
사당3동,11590640,dong,동작구,"12,569","13,163",3334,13,130842
사당4동,11590650,dong,동작구,"7,142","7,643",2776,10,151939
사당5동,11590651,dong,동작구,"6,391","6,699",2171,6,92915
대방동,11590660,dong,동작구,"19,206","20,991",6368,36,115822
신대방1동,11590670,dong,동작구,"11,844","12,639",3449,9,115816
신대방2동,11590680,dong,동작구,"10,004","10,672",3721,31,110308
관악구,11620,gu,관악구,"253,600","250,448",138902,471,123668
보라매동,11620525,dong,관악구,"12,469","12,904",5178,16,100775
청림동,11620545,dong,관악구,"8,104","8,387",1947,7,75945
성현동,11620565,dong,관악구,"16,107","16,997",3791,11,120950
행운동,11620575,dong,관악구,"14,592","15,289",9856,35,115005
낙성대동,11620585,dong,관악구,"8,577","8,624",7147,23,122840
청룡동,11620595,dong,관악구,"13,785","14,630",12209,43,163423
은천동,11620605,dong,관악구,"17,458","17,833",5990,24,144398
중앙동,11620615,dong,관악구,"7,309","7,934",5486,20,117149
인헌동,11620625,dong,관악구,"13,352","13,859",7209,21,148282
남현동,11620630,dong,관악구,"9,051","9,832",4355,22,117371
서원동,11620645,dong,관악구,"11,817","11,262",7870,27,162127
신원동,11620655,dong,관악구,"9,376","9,400",5558,10,138271
서림동,11620665,dong,관악구,"13,556","10,832",8972,22,81403
신사동,11620685,dong,관악구,"11,566","11,499",7384,27,106746
신림동,11620695,dong,관악구,"10,499","10,352",12308,44,157066
난향동,11620715,dong,관악구,"8,248","8,388",1809,4,130053
조원동,11620725,dong,관악구,"9,050","8,782",6023,23,85133
