이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
구의1동,11215850,5508,-1.333,-15,142.333,129.333,82.333,222.667,88,1,20,-366.667,-7.333,31.667,77,-779.613,2301.477,28,5,-1,0,0,-1,0,-1,0,0,13.8
구의2동,11215860,32063,15.333,18.333,122.667,56,58,80.667,62.333,33.667,14,-133,-2.667,45.333,70,580.8855,19080.14,18,-2,-1,0,0,-2,0,0,0,0,0
구의3동,11215870,-3168,7.667,-49.667,19.667,-11.333,33.333,76.333,47,35,16.3333,-44.333,-48.333,11.667,79,277.8047,-25463.3,32,0,0,0,0,0,0,0,0,1,6.7
용신동,11230536,-2985,43.667,5,610.333,285,164.333,318.667,116.667,-21.667,46.6667,-619,-105.333,10.333,72.667,-4417.76,-28620.4,51,-2,-2,0,0,0,1,0,-1,2,3.7
제기동,11230545,-8779,24.333,131.667,1820,199.333,115.667,112,137,13,18.667,-51.333,-1.333,30.667,62.333,-935.154,-21024.6,30,-4,0,0,0,-1,0,0,1,1,0
전농1동,11230560,-12507,9,-18.667,242.667,73.333,40.667,52.667,147,-27,40,-149,-47.333,-25.667,55.333,-1097.67,986.9258,29,-1,0,0,1,1,0,-1,-1,0,6.9
전농2동,11230570,-18570,-5.667,-30.667,239.333,69.667,14.333,-7.667,43.667,21.667,18,-77.667,3.667,15,64,1169.666,14307.22,16,1,0,0,0,1,-1,0,0,0,0
답십리1동,11230600,35726,32.667,18,222.333,162.333,81.667,119.667,67,37.333,17.6667,-123,-24.667,-4.333,71.667,2377.362,25455.83,33,-1,-2,0,0,0,0,-1,2,0,0
답십리2동,11230610,-997,76,1.667,175.667,291,108.333,149.333,135.333,49.333,35.6667,-312.333,-121,1,102.667,-1209.9,-12626.8,16,1,0,0,0,0,0,-1,0,0,5.9
장안1동,11230650,-10891,29.667,-19.333,163,57.667,103.667,150.333,111.333,72,29,-292,-138,74.333,39.333,-2948.7,-29188.4,54,-2,-1,0,-1,-1,0,0,1,0,0
장안2동,11230660,95,41.667,-39.667,137.333,109.667,11.333,66,69.667,48.333,26.6667,-207,-216.667,-136,-92.333,-139.24,-16487.7,38,2,-1,0,0,0,-1,1,0,0,0
청량리동,11230705,-50440,-25.667,-2,141,66.333,46.333,137,95.333,14.333,24.6667,-42.667,-20.667,46,73,-473.07,926.1405,17,1,0,0,1,-1,0,0,0,1,12.5
회기동,11230710,-30863,0,222,2329,143,15.333,15.333,15,-8.3333,18,-25,-15.3333,26.6667,7.3333,-3125.46,-6065.49,23,0,0,0,0,0,-1,-3,0,0,0
휘경1동,11230720,-955,81,178,1464.667,271.333,139.333,216,103,33.333,37,-118,-88.333,-77.6667,-49,-224.164,2172.839,18,0,0,0,0,0,0,-1,0,1,6.3
휘경2동,11230730,9584,-14.333,7.333,405.333,94.667,-22,11,43,15.333,14.3333,-160.333,17.333,-27,73.667,739.0784,-2567.58,17,0,0,0,0,0,0,0,0,0,0
이문1동,11230740,-7429,-60.3333,100.667,2289,-0.333,-216.333,-217.667,-215.333,-186.667,-43.3333,132.667,121.667,27,97.6667,-1634.8,-4688.73,31,-2,0,0,0,-1,0,-2,-1,1,6.1
이문2동,11230750,-9148,-31.667,-9.333,135,-50,-37,22.667,19,2,11.3333,-157.333,-20,26.667,61.667,135.3375,39422.86,13,0,0,0,0,0,0,0,-1,1,8.3
면목2동,11260520,-7912,-32,-20,43,-16,-17.333,101.667,79.667,24,34.6667,-178.333,-37.333,73.333,67.667,-944.051,18028.18,22,-2,-1,0,0,0,1,1,0,0,4.8
면목4동,11260540,-8608,11.667,-42.333,-66,-7.333,-4.333,46,20,20,28.3333,3,9.333,34.333,69.667,-445.684,11124.6,14,0,0,0,0,0,0,0,0,1,0
