CD,林芭牢备,流厘牢备
11380520,31463.70895,3182.462869
11380530,31704.09132,2954.68053
11380551,25672.45395,2779.2902059999997
11380552,28109.712989999996,3690.089071
11380560,35216.45296,4430.230412
11380570,27093.889610000002,2563.994689
11380580,26998.50322,3084.1126480000003
11380590,18207.7285,1247.258965
11380600,22382.49664,1623.779205
11380625,49054.29815,4885.261304
11380631,28828.3396,2524.596295
11380632,20734.27013,1825.4913980000001
11380640,14565.64959,2527.965866
11380650,9096.702533,1889.4933239999998
11380690,52169.98668,3229.130044
11410,314292.1533,67396.12031
11410520,20253.96866,2040.507591
11410555,16932.75991,1838.78411
11410565,17632.47767,13933.36335
11410585,19634.545009999998,5298.460564999999
11410615,38980.63227,15277.972590000001
11410620,20388.49376,2041.8994489999998
11410640,12070.29074,889.732964
11410655,21501.66076,1100.0157359999998
11410660,22824.39209,7790.988820999999
11410685,27527.03385,5864.192864
11410690,18099.57402,4207.172547
11410700,24269.24567,1787.2510719999998
11410710,17122.01823,1695.684778
11410720,35731.27723,3148.809044
11440,302764.9502,138540.4944
11440555,22871.2736,18972.83049
11440565,36676.72791,5113.4133520000005
11440585,13170.17866,9435.169703
11440590,16121.126380000002,12138.82433
11440600,8987.697919,5798.780681
11440610,11637.988290000001,3618.5341729999996
11440630,13360.37729,4735.550369
11440655,14964.80475,4818.771435000001
11440660,18972.022109999998,27068.85575
11440680,17955.875780000002,5505.547463
11440690,16778.423740000002,3204.4105449999997
11440700,8014.100962,2881.48695
11440710,12562.55328,3208.712497
11440720,14493.46151,5474.310541
11440730,35749.68997,2866.504631
11440740,30634.336919999998,16830.48383
11470,446324.0309,135994.3762
11470510,28605.47285,15626.217019999998
11470520,31410.21048,5576.015663
11470530,22758.00358,2489.560549
11470540,26366.0861,2838.31745
11470550,37740.75495,27437.173039999998
11470560,22331.42724,2333.5682
11470570,22061.268780000002,3005.163285
11470580,15401.27795,1567.101731
11470590,20967.02848,2004.916806
11470600,19988.21086,2887.288555
11470610,6181.517389,1046.04521
11470611,20891.7956,3694.715069
11470620,20678.031769999998,11167.18327
11470630,17939.59318,12222.205409999999
11470640,45894.85993,7246.232804
11470650,35227.13633,7324.584556999999
11470670,24938.82101,17920.61331
11470680,32412.98055,6084.308179
11500,569779.7711,144229.2766
11500510,37273.666110000006,17470.86458
11500520,21228.53131,7821.1334799999995
11500530,22018.93168,5053.259789
11500535,23469.285659999998,11116.49639
11500540,50102.83081,4716.122995000001
11500550,19833.20214,1578.823885
11500560,22220.1879,5275.118501
11500570,20806.01317,2603.7541300000003
11500590,39006.79212,3287.9499530000003
11500591,26700.32785,11641.40789
11500593,24329.011580000002,1903.375834
11500603,31477.20047,4260.490908
11500604,15126.17855,2857.9138329999996
11500605,23043.10221,4604.897578
11500611,37436.26511,3152.959147
11500615,47830.44623,6729.992848999999
11500620,29757.37255,32402.748330000002
11500630,33349.05564,6936.788331999999
11500640,27401.00013,3876.5762210000003
11500641,29518.25264,6072.083906
11530,397702.7436,140201.3449
11530510,41361.747460000006,14544.16249
11530520,21485.96933,4844.06882
11530530,24728.291540000002,13623.68683
11530540,23955.94483,51726.67517
11530550,17933.68821,1845.2477170000002
11530560,28659.525530000003,13782.46705
11530595,9007.314476000001,935.1751408
11530720,25326.08815,8189.671784
11530730,28573.403939999997,3163.868443
11530740,36408.23349,5429.9472240000005
11530750,30732.47327,7563.171822
11530760,21820.00188,2003.470243
11530770,18813.11781,3584.404565
11530780,45533.122639999994,4860.46281
11530790,24230.623069999998,3671.5476729999996
11545,239697.158,130205.6856
11545510,23551.91583,94781.16958
11545610,43999.19021,13729.713319999999
11545620,19534.07,1798.767307
11545630,23673.600609999998,3920.01579
11545640,15630.83753,1721.157167
11545670,40888.602139999995,7854.180071
11545680,24323.3058,3698.563763
11545690,9132.942103,6487.054916
11545700,22910.71813,1603.839869
11545710,18775.08224,1694.0840190000001
11560,415344.958,453467.3013
11560515,26528.178509999998,6901.6792590000005
11560535,23733.25221,13069.5543
11560540,42917.80829,272940.9708
11560550,20920.105519999997,9121.210215000001
11560560,36013.85661,14114.75951
11560585,30768.9641,2671.186277
11560605,27188.070010000003,69977.44
11560610,17852.532219999997,12974.73588
11560620,25867.33504,17223.128930000003
11560630,14963.389019999999,3058.2551
11560650,15625.422509999999,1357.226136
11560660,10462.34493,1462.150781
11560670,8940.040572,1324.031325
11560680,19555.89086,2649.566201
11560690,16671.7872,2874.703734
11560700,12787.58184,2407.786781
11560710,12107.76421,4409.61192
11560720,24197.28405,6161.472632999999
11590,370695.8228,72611.80317
11590510,26989.98295,4945.076726
11590520,14491.65297,4843.972054
11590530,46306.08253,6261.89929
11590540,35346.0687,2193.657534
11590550,23205.51085,1241.842202
11590560,23332.87935,2003.332025
11590605,26683.65781,1177.974941
11590620,29245.79787,4907.929911
11590630,24971.6751,2399.621203
11590640,26453.75595,3683.979025
11590650,12916.96331,1232.83065
11590651,10967.72822,1348.0372810000001
11590660,38726.72872,10974.5043
11590670,21642.89246,6713.266926
11590680,21271.31394,22166.29193
11620,497419.0576,72851.72406000001
11620525,23883.757709999998,1830.810696
11620545,15947.766740000001,3021.310152
11620565,36890.33603,7170.242584999999
11620575,28480.37617,4146.265907
11620585,15361.774080000001,10028.53841
11620595,28700.105539999997,6630.14119
11620605,36308.656,4907.089183
11620615,15350.44763,1437.9336130000002
11620625,39896.91245,5227.367518999999
11620630,14566.17458,2878.819305
11620645,23140.238690000002,2945.121287
11620655,18312.46643,1012.6294130000001
11620665,25648.2171,1823.5146100000002
11620685,23940.36447,4443.050920000001
11620695,22998.07354,2069.943624
11620715,16532.97077,1336.747206
11620725,17845.27,3340.918738
11620735,24668.88722,3150.0255620000003
11620745,25781.578569999998,1842.2744239999997
11620765,32403.984360000002,3756.231093
11620775,27438.79124,1447.387442
11650,417053.6445,568361.4044
11650510,21932.23011,48646.351610000005
11650520,18543.14544,68423.09754
11650530,29338.769969999998,66038.60486
11650531,31006.4003,37370.36827
11650540,32127.4728,15586.169730000001
11650550,8184.224926000001,16545.21935
11650560,30474.269630000003,7327.976941
11650570,17359.365690000002,10581.733629999999
11650580,17779.01203,8340.854551
11650581,19789.675880000003,95487.50887
11650590,21624.61827,28806.7873
11650600,17559.37009,19244.51871
11650610,21089.97358,17054.85809
11650620,22032.161119999997,17721.456009999998
11650621,24398.12725,22419.706469999997
11650651,45830.93724,33679.34489
11650652,23007.36176,43765.011739999994
11650660,17509.76255,13660.787019999998
11680,561241.3527,1158467.279
11680510,18845.66095,30403.31745
11680521,23041.90634,41431.982430000004
11680531,21918.33642,56307.97647
11680545,27626.878010000004,44649.80394
11680565,29024.521660000002,55811.57769
11680580,14776.61471,131093.9841
11680590,30037.54546,61775.36682
11680600,25098.96816,19907.824080000002
11680610,37693.10746,90393.98202000001
11680630,20952.30532,33871.3003
11680640,35878.55427,170092.8048
11680650,37065.18933,52229.47307
11680655,21697.62891,40780.172419999995
11680656,34137.869510000004,191515.96399999998
11680660,9032.852454,19935.966080000002
11680670,18209.59885,10617.13633
11680690,17365.29339,8405.916555
11680700,48401.632710000005,1655.070207
11680720,26412.53331,39843.58977
11680730,15785.49365,2443.917425
11680740,21457.154880000002,6651.908065
11680750,13806.44664,15647.306190000001
11710,682002.6421,403558.0241
11710510,10711.68723,1250.94682
11710520,19416.683090000002,18766.12002
11710531,13078.83749,3817.7303850000003
11710532,17250.46369,3064.370665
11710540,20823.29444,1084.833883
11710550,21433.8253,2466.990891
11710561,14076.37534,7843.214745
11710562,26759.58991,26087.27524
11710566,19032.61194,25239.97028
11710570,39814.00393,26785.61609
11710580,28392.71745,9623.896553
11710590,17202.90056,11829.7024
11710600,33722.408639999994,8928.088966
11710610,30932.240530000003,7430.0938
11710620,30363.75204,30825.78038
11710631,27046.47478,5837.560423
11710632,34620.58525,10453.49481
11710641,19304.17775,32409.927839999997
11710642,28009.872460000002,38195.113110000006
11710646,34691.97641,7157.268770000001
11710647,27697.05858,1233.806304
11710650,23956.67515,7795.268451999999
11710670,27682.41501,5885.87417
11710680,35493.2154,21590.8489
11710690,41295.70477,17959.9938
11710710,34330.115789999996,92846.8163
11710720,9056.781552,12559.85114
11740,403219.97,72374.39868
11740515,24056.88899,1020.640874
11740520,15673.892259999999,5312.410827000001
11740530,20942.60683,4084.190619
11740540,18670.17176,3027.083022
11740550,24442.39247,1985.3715969999998
11740560,5778.512428,1656.846334
11740570,50180.39834,5442.829167
11740580,7218.990038,1331.540744
11740590,25396.72389,4345.0899229999995
11740600,29763.818919999998,2597.932109
11740610,29949.7742,3277.661795
11740620,37958.01211,3833.119677
11740640,18014.753119999998,15038.28005
11740650,26163.62914,2471.343127
11740660,26151.66059,5132.785959000001
11740685,62738.53608,12916.8778
11740690,274.7918387,1557.495534
11740700,17019.48679,3053.879992
