NM,CD,GUBUN,자치구,행정동
신정6동,11470670,dong,양천구,신정6동
신정7동,11470680,dong,양천구,신정7동
강서구,11500,gu,강서구,계
염창동,11500510,dong,강서구,염창동
등촌1동,11500520,dong,강서구,등촌1동
등촌2동,11500530,dong,강서구,등촌2동
등촌3동,11500535,dong,강서구,등촌3동
화곡1동,11500540,dong,강서구,화곡1동
화곡2동,11500550,dong,강서구,화곡2동
화곡3동,11500560,dong,강서구,화곡3동
화곡4동,11500570,dong,강서구,화곡4동
화곡본동,11500590,dong,강서구,화곡본동
화곡6동,11500591,dong,강서구,화곡6동
화곡8동,11500593,dong,강서구,화곡8동
가양1동,11500603,dong,강서구,가양1동
가양2동,11500604,dong,강서구,가양2동
가양3동,11500605,dong,강서구,가양3동
발산1동,11500611,dong,강서구,발산1동
우장산동,11500615,dong,강서구,우장산동
공항동,11500620,dong,강서구,공항동
방화1동,11500630,dong,강서구,방화1동
방화2동,11500640,dong,강서구,방화2동
방화3동,11500641,dong,강서구,방화3동
구로구,11530,gu,구로구,계
신도림동,11530510,dong,구로구,신도림동
구로1동,11530520,dong,구로구,구로1동
구로2동,11530530,dong,구로구,구로2동
구로3동,11530540,dong,구로구,구로3동
구로4동,11530550,dong,구로구,구로4동
구로5동,11530560,dong,구로구,구로5동
가리봉동,11530595,dong,구로구,가리봉동
고척1동,11530720,dong,구로구,고척1동
고척2동,11530730,dong,구로구,고척2동
개봉1동,11530740,dong,구로구,개봉1동
개봉2동,11530750,dong,구로구,개봉2동
개봉3동,11530760,dong,구로구,개봉3동
오류1동,11530770,dong,구로구,오류1동
오류2동,11530780,dong,구로구,오류2동
수궁동,11530790,dong,구로구,수궁동
금천구,11545,gu,금천구,계
가산동,11545510,dong,금천구,가산동
독산1동,11545610,dong,금천구,독산1동
독산2동,11545620,dong,금천구,독산2동
독산3동,11545630,dong,금천구,독산3동
독산4동,11545640,dong,금천구,독산4동
시흥1동,11545670,dong,금천구,시흥1동
시흥2동,11545680,dong,금천구,시흥2동
시흥3동,11545690,dong,금천구,시흥3동
시흥4동,11545700,dong,금천구,시흥4동
시흥5동,11545710,dong,금천구,시흥5동
영등포구,11560,gu,영등포구,계
영등포본동,11560515,dong,영등포구,영등포본동
영등포동,11560535,dong,영등포구,영등포동
여의동,11560540,dong,영등포구,여의동
당산1동,11560550,dong,영등포구,당산1동
당산2동,11560560,dong,영등포구,당산2동
도림동,11560585,dong,영등포구,도림동
문래동,11560605,dong,영등포구,문래동
양평1동,11560610,dong,영등포구,양평1동
양평2동,11560620,dong,영등포구,양평2동
신길1동,11560630,dong,영등포구,신길1동
신길3동,11560650,dong,영등포구,신길3동
신길4동,11560660,dong,영등포구,신길4동
신길5동,11560670,dong,영등포구,신길5동
신길6동,11560680,dong,영등포구,신길6동
신길7동,11560690,dong,영등포구,신길7동
대림1동,11560700,dong,영등포구,대림1동
대림2동,11560710,dong,영등포구,대림2동
대림3동,11560720,dong,영등포구,대림3동
동작구,11590,gu,동작구,계
노량진1동,11590510,dong,동작구,노량진1동
노량진2동,11590520,dong,동작구,노량진2동
상도1동,11590530,dong,동작구,상도1동
상도2동,11590540,dong,동작구,상도2동
상도3동,11590550,dong,동작구,상도3동
상도4동,11590560,dong,동작구,상도4동
흑석동,11590605,dong,동작구,흑석동
사당1동,11590620,dong,동작구,사당1동
사당2동,11590630,dong,동작구,사당2동
사당3동,11590640,dong,동작구,사당3동
사당4동,11590650,dong,동작구,사당4동
사당5동,11590651,dong,동작구,사당5동
대방동,11590660,dong,동작구,대방동
신대방1동,11590670,dong,동작구,신대방1동
신대방2동,11590680,dong,동작구,신대방2동
관악구,11620,gu,관악구,계
보라매동,11620525,dong,관악구,보라매동
청림동,11620545,dong,관악구,청림동
성현동,11620565,dong,관악구,성현동
행운동,11620575,dong,관악구,행운동
낙성대동,11620585,dong,관악구,낙성대동
청룡동,11620595,dong,관악구,청룡동
은천동,11620605,dong,관악구,은천동
중앙동,11620615,dong,관악구,중앙동
인헌동,11620625,dong,관악구,인헌동
남현동,11620630,dong,관악구,남현동
서원동,11620645,dong,관악구,서원동
신원동,11620655,dong,관악구,신원동
서림동,11620665,dong,관악구,서림동
신사동,11620685,dong,관악구,신사동
신림동,11620695,dong,관악구,신림동
난향동,11620715,dong,관악구,난향동
조원동,11620725,dong,관악구,조원동
대학동,11620735,dong,관악구,대학동
삼성동,11620745,dong,관악구,삼성동
미성동,11620765,dong,관악구,미성동
난곡동,11620775,dong,관악구,난곡동
서초구,11650,gu,서초구,계
서초1동,11650510,dong,서초구,서초1동
서초2동,11650520,dong,서초구,서초2동
서초3동,11650530,dong,서초구,서초3동
서초4동,11650531,dong,서초구,서초4동
잠원동,11650540,dong,서초구,잠원동
반포본동,11650550,dong,서초구,반포본동
반포1동,11650560,dong,서초구,반포1동
반포2동,11650570,dong,서초구,반포2동
반포3동,11650580,dong,서초구,반포3동
반포4동,11650581,dong,서초구,반포4동
방배본동,11650590,dong,서초구,방배본동
방배1동,11650600,dong,서초구,방배1동
방배2동,11650610,dong,서초구,방배2동
방배3동,11650620,dong,서초구,방배3동
방배4동,11650621,dong,서초구,방배4동
양재1동,11650651,dong,서초구,양재1동
양재2동,11650652,dong,서초구,양재2동
내곡동,11650660,dong,서초구,내곡동
강남구,11680,gu,강남구,계
신사동,11680510,dong,강남구,신사동
논현1동,11680521,dong,강남구,논현1동
논현2동,11680531,dong,강남구,논현2동
압구정동,11680545,dong,강남구,압구정동
청담동,11680565,dong,강남구,청담동
삼성1동,11680580,dong,강남구,삼성1동
삼성2동,11680590,dong,강남구,삼성2동
대치1동,11680600,dong,강남구,대치1동
대치2동,11680610,dong,강남구,대치2동
대치4동,11680630,dong,강남구,대치4동
역삼1동,11680640,dong,강남구,역삼1동
역삼2동,11680650,dong,강남구,역삼2동
도곡1동,11680655,dong,강남구,도곡1동
도곡2동,11680656,dong,강남구,도곡2동
개포1동,11680660,dong,강남구,개포1동
개포2동,11680670,dong,강남구,개포2동
개포4동,11680690,dong,강남구,개포4동
세곡동,11680700,dong,강남구,세곡동
일원본동,11680720,dong,강남구,일원본동
일원1동,11680730,dong,강남구,일원1동
일원2동,11680740,dong,강남구,일원2동
수서동,11680750,dong,강남구,수서동
송파구,11710,gu,송파구,계
풍납1동,11710510,dong,송파구,풍납1동
풍납2동,11710520,dong,송파구,풍납2동
거여1동,11710531,dong,송파구,거여1동
거여2동,11710532,dong,송파구,거여2동
마천1동,11710540,dong,송파구,마천1동
마천2동,11710550,dong,송파구,마천2동
방이1동,11710561,dong,송파구,방이1동
방이2동,11710562,dong,송파구,방이2동
오륜동,11710566,dong,송파구,오륜동
오금동,11710570,dong,송파구,오금동
송파1동,11710580,dong,송파구,송파1동
송파2동,11710590,dong,송파구,송파2동
석촌동,11710600,dong,송파구,석촌동
삼전동,11710610,dong,송파구,삼전동
가락본동,11710620,dong,송파구,가락본동
가락1동,11710631,dong,송파구,가락1동
가락2동,11710632,dong,송파구,가락2동
문정1동,11710641,dong,송파구,문정1동
문정2동,11710642,dong,송파구,문정2동
장지동,11710646,dong,송파구,장지동
위례동,11710647,dong,송파구,위례동
잠실본동,11710650,dong,송파구,잠실본동
잠실2동,11710670,dong,송파구,잠실2동
잠실3동,11710680,dong,송파구,잠실3동
잠실4동,11710690,dong,송파구,잠실4동
잠실6동,11710710,dong,송파구,잠실6동
잠실7동,11710720,dong,송파구,잠실7동
강동구,11740,gu,강동구,계
강일동,11740515,dong,강동구,강일동
상일동,11740520,dong,강동구,상일동
명일1동,11740530,dong,강동구,명일1동
명일2동,11740540,dong,강동구,명일2동
고덕1동,11740550,dong,강동구,고덕1동
고덕2동,11740560,dong,강동구,고덕2동
암사1동,11740570,dong,강동구,암사1동
암사2동,11740580,dong,강동구,암사2동
암사3동,11740590,dong,강동구,암사3동
천호1동,11740600,dong,강동구,천호1동
천호2동,11740610,dong,강동구,천호2동
천호3동,11740620,dong,강동구,천호3동
성내1동,11740640,dong,강동구,성내1동
성내2동,11740650,dong,강동구,성내2동
성내3동,11740660,dong,강동구,성내3동
길동,11740685,dong,강동구,길동
둔촌1동,11740690,dong,강동구,둔촌1동
둔촌2동,11740700,dong,강동구,둔촌2동
