이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
동선동,11290575,140172,653,1142,4775,2719,2168,1893,1435,1085,410,5686,1464,972,676,12527.63,45525.84,42,54,23,653,0,7,14,30,8,0,39791672
돈암1동,11290580,103208,945,1528,2252,2162,2465,2843,2087,1266,506,1789,1541,1364,1244,2698.964,10192.22,7,10,0,43,1,1,1,1,3,0,11124681
돈암2동,11290590,109228,2298,3015,3036,3245,4814,4026,2498,1402,662,1562,1759,2223,2283,3166.299,34779.99,5,3,1,9,0,0,1,0,0,0,20057909
안암동,11290600,125533,559,1153,6166,2433,1924,2181,1457,1029,426,5838,1405,898,719,5583.649,28454.79,49,30,1,482,2,19,14,20,1,1,51375222
보문동,11290610,94935,1101,1114,3031,2887,2643,2691,1812,1060,444,3764,1566,1284,1059,7233.023,29063.41,18,32,5,207,6,3,2,6,1,1,25901116
정릉1동,11290620,82374,1585,1987,2750,2870,3425,2828,2130,1365,533,2181,1615,1633,1509,1793.056,21905.88,14,21,2,133,2,1,3,4,6,1,1.11E+08
정릉2동,11290630,146211,1685,2153,3325,3221,3884,3834,3246,1918,721,3007,2291,1996,1799,2027.222,13379.8,14,26,3,146,4,5,5,9,0,0,40940917
정릉3동,11290640,98705,782,1282,4066,2173,2162,2479,2128,1512,611,3969,1501,1086,879,2895.966,15282.81,15,24,0,173,0,3,7,3,3,0,62812309
정릉4동,11290650,137973,1989,2436,3465,3794,4564,4244,3458,2144,766,3603,2568,2276,1931,1794.973,13140.25,15,38,4,177,1,6,10,6,4,1,65854507
길음1동,11290660,139858,4453,4869,3530,5458,8175,4724,3167,2043,750,2547,2439,3146,3759,2122.074,31322.18,6,27,4,197,0,3,5,7,3,1,33422962
길음2동,11290685,147536,1336,1409,2152,2523,2834,2597,1934,1027,387,2301,1399,1361,1260,594.1515,19392.8,5,19,2,118,2,1,3,3,3,0,1.12E+08
종암동,11290705,92412,3120,4111,7163,5752,6927,6524,4451,2877,1297,6296,3538,3264,3062,6371.664,27163.57,27,41,11,339,7,9,11,22,3,1,65717992
월곡1동,11290715,101653,2358,2780,3186,3786,4934,4312,3418,2077,741,3127,2427,2265,2244,2512.297,10342.25,16,47,8,247,2,3,5,9,4,0,26840574
월곡2동,11290725,97317,1320,1584,3653,3031,3097,3142,2530,1550,625,3929,1857,1524,1347,4967.75,43698.5,23,37,4,338,4,5,8,20,1,2,38112252
장위1동,11290760,53492,1080,1777,3067,2597,3237,4033,2876,1673,607,3342,2122,1666,1421,1274.025,18348.55,11,34,3,151,5,3,2,9,0,0,61299368
장위2동,11290770,84513,639,1044,1891,1698,2155,2671,2228,1428,522,2472,1570,1148,847,2228.344,35395.19,9,37,4,201,2,2,3,8,0,1,36981070
장위3동,11290780,114259,888,1102,1444,1488,1940,2099,1552,943,313,1673,1048,945,882,1319.496,36800.72,3,26,3,95,5,1,0,1,1,0,61744823
석관동,11290810,90949,2256,2490,5424,5271,5460,6253,4992,3111,1052,6284,3690,3022,2255,3849.596,25667.2,27,55,11,391,2,4,9,19,3,0,48700169
삼양동,11305534,93911,1537,2278,3325,3412,4073,4643,3639,2227,753,4593,2704,2124,1635,1185.574,18231.41,13,46,6,160,4,10,6,12,4,3,24351191
미아동,11305535,94767,997,1547,3906,3218,3347,4010,3190,2027,726,5614,2435,1654,1242,2132.731,15451.91,34,37,30,371,2,6,10,26,2,1,20119900
송중동,11305545,116732,1469,2091,4172,4013,4532,5013,4165,2662,857,5580,2821,2191,1789,2261.892,24947.52,26,57,27,510,2,6,10,43,5,1,41825233
송천동,11305555,90423,1335,1933,3962,3785,4280,5495,4346,2769,972,6203,3152,2233,1668,2098.026,16921.87,26,53,22,419,3,2,12,20,2,0,47183262
삼각산동,11305575,153338,3417,4232,3441,4365,6941,4911,3157,1913,707,2538,2470,2744,3184,1227.141,26937.05,8,19,1,132,0,3,3,6,3,0,65892797
번1동,11305590,92235,821,1244,3480,3090,3112,3259,2506,1728,541,5459,2121,1422,992,3041.254,23310.55,33,36,43,377,6,6,5,36,1,0,66693066
번2동,11305600,92725,894,1255,2221,2127,2725,2955,2604,1947,588,2655,2085,1505,1028,1161.477,19779.73,7,17,1,71,1,1,3,4,1,0,51679925
번3동,11305606,99483,1101,1593,2137,2072,2986,2930,2653,2460,650,2197,2144,1575,1251,1294.995,25108.53,8,21,0,93,3,5,3,3,5,0,56057730
수유1동,11305610,96451,1181,1551,3266,3019,3196,3923,3101,1933,735,4638,2311,1701,1257,2171.963,12212.57,18,42,36,248,3,6,8,14,1,1,47471404
수유2동,11305620,79360,1231,1618,3111,2782,3324,3876,3151,2091,855,3393,2447,1801,1412,2047.904,13926.67,19,30,3,227,1,8,7,20,1,1,40700592
수유3동,11305630,120010,1012,1283,4401,3804,3484,4233,3214,2128,705,6742,2575,1822,1174,3410.915,21115.92,35,65,41,734,4,11,27,122,1,1,54233706
우이동,11305645,82934,1259,1554,2768,2781,3190,3725,3078,2165,812,3544,2407,1755,1290,2999.257,13368.64,19,43,13,362,0,2,6,19,1,3,39903200
인수동,11305660,60844,1911,2430,4367,4398,4899,5666,4750,3182,1179,5583,3599,2734,1975,4481.619,28756.33,27,47,13,236,3,2,4,10,4,0,29923208
창1동,11320511,81261,1802,2454,3539,3773,4502,4346,3299,1954,784,3579,2536,2283,2031,1637.482,43509.33,13,33,0,184,1,2,7,13,6,1,58686748
창2동,11320512,101554,2182,2545,4376,4676,4961,5377,3780,2219,819,3721,3000,2733,2233,3893.495,30829.2,20,33,0,182,4,7,6,11,2,0,46864923
