code,name,parent,parentname,convnum,rent2018,rent2019,rent2020
11440,마포구,11,서울특별시,543,149627,141500,146291
11440555,아현동,11440,마포구,25,206701,157396,159789
11440565,공덕동,11440,마포구,28,103366,93005,98573
11440585,도화동,11440,마포구,24,172000,202560,151398
11440590,용강동,11440,마포구,28,139479,165496,163062
11440600,대흥동,11440,마포구,40,131515,134605,160796
11440610,염리동,11440,마포구,9,120056,125407,156230
11440630,신수동,11440,마포구,17,132489,121770,112775
11440655,서강동,11440,마포구,34,155007,159598,150010
11440660,서교동,11440,마포구,125,174220,153770,167382
11440680,합정동,11440,마포구,29,137632,140609,136834
11440690,망원1동,11440,마포구,26,143486,130339,146018
11440700,망원2동,11440,마포구,18,105055,109939,114986
11440710,연남동,11440,마포구,25,124463,130961,134783
11440720,성산1동,11440,마포구,28,112213,105097,109252
11440730,성산2동,11440,마포구,36,141841,118071,123196
11440740,상암동,11440,마포구,51,179654,192119,182696
11470,양천구,11,서울특별시,318,113300,121681,118804
11470510,목1동,11470,양천구,35,152416,200270,167303
11470520,목2동,11470,양천구,27,106250,101236,123602
11470530,목3동,11470,양천구,17,130152,119871,129992
11470540,목4동,11470,양천구,19,102755,93014,109560
11470550,목5동,11470,양천구,19,188222,179597,225344
11470560,신월1동,11470,양천구,14,92224,102844,83042
11470570,신월2동,11470,양천구,9,76263,96441,85564
11470580,신월3동,11470,양천구,12,87821,76592,83498
11470590,신월4동,11470,양천구,16,127282,78040,84868
11470600,신월5동,11470,양천구,19,70434,79424,82168
11470610,신월6동,11470,양천구,10,80162,98771,86665
11470611,신월7동,11470,양천구,16,77072,85517,89006
11470620,신정1동,11470,양천구,10,122610,119243,110205
11470630,신정2동,11470,양천구,13,110392,153387,104776
11470640,신정3동,11470,양천구,19,132155,130896,142228
11470650,신정4동,11470,양천구,42,109967,111366,106319
11470670,신정6동,11470,양천구,12,215697,161151,204418
11470680,신정7동,11470,양천구,9,136951,171447,138659
11500,강서구,11,서울특별시,572,124556,133785,129933
11500510,염창동,11500,강서구,30,120022,112480,103649
11500520,등촌1동,11500,강서구,36,96292,89705,124093
11500530,등촌2동,11500,강서구,9,83520,107480,86348
11500535,등촌3동,11500,강서구,27,153408,152034,149161
11500540,화곡1동,11500,강서구,59,88548,107443,103564
11500550,화곡2동,11500,강서구,12,74873,95735,84558
11500560,화곡3동,11500,강서구,15,111778,122846,125647
11500570,화곡4동,11500,강서구,17,120581,122191,124228
11500590,화곡본동,11500,강서구,28,113590,105134,107019
11500591,화곡6동,11500,강서구,31,110257,104271,98422
11500593,화곡8동,11500,강서구,15,152370,146460,141799
11500603,가양1동,11500,강서구,86,239840,236100,206388
11500604,가양2동,11500,강서구,6,158938,180154,157863
11500605,가양3동,11500,강서구,7,92691,98568,143167
11500611,발산1동,11500,강서구,43,107256,118303,130124
11500615,우장산동,11500,강서구,24,126287,137671,141462
11500620,공항동,11500,강서구,47,103373,120392,101476
11500630,방화1동,11500,강서구,34,119026,121070,142739
11500640,방화2동,11500,강서구,27,75611,61987,85806
11500641,방화3동,11500,강서구,19,135092,147961,138970
11530,구로구,11,서울특별시,369,108803,117675,125076
11530510,신도림동,11530,구로구,35,121697,129209,127137
11530520,구로1동,11530,구로구,13,127816,138793,162310
11530530,구로2동,11530,구로구,28,113861,112997,121898
11530540,구로3동,11530,구로구,68,171524,168180,172368
11530550,구로4동,11530,구로구,20,126113,128100,145626
11530560,구로5동,11530,구로구,31,86362,111857,101415
11530595,가리봉동,11530,구로구,14,76350,94573,128673
11530720,고척1동,11530,구로구,14,101807,101455,151326
11530730,고척2동,11530,구로구,23,69820,79060,91993
11530740,개봉1동,11530,구로구,22,93218,91282,91468
11530750,개봉2동,11530,구로구,12,99193,139488,118448
11530760,개봉3동,11530,구로구,9,79498,96867,93711
11530770,오류1동,11530,구로구,24,97961,153515,149505
11530780,오류2동,11530,구로구,34,108371,126987,107969
11530790,수궁동,11530,구로구,22,73171,80094,95966
11545,금천구,11,서울특별시,303,100783,110918,123501
11545510,가산동,11545,금천구,124,108401,137590,166558
11545610,독산1동,11545,금천구,45,101676,110389,109787
11545620,독산2동,11545,금천구,15,77147,90324,94324
11545630,독산3동,11545,금천구,23,90960,86576,93418
11545640,독산4동,11545,금천구,15,79178,102744,107298
11545670,시흥1동,11545,금천구,42,108348,111267,136440
11545680,시흥2동,11545,금천구,3,154199,123494,152894
11545690,시흥3동,11545,금천구,9,106961,86902,110290
11545700,시흥4동,11545,금천구,11,92996,120069,99453
11545710,시흥5동,11545,금천구,16,106072,137902,110252
11560,영등포구,11,서울특별시,530,112828,113743,124311
11560515,영등포본동,11560,영등포구,21,130543,100810,89692
11560535,영등포동,11560,영등포구,68,128215,123568,136441
11560540,여의동,11560,영등포구,108,187993,225105,204094
11560550,당산1동,11560,영등포구,37,98777,93185,107130
11560560,당산2동,11560,영등포구,42,143401,135625,158043
11560585,도림동,11560,영등포구,12,79065,81208,99885
11560605,문래동,11560,영등포구,45,114516,98580,106184
11560610,양평1동,11560,영등포구,22,72461,91690,94279
11560620,양평2동,11560,영등포구,38,110113,105773,114266
11560630,신길1동,11560,영등포구,17,87032,88591,129279
11560650,신길3동,11560,영등포구,11,111927,123715,89922
11560660,신길4동,11560,영등포구,5,103159,70967,52660
11560670,신길5동,11560,영등포구,9,77926,76080,99342
11560680,신길6동,11560,영등포구,15,134704,96695,102609
11560690,신길7동,11560,영등포구,16,101418,106559,117875
11560700,대림1동,11560,영등포구,14,85886,112057,108577
11560710,대림2동,11560,영등포구,20,118731,126878,149784
11560720,대림3동,11560,영등포구,30,80087,97682,95373
11590,동작구,11,서울특별시,341,127102,130395,139489
11590510,노량진1동,11590,동작구,40,163272,141025,173989
11590520,노량진2동,11590,동작구,18,115939,164676,149362
11590530,상도1동,11590,동작구,50,116809,148106,117707
11590540,상도2동,11590,동작구,16,108435,146064,132651
11590550,상도3동,11590,동작구,12,172873,134293,157731
11590560,상도4동,11590,동작구,14,80353,88902,112427
11590605,흑석동,11590,동작구,29,138201,117570,135996
11590620,사당1동,11590,동작구,27,107548,117786,120344
11590630,사당2동,11590,동작구,27,180474,152933,182644
11590640,사당3동,11590,동작구,13,130842,135543,125161
11590650,사당4동,11590,동작구,9,151939,102743,175360
11590651,사당5동,11590,동작구,9,92915,69552,86960
11590660,대방동,11590,동작구,36,115822,120680,112480
11590670,신대방1동,11590,동작구,11,115816,121534,118103
11590680,신대방2동,11590,동작구,30,110308,148477,160773
11620,관악구,11,서울특별시,459,123668,129783,124519
11620525,보라매동,11620,관악구,17,100775,110564,103544
11620545,청림동,11620,관악구,7,75945,0,75670
11620565,성현동,11620,관악구,9,120950,84944,111480
11620575,행운동,11620,관악구,31,115005,116881,113750
11620585,낙성대동,11620,관악구,28,122840,158253,137546
11620595,청룡동,11620,관악구,43,163423,145424,130694
11620605,은천동,11620,관악구,24,144398,125185,138511
11620615,중앙동,11620,관악구,20,117149,146400,115033
11620625,인헌동,11620,관악구,22,148282,120228,139326
11620630,남현동,11620,관악구,19,117371,212269,158590
11620645,서원동,11620,관악구,27,162127,173563,155004
11620655,신원동,11620,관악구,10,138271,164874,125867
11620665,서림동,11620,관악구,22,81403,103531,97431
11620685,신사동,11620,관악구,24,106746,99350,132995
11620695,신림동,11620,관악구,37,157066,197512,161686
11620715,난향동,11620,관악구,3,130053,78648,105507
11620725,조원동,11620,관악구,24,85133,96721,102115
11620735,대학동,11620,관악구,42,114378,125414,115241
11620745,삼성동,11620,관악구,9,96875,78878,74483
11620765,미성동,11620,관악구,22,90335,100013,105343
11620775,난곡동,11620,관악구,19,132216,109023,128676
11650,서초구,11,서울특별시,518,142847,136653,138477
11650510,서초1동,11650,서초구,34,125777,132931,128043
11650520,서초2동,11650,서초구,42,193137,159087,191125
11650530,서초3동,11650,서초구,77,136069,121117,142860
11650531,서초4동,11650,서초구,35,126006,139766,174247
11650540,잠원동,11650,서초구,28,135606,155668,132407
11650550,반포본동,11650,서초구,7,154215,143968,117101
11650560,반포1동,11650,서초구,27,189338,172872,155522
11650570,반포2동,11650,서초구,7,303013,0,295833
11650580,반포3동,11650,서초구,10,0,227111,224457
11650581,반포4동,11650,서초구,45,265483,224702,182582
11650590,방배본동,11650,서초구,21,118396,129364,122414
11650600,방배1동,11650,서초구,21,135583,121183,133015
11650610,방배2동,11650,서초구,25,142822,138448,124352
11650620,방배3동,11650,서초구,18,88406,134998,114923
11650621,방배4동,11650,서초구,22,118764,115970,121448
11650651,양재1동,11650,서초구,43,146052,120974,136925
11650652,양재2동,11650,서초구,43,87157,91743,93580
11650660,내곡동,11650,서초구,13,135860,87352,154196
11680,강남구,11,서울특별시,951,159885,164009,171681
11680510,신사동,11680,강남구,42,190766,189594,173290
11680521,논현1동,11680,강남구,79,158358,164930,159334
11680531,논현2동,11680,강남구,74,141326,139437,140442
11680545,압구정동,11680,강남구,55,179640,197817,203676
11680565,청담동,11680,강남구,54,159986,168623,167299
11680580,삼성1동,11680,강남구,58,159989,173572,181339
11680590,삼성2동,11680,강남구,52,183569,155942,172438
11680600,대치1동,11680,강남구,21,220376,279105,278364
11680610,대치2동,11680,강남구,47,171168,157488,177188
11680630,대치4동,11680,강남구,61,172127,178629,201765
11680640,역삼1동,11680,강남구,192,160658,157738,169188
11680650,역삼2동,11680,강남구,54,166016,152412,193215
11680655,도곡1동,11680,강남구,26,181810,183753,177980
11680656,도곡2동,11680,강남구,24,164714,180024,191104
11680660,개포1동,11680,강남구,2,86971,132795,0
11680670,개포2동,11680,강남구,10,114487,168681,157113
11680690,개포4동,11680,강남구,27,79851,86258,88367
11680700,세곡동,11680,강남구,22,186887,155771,146949
11680720,일원본동,11680,강남구,12,165450,142033,199699
11680730,일원1동,11680,강남구,12,105486,120060,131773
11680740,일원2동,11680,강남구,8,151600,218536,156133
11680750,수서동,11680,강남구,19,141561,132788,184392
11710,송파구,11,서울특별시,644,129378,142495,148293
11710510,풍납1동,11710,송파구,8,100747,90189,87904
