CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
금호1가동,11200590,,11200590,1,11200590,,11200590,1,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,,11200590,
금호2.3가동,11200615,,11200615,1,11200615,,11200615,1,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,,11200615,
금호4가동,11200620,,11200620,,11200620,,11200620,1,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,,11200620,
옥수동,11200645,,11200645,1,11200645,1,11200645,1,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,,11200645,
성수1가1동,11200650,,11200650,,11200650,,11200650,1,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,,11200650,
성수1가2동,11200660,,11200660,,11200660,,11200660,1,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,,11200660,
성수2가1동,11200670,,11200670,,11200670,,11200670,1,11200670,1,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,,11200670,
성수2가3동,11200690,,11200690,,11200690,,11200690,1,11200690,1,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,,11200690,
송정동,11200720,,11200720,,11200720,,11200720,1,11200720,1,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,,11200720,
용답동,11200790,,11200790,,11200790,,11200790,1,11200790,,11200790,1,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,,11200790,
