code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11290810,9.885906922,10.188079,65595667,48700169,52163454,49205992.44,91.7,92.6,95.7,99.26366
11290,0,0,62022656.83,48405855.16,42037935.1,47533765.88,94.45540166,95.7952381,97.4758427,99.33984
11305534,8.614731018,10.216704,33872968,24351191,25767945,28620277.6,100,92.3,100,99.29215
11305535,9.579581871,9.557815,48664661,20119900,40868505,44245294.14,100,97.1,96.9,98.63625
11305545,9.840704501,9.8020115,67839638,41825233,47138367,48473974.04,92,96.2,100,98.87934
11305555,9.397003715,10.197498,46934575,47183262,40836763,41288581.5,96.3,96.2,87,99.27303
11305575,9.623292441,10.737034,83953971,65892797,41722055,44953153.15,100,100,77.8,99.81012
11305590,10.68426652,9.869808,70418436,66693066,62346889,62134811.32,93.9,93.9,93.3,98.94683
11305600,9.699737614,10.967665,49983180,51679925,41826748,46191123.86,100,100,100,100.0397
11305606,10.13142019,10.717306,81271045,56057730,54220023,53181890.7,87.5,100,100,99.79048
11305610,9.758116119,9.976463,64579913,47471404,46676774,47136518.8,94.7,100,95.7,99.053
11305620,9.749782417,10.2175865,50180127,40700592,50379957,47001560.9,100,94.7,88.2,99.29303
11305630,10.04266654,9.375415,74710866,54233706,55166706,51744593.8,97,97.1,100,98.45468
11305645,9.760027068,9.985852,84864169,39903200,34403649,47167465.14,100,89.5,100,99.06235
11305660,9.073645536,9.894732,37846162,29923208,30766683,36052044.8,100,85.2,96.3,98.97164
11305,0,0,59620150.7,43755170.21,45269963.89,40830440.3,97.00037453,94.87582418,95.59411765,99.19251
11320511,9.485256222,10.436851,82524399,58686748,93716003,42717762.88,100,100,86.7,99.5113
11320512,9.756604191,10.263165,63040542,46864923,52561478,47112034.29,100,100,95.5,99.3384
11320513,8.865116499,10.539152,31772557,34056963,24032017,32675077.64,90.9,100,100,99.61314
11320514,9.743086157,10.4162035,59789489,37873417,44288387,46893120.13,94.1,100,100,99.490746
11320515,10.27329698,10.279628,89857658,69214906,60776532,55479476.16,100,100,94.7,99.35479
11320521,9.71734477,10.199491,61962294,68911497,70912623,46476258.2,100,90,100,99.27502
11320522,8.245946348,10.148678,31337536,15328720,19615930,22648093.86,92.3,92.9,100,99.224434
11320660,9.889552154,10.4194145,58834495,43898218,48306808,49265024.16,94.4,94.1,100,99.49394
11320670,9.890006332,10.637231,57167541,50070186,53082060,49272379.23,71.4,83.3,100,99.71077
11320680,8.990164615,10.536509,45824107,36744046,25366072,34700135.58,100,100,100,99.610504
11320681,10.04474398,10.8475895,75750321,72693518,56803029,51778236.25,100,100,100,99.92017
11320690,11.59472877,9.858826,98309480,83781119,88534446,76879046.29,100,100,100,98.9359
11320700,10.05907019,10.534998,88851541,71740883,54067449,52010238.14,91.7,100,100,99.609
11320710,9.983798303,10.751466,73209271,55593235,50847544,50791267.96,100,100,100,99.824486
11320,0,0,67059813.49,54759292.73,55441799.86,38463458.82,95.88447489,97.27227273,98.27931035,99.49376
11350560,9.152983599,9.282648,48718168,34273160,34068342,37336863.64,100,97.3,97,98.362335
11350570,8.53506267,10.32106,37449910,29725094,18417152,27330110.05,100,100,100,99.396034
11350580,9.597548513,10.548801,52182379,11530139,16012427,44536250.07,100,100,100,99.62274
11350595,9.321650714,8.7359085,46035129,32965257,35403216,40068297.68,97.9,95.6,100,97.81808
11350600,9.848829138,9.135527,66374872,49612349,29400680,48605546.28,92.7,97.3,97.4,98.21588
11350611,9.943652201,10.1814575,56591822,50329286,47424127,50141132.76,100,100,95,99.257065
11350612,8.344332479,10.893199,28263165,0,0,24241381.49,100,100,100,99.965576
11350619,10.6987074,10.545858,68108330,69943707,57789384,62368670.26,100,91.7,100,99.61981
11350621,10.22627788,10.590908,63248320,59054801,36937802,54718037.96,100,100,92.3,99.66466
11350624,9.534081368,10.638886,54384989,26345060,41389371,43508448.53,90.9,100,100,99.71242
11350625,12.20328737,10.616468,121000000,97267864,94748961,86734184.18,100,100,100,99.6901
