이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
월계1동,11350560,103361,1611,1960,4195,3396,3737,3758,3003,1780,609,4264,2126,1766,1742,36,2,48718168
월계2동,11350570,88942,1888,2446,3236,3510,4439,4527,3814,2177,843,3636,2895,2217,1922,18,0,37449910
월계3동,11350580,128814,2938,2556,3938,5536,5187,5029,4284,2424,903,3466,3409,2963,2470,9,1,52182379
공릉1동,11350595,105489,2570,3296,7149,6357,5956,6250,4870,2452,872,7702,3666,3040,2732,48,2,46035129
공릉2동,11350600,97328,3504,5080,6757,5874,7283,6249,3976,2017,809,5087,2972,3223,3781,41,1,66374872
하계1동,11350611,87420,1394,4338,5658,3040,5001,5155,3044,1687,790,4620,2292,2228,2551,21,0,56591822
하계2동,11350612,128814,1733,3340,3384,2823,4582,4112,2138,1281,609,1545,1722,2048,2391,4,1,28263165
중계본동,11350619,152734,1724,4955,3780,2094,5850,4802,2097,1119,545,2127,1367,1947,2916,14,0,68108330
중계1동,11350621,210576,2034,6172,3354,2099,7210,4427,1722,1001,461,1391,1275,2253,3454,14,0,63248320
중계4동,11350624,143662,1402,2699,2764,2391,4017,3614,2573,1686,630,2338,1931,1702,1940,11,0,54384989
중계2.3동,11350625,208505,2698,3971,4687,5068,6829,5873,4557,3133,1316,4599,3880,3267,2977,9,1,1.21E+08
상계1동,11350630,117448,2860,3924,5924,5573,6580,7361,5104,2737,1076,4242,3499,3366,3431,27,1,54091082
상계2동,11350640,151481,1199,2229,3630,2614,3554,4076,2559,1339,520,3003,1675,1643,1891,25,1,1.30E+08
상계3.4동,11350665,82843,1488,2392,3285,3073,4331,4921,3923,2698,927,4541,2793,2074,1817,15,1,43406546
상계5동,11350670,94242,1430,2580,3762,3160,4351,4810,3369,2210,812,3812,2622,2202,1937,12,1,45182682
상계6.7동,11350695,158613,3139,3721,4881,5548,6448,5637,3504,1823,872,4021,3133,3136,3055,28,0,73827405
상계8동,11350700,185570,3049,2606,2653,5523,4321,2948,2050,1084,498,2107,2176,2365,2191,6,1,88389112
상계9동,11350710,156429,1800,2593,2860,3248,4090,3604,2540,1269,558,1965,2050,2040,2016,7,0,63105192
상계10동,11350720,128814,1235,1715,2501,2798,2956,2842,1892,813,410,1679,1622,1634,1420,5,0,32735135
녹번동,11380510,96273,2226,2447,4406,5223,5388,5453,4144,2746,954,5957,3332,2656,2140,26,2,54243217
불광1동,11380520,117929,3103,3185,5683,6363,6831,6995,4989,3393,1277,6079,4123,3680,2885,13,1,46448386
불광2동,11380530,104358,1558,2316,4376,4435,4726,5196,3965,2583,855,5506,3267,2424,1824,25,1,65003032
갈현1동,11380551,95771,1336,2115,3956,3631,4015,4347,3208,1989,624,4263,2622,2082,1607,21,0,55514444
갈현2동,11380552,109404,2010,3163,4467,4643,5241,4993,3410,2130,740,3971,2893,2677,2227,34,0,41367419
구산동,11380560,83293,2272,3186,4554,4621,5643,5701,4286,2587,915,3606,2990,2764,2512,24,1,59621074
대조동,11380570,102072,1901,2443,5275,5471,5249,5185,3906,2635,853,7258,3435,2477,1935,33,1,74305258
응암1동,11380580,115080,1883,2773,3404,4177,4641,3820,2873,1879,678,4411,2425,1993,1784,27,0,68752411
응암2동,11380590,85725,2362,1981,2319,3728,4063,2998,2166,1383,468,2432,1866,1871,1698,4,0,10179624
응암3동,11380600,93465,1311,2042,3672,3707,4172,4564,3514,2535,930,5511,2799,2060,1549,28,0,91070231
역촌동,11380625,92550,3665,4413,6910,8140,8593,8009,5749,3617,1193,7012,4730,4278,3613,41,0,59876717
신사1동,11380631,93935,1883,2384,3967,4431,4591,4575,3391,2127,670,3432,2662,2432,2085,20,1,76134577
신사2동,11380632,75108,1453,2065,3027,3272,3622,3756,2845,1567,572,2937,2108,1835,1651,12,1,48263820
증산동,11380640,63743,1041,1389,2204,2275,2659,2857,2259,1400,468,2381,1646,1294,1203,16,1,62634102
수색동,11380650,73809,647,924,1656,1705,1815,2252,1830,1059,407,1895,1260,973,851,1,1,45243343
진관동,11380690,131409,5769,7211,6564,7475,11336,7821,5454,3155,1206,5079,3786,4051,5094,32,1,38880534
천연동,11410520,99609,1585,1733,2412,2822,3325,3075,2059,1512,651,3331,1680,1548,1399,10,0,54699441
북아현동,11410555,188282,1512,1234,2822,3227,2872,2942,1649,1078,407,2790,1683,1483,1295,8,0,42321069
충현동,11410565,108396,893,1419,2984,2723,2912,3250,2225,1416,626,4313,1677,1258,1146,27,2,74505272
신촌동,11410585,217905,1038,1286,10124,3747,2199,2058,1420,1039,427,8497,1480,849,669,82,2,77828048
연희동,11410615,105565,2076,3171,8288,6455,6117,5803,4126,3048,1196,9375,3508,2620,2213,37,0,83372158
홍제1동,11410620,119428,1589,2057,3010,3356,3957,3780,2899,1947,722,3136,2246,1886,1672,14,0,63044336
홍제3동,11410640,104529,910,1422,2253,2090,2668,2866,2249,1617,640,2582,1636,1365,1156,11,1,91872039
홍제2동,11410655,121252,1009,1279,1979,2013,2376,2698,1783,1228,456,1632,1419,1271,1169,4,1,75391002
홍은1동,11410660,102028,1508,2245,3300,3026,3911,4240,3089,2031,817,3225,2156,1953,1829,10,0,62340083
홍은2동,11410685,107582,1736,2729,4514,4017,4903,4946,3494,2366,909,4687,2800,2326,2051,20,0,53458376
남가좌1동,11410690,202508,2443,1432,2008,2919,3206,2273,1634,978,350,1426,1162,1491,1489,8,1,60666779
남가좌2동,11410700,84515,1486,1981,3707,3168,3637,3666,2627,1855,714,4202,2185,1719,1516,21,0,38899856
북가좌1동,11410710,134330,1758,2017,2396,2909,3548,3016,2051,1334,475,1489,1597,1704,1707,10,0,75127729
북가좌2동,11410720,111716,2144,2967,4974,4950,5694,5807,4230,2751,930,5257,3453,2850,2428,32,0,55114688
아현동,11440555,206701,2706,1787,3445,5459,4134,4015,2338,1296,566,3214,2270,2350,2001,22,1,63541429
공덕동,11440565,103366,2585,2841,6551,7048,6551,6836,4281,2739,1086,7859,3929,3199,2701,30,1,48559722
도화동,11440585,172000,1719,1848,3182,4002,3701,3606,2488,1580,771,3524,2042,1823,1689,22,0,67191914
용강동,11440590,139479,2429,2018,2599,4102,4458,3108,1974,1283,570,3079,1926,1898,1716,29,1,47644461
대흥동,11440600,131515,490,852,4028,2115,1901,1839,1213,890,365,4664,1187,657,521,41,3,72922446
염리동,11440610,120056,654,959,2163,1593,1862,1656,1102,837,317,2349,1026,754,623,9,1,49842795
신수동,11440630,132489,1656,1974,3330,3609,3852,3187,2108,1409,575,3487,1851,1760,1607,17,0,71459455
서강동,11440655,155007,2033,2015,5021,4686,4345,3679,2160,1338,568,5036,2208,1968,1800,41,2,71504625
서교동,11440660,174220,1145,1527,6072,5748,4057,3148,2196,1577,675,8332,2452,1515,1198,132,2,90178696
합정동,11440680,137632,1487,1155,3736,4307,2823,2596,1866,1223,461,4836,2131,1303,1026,29,1,78262960
망원1동,11440690,143486,1277,1571,3484,4173,3555,3156,2305,1534,553,4769,2280,1501,1287,25,0,64886048
망원2동,11440700,105055,1477,1882,2738,3331,3568,2814,2110,1346,451,2799,1873,1531,1535,18,0,53377675
연남동,11440710,124463,851,1056,3588,3672,2674,2323,1789,1144,484,4704,1834,1109,834,26,0,57812942
성산1동,11440720,112213,1241,1706,3206,3808,3731,2865,2085,1361,445,4030,1989,1566,1253,31,0,43071951
성산2동,11440730,141841,3193,4061,6273,6952,7384,5601,3988,2790,935,6940,3682,3242,3082,30,2,62391219
상암동,11440740,179654,3547,4503,4137,4844,7011,4320,2782,1686,672,3888,2395,2518,2807,53,1,73776171
목1동,11470510,152416,3132,5388,3758,3811,7379,4860,2550,1176,437,1582,1674,2791,3582,36,2,67452083
목2동,11470520,106250,2135,2999,5134,5846,4958,5217,3313,1520,590,4160,2767,2622,2495,25,1,41716898
목3동,11470530,130152,1496,1764,3567,4050,3350,3720,2494,1221,512,3263,2110,1902,1591,17,1,63108875
목4동,11470540,102755,1756,3954,4158,3272,5309,4732,2376,1302,483,2715,1862,2070,2629,21,0,33278909
목5동,11470550,188222,3724,7869,5111,4449,9678,6778,3574,1438,738,1612,1987,3550,5233,19,0,95751179
신월1동,11470560,92224,1361,1655,2964,3333,3650,4317,3214,1619,471,4129,2295,1821,1422,16,0,64933586
신월2동,11470570,76263,1810,2016,2922,3677,3601,3719,3215,1457,473,2342,1986,1947,1722,9,0,38059445
신월3동,11470580,87821,1153,1431,2389,2396,2732,3300,2296,1217,404,3811,1796,1284,963,11,0,70632101
신월4동,11470590,127282,1897,1854,2298,3062,3186,3146,2481,1208,399,1404,1576,1671,1661,15,0,50342883
신월5동,11470600,70434,1269,1431,2307,2460,2544,2711,1864,968,309,2030,1419,1331,1200,16,0,43557685
신월6동,11470610,80162,463,756,870,897,1131,1249,929,468,140,695,566,554,586,6,0,43407520
신월7동,11470611,77072,1506,1887,2963,3348,3530,3979,3177,1680,680,2803,2449,2037,1621,13,1,45306961
신정1동,11470620,122610,1913,3266,2683,2452,4320,3534,2002,1022,415,1399,1210,1640,2359,10,0,75428266
신정2동,11470630,110392,1404,3236,2925,2047,4183,3790,1982,1023,423,1546,1230,1509,2284,12,0,37337906
신정3동,11470640,132155,4526,5978,6093,6863,9253,8065,5258,2754,1001,4228,3882,3986,4403,19,1,61025285
신정4동,11470650,109967,2337,2750,5469,6272,5838,6066,4482,2384,667,6273,3515,2917,2338,48,1,44326945
신정6동,11470670,215697,2141,3983,3467,2920,5130,4317,2266,861,415,983,1362,2232,2927,12,0,61517015
