이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
등촌3동,11500535,149161,1807,2230,4333,4770,4132,5607,5078,2526,1417,6000,3963,2613,1936,27,0,49882757
화곡1동,11500540,103564,3094,2670,9357,11173,7854,7887,7044,3741,1169,12725,6199,4314,2624,59,1,76108776
화곡2동,11500550,84558,1373,1541,2613,3127,3279,2958,2456,1333,374,2939,2088,1632,1168,12,0,25063119
화곡3동,11500560,125647,1381,1668,3253,3352,3313,3487,3425,1773,545,3381,2189,1831,1541,15,0,59049010
화곡4동,11500570,124228,1269,1445,3026,3603,3337,3600,3163,1653,571,3697,2474,1828,1311,17,0,51800332
화곡본동,11500590,107019,2499,2574,5873,6714,5793,5040,4164,2107,654,7343,3818,2785,2092,28,0,47558069
화곡6동,11500591,98422,1396,1733,4282,4277,3750,4094,3602,1628,547,5718,2542,1896,1554,31,0,58238352
화곡8동,11500593,141799,1523,1702,3941,4578,4147,4000,3573,2035,580,4594,3072,2124,1549,15,1,46124899
가양1동,11500603,206388,1849,1990,8371,8204,4623,4268,3118,1192,484,12467,2659,2093,1752,86,2,46038461
가양2동,11500604,157863,557,486,1838,2575,1498,2385,3202,1530,756,4158,2146,1075,553,6,1,1.75E+08
가양3동,11500605,143167,784,650,1919,3248,2018,2400,2658,1546,631,3304,2415,1360,652,7,0,14089936
발산1동,11500611,130124,3666,5127,4755,4639,7488,5747,3858,2105,755,2875,3032,3095,3558,43,0,16229005
우장산동,11500615,141462,3984,5523,5353,5875,8748,6576,4920,2470,730,3887,3238,3681,4271,24,1,81566284
공항동,11500620,101476,2699,1750,3923,5298,4443,4171,3274,1698,637,5700,2723,2075,1750,47,4,35160226
방화1동,11500630,142739,4558,4301,5507,6820,7893,6702,5511,2794,1012,5002,3964,3636,3711,34,2,70175375
방화2동,11500640,85806,1252,1544,3475,3608,3354,3801,3636,2115,848,5612,2592,1706,1267,27,2,26554631
방화3동,11500641,138970,1496,1606,2709,3832,3620,3747,3879,2119,926,4741,2856,1957,1354,19,1,38141793
신도림동,11530510,127137,3676,3557,4483,6448,6588,5232,3976,1958,688,3051,2980,3306,3264,35,2,37987060
구로1동,11530520,162310,2008,2019,2974,4124,3747,3141,2534,970,346,2270,1909,1857,1868,13,0,28308939
구로2동,11530530,121898,1618,1699,4046,4747,5443,7988,4984,2733,991,6282,2947,1829,1213,28,1,43460413
구로3동,11530540,172368,1610,1522,4308,5560,4369,3598,2789,1553,587,7672,2275,1607,1246,68,2,56430632
구로4동,11530550,145626,1218,1307,3158,3850,4106,5448,3767,2115,788,5195,2515,1597,1031,20,0,43654492
구로5동,11530560,101415,2155,1793,5378,6183,4861,5734,4110,2116,743,7120,3020,2181,1783,31,1,68505761
가리봉동,11530595,128673,520,425,1664,2107,2412,4268,2285,922,379,4088,1012,481,290,14,0,70971252
고척1동,11530720,151326,1433,2059,3470,3060,3699,4073,3526,1921,625,3059,2231,1901,1880,14,0,47080460
고척2동,11530730,91993,1963,2354,3740,3524,4540,5069,3988,2282,852,3845,2758,2326,2099,23,0,31038094
개봉1동,11530740,91468,2112,2435,4317,4610,4930,5815,4950,2789,935,4949,3454,2591,2147,22,1,33739626
개봉2동,11530750,118448,2430,2426,3917,4945,4981,5060,4993,2815,864,3251,3303,2893,2385,12,0,30960256
개봉3동,11530760,93711,1385,1552,2727,3155,3403,3686,3466,1785,652,2687,2402,1906,1496,9,0,1.04E+08
오류1동,11530770,149505,1344,1292,4070,4562,3336,3280,2981,1804,660,5892,2472,1644,1219,24,0,90794113
오류2동,11530780,107969,6312,5023,6480,9306,9427,7569,6400,3781,1342,5875,5257,4522,4269,34,2,26103492
수궁동,11530790,95966,1565,2075,3174,3459,3946,4045,3532,1971,604,2956,2623,2088,1653,22,1,37425132
가산동,11545510,166558,884,772,5913,5588,3292,4177,2601,1177,368,10527,1936,1080,702,124,1,74326888
독산1동,11545610,109787,3460,2422,7755,9104,6645,6912,4934,2550,915,10498,4124,3053,2592,45,1,57848167
독산2동,11545620,94324,1129,1327,2905,2875,3031,4552,3144,1515,473,4142,2261,1510,1074,15,0,24431952
독산3동,11545630,93418,1404,1539,4123,4192,4290,6685,4298,1999,696,5978,2866,1839,1380,23,0,51927398
독산4동,11545640,107298,877,1090,2471,2384,2693,4091,2617,1311,399,3471,1814,1204,872,15,0,52217085
시흥1동,11545670,136440,2201,2425,5100,5266,5564,6790,4996,2801,960,6899,3689,2652,2103,42,1,42101264
시흥2동,11545680,152894,1654,2184,2581,2606,3616,3864,3169,1828,674,2137,2075,1837,1755,3,0,21342160
시흥3동,11545690,110290,599,753,1513,1513,1623,2094,1910,1047,361,1511,1291,945,749,9,0,58883880
시흥4동,11545700,99453,1257,1610,2844,2801,3216,4233,3420,1793,620,3213,2314,1730,1419,11,0,78260756
시흥5동,11545710,110252,1052,1506,2611,2477,3076,3830,3171,1948,824,3944,2395,1528,1124,16,0,60983634
영등포본동,11560515,89692,1664,1432,2930,3765,3683,4735,3484,1823,667,4666,2047,1673,1459,21,1,35127721
영등포동,11560535,136441,1218,890,6405,6748,3579,3720,2992,1538,557,13109,2332,1300,1006,68,1,38669992
여의동,11560540,204094,3081,2933,3981,5500,5593,5165,4094,2691,1407,4195,3079,2949,2725,108,4,68299530
당산1동,11560550,107130,1219,1048,3665,4346,3025,3208,2673,1442,618,5553,2180,1521,1112,37,1,69775567
당산2동,11560560,158043,2744,2306,7439,8116,5199,4790,3695,1932,864,9079,3125,2783,2402,42,1,60732872
도림동,11560585,99885,1266,1056,2872,3818,3290,3990,2676,1549,631,4643,2073,1388,979,12,0,50881304
문래동,11560605,106184,3312,2940,3828,6134,5879,4139,3523,2020,812,3997,2848,2840,2660,45,1,72672073
양평1동,11560610,94279,1296,1038,2819,4388,2903,2143,1787,1129,445,4554,2029,1310,939,22,1,42759448
양평2동,11560620,114266,1743,1656,3746,5148,3457,3106,2171,1100,470,4157,2172,1797,1599,38,1,20637324
신길1동,11560630,129279,765,993,3505,3322,2857,3264,2517,1549,662,6489,1817,1077,748,17,1,50767325
신길3동,11560650,89922,1329,1237,2278,2776,2809,3437,2561,1415,516,3026,1659,1488,1141,11,0,39736776
신길4동,11560660,52660,379,653,1322,1237,1413,1986,1577,858,354,1976,984,719,486,5,0,29272258
신길5동,11560670,99342,915,803,1512,1869,1973,2504,1845,899,328,1955,1141,900,716,9,0,13008608
신길6동,11560680,102609,1112,1171,3133,3089,2734,3239,2633,1396,572,3888,1879,1367,1099,15,1,87800400
신길7동,11560690,117875,2172,1781,2892,3579,3357,3220,2101,1032,434,2242,1658,1686,1807,16,1,16583059
대림1동,11560700,108577,734,936,2100,2060,2462,3455,2341,1378,474,3101,1436,915,730,14,0,54484426
대림2동,11560710,149784,1011,850,2274,3128,3345,5320,2882,1442,508,3798,1520,842,514,20,0,42385820
대림3동,11560720,95373,1568,1704,3459,4201,4187,6050,4022,1956,743,4079,2518,1889,1490,30,1,66999324
노량진1동,11590510,173989,2031,2050,5770,5567,4450,4799,4180,2482,1120,7361,3200,2459,1956,40,2,49794444
노량진2동,11590520,149362,414,627,2325,2068,1750,2571,2071,1235,498,4287,1457,821,535,18,0,57756581
상도1동,11590530,117707,3115,3475,11362,6622,6706,6440,5174,3093,1290,10065,3987,3653,3043,50,2,64633821
상도2동,11590540,132651,2375,1992,4521,4961,4491,4242,3340,1944,844,5211,2712,2261,2032,16,1,44517034
상도3동,11590550,157731,1387,1749,4314,4393,3880,3990,3139,2073,755,5390,2663,1998,1536,12,0,55590963
상도4동,11590560,112427,1857,1999,4676,5057,4539,4612,3701,2244,916,5874,3107,2386,1822,14,0,35198602
흑석동,11590605,135996,2444,2332,6987,5002,5020,5290,4003,2522,1143,5599,3060,2774,2313,29,1,44520289
사당1동,11590620,120344,884,991,5389,4811,3063,3350,3107,1765,500,7749,2647,1525,1053,27,0,48477888
사당2동,11590630,182644,1855,1731,3815,4650,4190,4452,3906,2423,864,4198,2962,2395,1824,27,2,56987626
사당3동,11590640,125161,2196,1677,3477,4270,3950,3782,3443,2019,648,3547,2423,2162,1832,13,0,37268264
사당4동,11590650,175360,804,770,2608,2645,2134,2188,1974,1216,407,3321,1618,1107,868,9,1,51740000
사당5동,11590651,86960,1090,989,2264,2601,2306,2214,1763,988,371,2536,1456,1255,1007,9,0,43827968
대방동,11590660,112480,2428,4298,6621,5642,6875,5965,4120,2505,1047,7137,3275,2877,3040,36,2,39322820
신대방1동,11590670,118103,1747,2646,3525,3441,4636,4661,3243,1638,658,3879,1998,1762,1915,11,1,31185359
신대방2동,11590680,160773,1512,1743,3570,3419,3308,2777,2150,1461,520,4350,1759,1475,1378,30,0,63583977
보라매동,11620525,103544,1350,1563,4956,4471,3613,3652,3347,2114,686,6082,2753,1848,1388,17,0,30572162
청림동,11620545,75670,1403,1186,1983,2686,2592,2347,1983,1210,528,2021,1668,1412,1147,7,0,86117462
성현동,11620565,111480,2147,3022,3970,4077,5227,4861,3829,2491,920,3960,2989,2482,2381,9,0,51278251
행운동,11620575,113750,1295,1464,7713,6307,3785,3636,3193,2078,645,10989,2975,1753,1320,31,0,41533690
낙성대동,11620585,137546,810,919,5751,3741,2129,1758,1384,960,332,7929,1469,845,639,28,0,43513680
청룡동,11620595,130694,1320,1774,11225,6812,4189,4176,3386,2110,667,15581,2996,1725,1367,43,1,69142206
은천동,11620605,138511,2305,2659,5670,5706,5458,5151,4316,2713,890,7100,3486,2583,2224,24,0,47855696
중앙동,11620615,115033,468,676,4619,3140,1851,2026,1666,1160,408,6508,1587,825,618,20,1,54300538
인헌동,11620625,139326,1271,1686,5962,5156,3813,3583,2935,1839,609,7916,2731,1772,1390,22,1,57539901
남현동,11620630,158590,1091,861,3977,3854,2405,2656,2208,1318,380,4879,1910,1381,983,19,0,82018568
서원동,11620645,155004,769,935,6713,4910,2968,3031,2601,1526,534,9155,2599,1330,848,27,0,58465310
신원동,11620655,125867,731,936,4514,3461,2557,2884,2378,1557,539,6526,2131,1143,784,10,0,77052526
서림동,11620665,97431,887,1199,6072,4847,3316,3190,2722,1561,551,9503,2287,1345,977,22,0,50000725
신사동,11620685,132995,1073,1310,5974,4438,3644,4347,2877,1680,548,8579,2341,1371,1034,24,0,66507254
신림동,11620695,161686,413,541,8648,5902,2566,1945,1520,967,291,14197,1927,623,356,37,1,84735578
난향동,11620715,105507,1273,1499,1748,2024,3069,2645,2102,1305,429,1944,1560,1291,1237,3,0,92881054
조원동,11620725,102115,835,908,4213,3649,2612,3135,2401,1239,465,6742,1833,984,751,24,0,37691820
대학동,11620735,115241,804,1064,6969,5109,3634,3195,2230,1313,499,12172,1831,1129,817,42,0,30671155
삼성동,11620745,74483,997,1675,3099,2893,3599,4498,4140,2702,1040,4765,2776,1872,1496,9,0,25540177
미성동,11620765,105343,1907,2454,4973,4579,4977,5275,4617,2595,816,5620,3259,2543,2087,22,0,37691918
난곡동,11620775,128676,1424,1997,4201,3899,4211,5142,4053,2536,830,5346,3198,2232,1696,19,0,32854041
서초1동,11650510,128043,1581,1958,2908,3799,3860,2982,2414,1330,470,3927,1801,1566,1505,34,1,53748768
서초2동,11650520,191125,1512,1669,2791,3949,3356,2481,1786,1024,297,3873,1535,1442,1329,42,1,78589052
서초3동,11650530,142860,1708,2717,5266,5163,4945,4769,3564,2135,750,6034,2720,2284,2061,77,0,57094747
서초4동,11650531,174247,3132,4221,3641,4052,6499,4713,3057,1839,677,2370,1943,2606,3326,35,0,81152718
잠원동,11650540,132407,2554,3884,4551,5024,6450,5452,3358,1666,684,4660,2567,2870,2887,28,1,1.03E+08
반포본동,11650550,117101,632,1937,1511,936,2355,2103,1246,1002,335,762,832,977,1253,7,1,40347565
반포1동,11650560,155522,3171,3543,4437,5863,6705,4124,2966,1574,486,6406,2216,2357,2629,27,2,64282744
반포2동,11650570,295833,1954,2766,1395,1659,3801,2119,1303,924,317,686,853,1299,1719,7,1,89230406
반포3동,11650580,224457,1975,2885,2426,2687,4519,3308,2125,1233,485,1394,1491,1977,2119,10,0,17381379
반포4동,11650581,182582,1855,2259,2396,2892,3791,2909,2295,1230,420,1901,1500,1776,1601,45,1,61724316
방배본동,11650590,122414,1524,2844,2728,2508,4066,3462,2240,1333,604,2200,1576,1705,1881,21,0,30262889
방배1동,11650600,133015,1225,1373,2594,3148,2902,2486,2088,1305,442,2991,1762,1386,1193,21,0,50703861
방배2동,11650610,124352,1210,1666,2942,3267,3145,3282,2839,1650,526,3073,2143,1621,1408,25,1,27118370
방배3동,11650620,114923,1393,2055,2917,3084,3362,3630,3164,1636,581,2256,1886,1891,1793,18,0,50678969
방배4동,11650621,121448,1734,2652,3280,3727,4409,3544,2364,1617,601,3447,2038,1828,1890,22,0,42047511
양재1동,11650651,136925,4432,4280,5549,7151,7937,6367,5592,2947,1006,6105,4022,3482,3299,43,1,57741770
양재2동,11650652,93580,1542,1673,3494,4640,3913,3362,2568,1281,366,5054,2251,1600,1398,43,1,63535584
내곡동,11650660,154196,2149,1260,2023,2916,3013,2565,2420,1452,491,2173,1843,1547,1300,13,1,34596868
신사동,11680510,173290,1009,1731,2461,2568,3096,2522,1795,1404,590,2918,1552,1290,1228,42,1,60364935
논현1동,11680521,159334,755,953,4972,6158,3947,2874,2326,1360,484,9612,2513,1171,818,79,2,79161470
논현2동,11680531,140442,1161,1328,3631,4721,3758,2955,2236,1504,450,6315,2090,1544,1155,74,2,68456754
압구정동,11680545,203676,2283,2871,3310,3620,5023,4030,3140,2429,914,3010,2387,2404,2214,55,0,32595676
청담동,11680565,167299,2251,2319,3966,4614,4864,4076,3004,1769,579,4772,2308,2209,1947,54,1,71814794
삼성1동,11680580,181339,930,1438,2185,2252,2443,2455,1812,1031,306,2111,1266,1174,1099,58,3,44675155
삼성2동,11680590,172438,2515,3490,3980,5215,6550,4087,2436,1670,498,5908,2314,2256,2355,52,4,67255870
대치1동,11680600,278364,2054,5577,2515,1667,6205,3762,1929,1023,337,579,925,1965,3094,21,0,49210076
대치2동,11680610,177188,2036,6508,5146,3466,7559,6789,4068,2029,575,2490,2083,3229,4179,47,2,53626165
대치4동,11680630,201765,811,2557,3539,3461,4169,3276,1545,1040,300,5405,1679,1365,1378,61,0,62714421
역삼1동,11680640,169188,1112,1471,7951,10569,6110,4338,3034,1678,535,17134,3486,1638,1170,192,2,75839843
역삼2동,11680650,193215,3105,5540,4852,5525,8715,4814,2585,1754,546,6522,2325,2812,3221,54,0,79132273
도곡1동,11680655,177980,1871,2330,3108,3414,3911,3536,2535,1255,446,2639,1583,1863,2055,26,1,61823820
도곡2동,11680656,191104,2974,4804,4094,3794,6677,5502,3549,2105,722,2199,2315,2997,3457,24,2,34718995
개포1동,11680660,171681,401,597,807,727,985,1137,1201,707,230,834,606,534,569,2,0,42212118
개포2동,11680670,157113,1686,2620,3010,2930,3763,3888,2935,1266,354,1612,1766,2063,2163,10,3,27168028
개포4동,11680690,88367,1138,1641,2687,2887,2992,3100,2331,1039,329,2978,1598,1466,1323,27,0,48950366
세곡동,11680700,146949,4760,4562,5514,7230,7815,6062,4896,2687,1204,5954,3967,3269,3330,22,0,28306253
일원본동,11680720,199699,2326,3402,2647,3151,4627,3692,2806,1069,382,1461,1534,2005,2579,12,1,1.86E+08
일원1동,11680730,131773,775,1263,2344,2348,2253,2643,2543,1398,501,3196,1778,1254,935,12,0,86462159
일원2동,11680740,156133,1267,1852,2027,2678,3143,2640,2490,1443,404,2291,1797,1542,1440,8,1,43140898
수서동,11680750,184392,675,639,1713,2466,1731,2395,3333,1896,687,3457,2332,1185,672,19,1,86926004
풍납1동,11710510,87904,758,983,1848,2219,2206,2781,2488,1260,436,2506,1593,1144,949,8,0,50751348
풍납2동,11710520,113474,2049,2140,3925,4440,4130,3795,3231,1586,558,4181,2279,2223,1898,21,0,60724736
거여1동,11710531,97746,695,1078,1842,1726,2088,2392,1901,1074,340,1919,1371,1045,963,12,1,30966208
거여2동,11710532,111590,1097,1438,1894,2291,2703,2889,2390,1447,521,2553,1797,1428,1091,11,0,40935078
마천1동,11710540,99137,1087,1695,2508,2337,3080,3730,3295,1891,711,3537,2144,1589,1294,14,1,34949486
마천2동,11710550,125973,979,1469,2516,2401,2912,3909,3263,1791,680,3341,2166,1647,1249,11,0,45013046
방이1동,11710561,129212,1154,1723,2526,2392,2732,2769,1905,832,362,1886,1219,1338,1446,20,1,48958526
방이2동,11710562,144311,1285,1351,5184,6053,3775,3806,3153,1505,472,7987,2825,1784,1311,42,0,81609189
오륜동,11710566,345767,1380,2839,2248,1807,3490,3133,2390,983,350,657,1134,1569,2071,16,1,35959901
오금동,11710570,104174,3039,3409,5821,6007,6092,7164,5664,2449,993,4433,3753,3601,3215,43,1,21827733
송파1동,11710580,123838,1370,1453,4730,5680,3652,3745,3041,1471,457,5993,2666,1898,1414,27,0,50722599
송파2동,11710590,108827,1679,1949,2977,3133,3195,3448,2773,1142,413,1741,1588,1797,1881,16,0,31916542
석촌동,11710600,147191,1770,2013,5838,7352,5176,5095,3919,1962,617,8813,3555,2403,1791,45,1,44254302
삼전동,11710610,142871,1745,2127,5475,6929,5276,4738,3588,1687,536,8365,3331,2368,1759,37,0,52684802
가락본동,11710620,143558,1732,1962,4380,4960,4028,4931,3560,1512,558,4660,2535,2209,1947,41,0,55154976
가락1동,11710631,169185,3229,2275,3713,5641,4363,4067,3171,1220,324,1600,2520,2628,2570,11,2,1.38E+08
가락2동,11710632,115464,2660,3640,4721,4981,5754,5399,3975,1650,614,3020,2505,2972,3086,20,2,46345556
문정1동,11710641,102419,1433,1642,3395,3686,2967,3562,2901,1171,394,2772,1927,1726,1641,13,1,84171931
문정2동,11710642,207509,1794,1527,5396,7871,4341,3556,3148,1567,664,8530,2811,1975,1763,71,0,50628421
장지동,11710646,127557,2548,2905,4234,5002,4929,5104,3745,1742,653,3475,2975,2766,2339,20,1,30816677
위례동,11710647,206886,4715,3565,2716,5108,5701,3249,2079,861,269,1038,1780,2338,2932,15,1,11478377
잠실본동,11710650,166724,1340,1881,5262,6366,4571,4353,3426,1608,522,8444,2973,2022,1493,55,0,67297312
잠실2동,11710670,451144,4355,5973,3363,4419,8897,4787,2812,1528,463,1819,1885,3092,4299,23,0,64293564
잠실3동,11710680,252070,3421,4000,4094,4811,6318,5307,4632,2381,669,1891,2611,3313,3512,20,1,68742781
잠실4동,11710690,336928,2990,2324,2083,3363,4356,2943,2401,1151,361,1205,1453,2039,2210,6,1,28155010
잠실6동,11710710,199164,1537,1748,2088,2537,2783,2703,2397,1136,439,971,1352,1601,1520,24,2,34620199
잠실7동,11710720,168896,618,1094,1303,1110,1456,1673,1449,916,397,531,850,887,936,2,1,0
강일동,11740515,217976,2524,4455,4000,3447,5513,5020,3765,2052,919,2382,2659,2286,2739,23,0,12238116
상일동,11740520,124857,4124,3236,3618,5462,5668,4816,3810,1385,408,1983,2532,2883,3185,15,1,30790351
명일1동,11740530,115613,2151,2595,3358,4245,4312,4151,3506,1563,544,2368,2453,2411,2237,17,2,81473046
명일2동,11740540,143253,1200,2545,2188,1898,3120,2797,2396,941,322,1174,1113,1368,1842,17,0,27915027
고덕1동,11740550,134010,3231,3461,2577,3877,5466,3561,2697,1078,434,1593,1584,2330,2763,8,1,44457299
고덕2동,11740560,216979,2399,1876,2328,3700,3563,3225,2688,1080,360,2105,1900,1880,1850,8,0,23933742
암사1동,11740570,107218,2309,2773,4966,5605,5763,6180,4960,2645,889,6343,3762,3047,2402,32,1,45042372
암사2동,11740580,134084,1454,1063,2053,2970,2469,2270,1888,1101,324,1941,1561,1386,1190,11,0,41761763
암사3동,11740590,116392,2073,1945,1996,2697,3274,2699,2315,1039,327,1126,1399,1591,1717,7,0,74244264
천호1동,11740600,111019,1567,1879,3908,4225,4201,4769,4354,2260,737,5355,3008,2340,1658,25,0,31019632
천호2동,11740610,123504,1920,1958,5089,6449,5230,6172,5021,2740,887,8750,3988,2639,1837,49,0,44942307
천호3동,11740620,144388,1429,1392,4218,4879,3949,4574,3983,2062,706,6949,2959,2028,1413,27,0,42010396
성내1동,11740640,126344,1602,1789,2743,3388,3440,3070,2562,1300,426,2426,1921,1830,1562,21,1,42903500
성내2동,11740650,97042,1186,1276,4083,4471,3660,4146,3661,1885,620,6608,2735,1887,1174,25,2,62013040
성내3동,11740660,136060,1344,1894,3740,3645,3706,4050,3192,1665,500,4123,2398,1887,1628,31,1,48987217
길동,11740685,115506,2675,3161,7189,7722,6962,7770,6886,3299,1079,8895,4652,3808,2954,58,1,52442468
둔촌1동,11740690,125177,6,9,22,26,55,33,55,40,12,114,18,11,14,5,0,0
둔촌2동,11740700,98771,1916,2336,3907,4073,4064,4587,3918,1740,624,3676,2581,2299,2152,20,0,47691830
