이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
창2동,11320512,101554,2182,2545,4376,4676,4961,5377,3780,2219,819,84,3721,3000,2733,2233,20,0,3893.494649,50563.12489,0,46864923
창3동,11320513,80754,934,1217,1957,1923,2356,2722,2027,1322,463,60,2559,1672,1201,948,10,0,860.8692777,15864.8924,0,34056963
창4동,11320514,215119,2051,2937,3836,3692,4779,5021,3223,1681,837,134,2757,2289,2381,2505,20,0,2629.752396,23661.95721,0,37873417
창5동,11320515,140496,1760,2189,3757,3846,3790,4649,3395,1719,752,114,2708,2280,2345,2097,19,1,6410.271564,26893.56107,0,69214906
도봉1동,11320521,98691,1063,1346,2832,2730,3202,4013,3747,2600,891,114,4033,2683,1810,1234,20,0,3055.547138,23153.80377,10,68911497
도봉2동,11320522,105854,1866,1955,3545,3986,4051,4810,4684,2737,1044,148,4035,3092,2517,1908,14,2,1412.127221,19660.20168,7.1,15328720
쌍문1동,11320660,95225,1311,1905,3233,2737,3540,3814,3112,1995,707,102,3080,2253,1884,1499,17,0,2220.813757,22899.2447,5.9,43898218
쌍문2동,11320670,101101,1224,1600,2813,2981,2977,3485,2801,1597,695,102,2965,2194,1724,1323,12,0,1765.013423,20390.26,16.7,50070186
쌍문3동,11320680,72936,930,1185,2617,2595,2603,2909,2343,1592,538,72,3102,1876,1414,1074,16,0,1962.893198,17019.33381,0,36744046
쌍문4동,11320681,118387,1339,2192,2735,2506,3222,3602,2564,1145,533,99,1488,1591,1710,1869,10,0,1319.641623,18882.35034,0,72693518
방학1동,11320690,118707,1757,2468,4331,3775,4600,5631,4360,2502,816,139,4646,2958,2411,2105,27,1,4247.488685,20089.63462,0,83781119
방학2동,11320700,74361,1141,1684,2934,2528,3261,4006,3143,1886,682,102,3713,2297,1795,1302,12,0,682.9108055,14421.70636,0,71740883
