NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11470,양천구,,,,,,,,,,,,,,,2,2,2,,2,,,,,,
11470510,목1동,,,,,,,,,,,,,,,1,,,,1,,,,,,
11470520,목2동,,,,,,,,,,,,,,,1,,,,1,,,,,,
11470530,목3동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470540,목4동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470550,목5동,,,,,,,,,,,,,,,1,,,,1,,,,,,
11470560,신월1동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470570,신월2동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470580,신월3동,,,,,,,,,,,,,,,1,,,,,,,,,,
11470590,신월4동,,,,,,,,,,,,,,,1,,,,,,,,,,
11470600,신월5동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470610,신월6동,,,,,,,,,,,,,,,1,,,,,,,,,,
11470611,신월7동,,,,,,,,,,,,,,,1,,,,,,,,,,
11470620,신정1동,,,,,,,,,,,,,,,1,,,,,,,,,,
11470630,신정2동,,,,,,,,,,,,,,,1,,1,,1,,,,,,
11470640,신정3동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11470650,신정4동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11470670,신정6동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11470680,신정7동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11500,강서구,,,,,,,,,,,,,,,2,2,,,2,,,,,,
11500510,염창동,,,,,,,,,,,,,,,1,1,,,1,,,,,,
11500520,등촌1동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500530,등촌2동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500535,등촌3동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500540,화곡1동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500550,화곡2동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500560,화곡3동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500570,화곡4동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500590,화곡본동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500591,화곡6동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500593,화곡8동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500603,가양1동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500604,가양2동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500605,가양3동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500611,발산1동,,,,,,,,,,,,,,,1,1,,,,,,,,,
11500615,우장산동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500620,공항동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500630,방화1동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500640,방화2동,,,,,,,,,,,,,,,,1,,,,,,,,,
11500641,방화3동,,,,,,,,,,,,,,,,1,,,,,,,,,
11530,구로구,,,,,,,,,,,,,,,2,,2,2,2,,2,,,,
11530510,신도림동,,,,,,,,,,,,,,,1,,1,,1,,,,,,
11530520,구로1동,,,,,,,,,,,,,,,,,1,,,,,,,,
11530530,구로2동,,,,,,,,,,,,,,,1,,1,,,,,,,,
11530540,구로3동,,,,,,,,,,,,,,,,,1,,1,,1,,,,
11530550,구로4동,,,,,,,,,,,,,,,,,1,,1,,,,,,
11530560,구로5동,,,,,,,,,,,,,,,,,1,,1,,,,,,
11530595,가리봉동,,,,,,,,,,,,,,,,,1,1,,,,,,,
