NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11200615,금호2.3가동,dong,126159,136080,137507,138407,147156,120814,118684,120984,81381,80535,80484,76010,75697,73348,63517,68181,110522,118722,117014,109808,118948,104632,102922,107783
11200620,금호4가동,dong,121639,123297,89944,92661,100600,102596,100645,107951,68988,73103,73860,74023,67632,74271,66499,72692,97894,97391,82179,84460,84116,90457,88450,90321
11200645,옥수동,dong,164465,157397,185633,182135,184328,161951,184055,178203,121404,109477,114302,90364,71155,81445,78147,76666,138041,126698,141961,127907,123389,120876,127319,122819
11200650,성수1가1동,dong,120978,114907,114386,121682,104413,96824,96317,98646,77570,67717,64151,61861,66816,66669,73150,66357,97221,90799,88942,86692,85614,84046,88856,88351
11200660,성수1가2동,dong,124653,124328,128066,131504,128943,139305,120604,116457,82607,85812,90115,78404,63952,64917,59658,60884,102152,102709,106834,103213,94317,101782,90406,88125
11200670,성수2가1동,dong,93779,81475,79884,81714,79241,83615,94242,91996,59373,49885,53078,54066,55109,56503,55093,53628,77056,67677,68222,70126,68872,70577,74974,74072
11200690,성수2가3동,dong,108298,113871,115116,114487,119524,107947,107433,104252,87467,83302,90648,88258,97716,106144,96327,90723,94995,94165,99364,97212,105684,106817,100720,96204
11200720,송정동,dong,82140,92046,96306,94046,86989,86274,97129,92669,68248,54356,58589,62742,64250,49619,54311,56440,75194,78516,83374,82866,79148,75278,80817,80068
11200790,용답동,dong,125259,107836,126429,120222,124298,126667,101775,108449,58927,54164,58568,59116,45299,48997,43205,52057,89112,78561,92871,84481,86378,90116,75361,84952
11215,광진구,gu,118571,121978,122826,119277,119527,112690,110438,110215,74577,75504,72656,70407,71970,71668,71446,70087,99890,101953,102179,98635,99520,95331,93355,92749
11215710,화양동,dong,157380,165353,163383,161887,167699,159344,146770,146170,86692,86557,81404,70252,80766,82812,87559,85517,129105,133492,131177,125349,131832,126628,118597,116710
11215730,군자동,dong,110375,110347,114854,105028,101971,101852,103240,102062,51771,64657,67043,68906,61042,50974,47908,51194,91813,94472,97589,92071,88179,83494,84796,83201
11215740,중곡1동,dong,86663,91230,93308,89816,82569,75879,88975,88213,57571,62535,58510,52480,52653,61011,53669,46869,75608,81286,80351,75815,71173,70130,80037,75724
11215750,중곡2동,dong,90423,87958,88406,89269,86724,84340,82334,84025,50515,54619,56926,57621,83365,82775,72937,71006,73027,74778,76465,75523,85268,83595,77894,78406
11215760,중곡3동,dong,94090,99027,91661,95401,98827,88184,91143,96227,37031,36943,36038,36059,38346,38155,39715,40120,73315,72506,71989,69862,72673,68309,68546,74707
11215770,중곡4동,dong,108720,114455,111093,105633,114231,107573,107536,109258,48342,48389,53969,56892,48654,54479,47841,48486,87427,93952,93739,90063,95193,86635,84835,83936
11215780,능동,dong,134995,137075,146880,133163,147636,141825,133343,123645,69184,64954,66054,62990,63222,64293,73802,65943,105809,104745,113951,99671,102007,107567,102155,95948
11215810,광장동,dong,140039,145578,155172,143234,143667,134854,119927,119083,78656,73982,73647,65926,73795,61847,69457,73255,101845,107086,111763,105961,117271,102001,96633,97697
11215820,자양1동,dong,121920,117351,125423,124131,120657,116670,109933,106423,76102,90194,91589,74135,75765,73081,81980,85591,106175,107439,113932,107643,105693,103048,102132,99564
11215830,자양2동,dong,85428,96289,92419,94786,93207,86169,102007,109584,82118,79879,87242,66558,60412,80038,74466,77346,84154,89576,90579,84888,83837,84198,91270,97275
11215840,자양3동,dong,124891,135911,122215,117894,116743,104263,119832,125950,117059,121963,140825,146231,131075,99127,94127,92912,121514,129728,129440,128566,122439,102165,108449,110300
11215847,자양4동,dong,148193,143823,155967,149658,149053,151943,121375,112610,65272,69793,66228,69385,68801,63441,50987,53108,117663,114079,120969,117364,118099,126003,95657,92439
11215850,구의1동,dong,108732,107625,112856,106140,103925,98417,98076,101634,64845,50020,52218,65090,69081,86281,87753,76708,91743,83707,89252,88643,86168,92866,92699,90369
11215860,구의2동,dong,118544,151408,141687,145517,142331,110268,102012,100022,60570,67432,64988,76516,67953,61541,58257,60519,100145,128082,116120,124103,117538,94026,84510,85208
11215870,구의3동,dong,134399,117932,121703,118170,126403,129571,141193,144574,95177,95075,77461,79347,74148,77395,75141,79275,107732,102426,91608,91395,91566,93234,96797,100339
11230,동대문구,gu,114777,110071,107901,107687,113019,120300,127291,124155,58957,58625,56017,56542,62544,73118,80546,76700,91365,88811,86019,86033,92872,102399,109279,105913
11230536,용신동,dong,103155,99452,96642,95739,102637,105622,114560,114802,60416,62527,58457,60191,59261,74852,87095,77366,82744,81622,78793,78893,84142,92724,103179,99505
11230545,제기동,dong,137237,129842,109600,109362,111502,120281,137837,130150,64640,61533,58253,54408,59250,53480,64581,72406,114537,109602,91771,91987,97058,105497,119523,115714
11230560,전농1동,dong,98157,94184,96188,108445,119223,131730,151720,136464,69523,60581,59668,54155,66211,82323,123090,115372,87674,81840,82392,88972,101552,118597,144222,130187
11230570,전농2동,dong,122622,100547,112192,102439,91775,110345,109656,122158,83364,66153,66092,61203,77686,109920,99488,93582,105237,89349,96421,89065,86388,110172,105250,110549
