"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11260550","면목5동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","2","2","50","1","2","0","0","2"
"11260565","면목본동","dong","100","2","2","50","1","2","50","1","2","100","5","5","100","5","5","80","4","5","100","6","6","50","3","6","33.3","2","6"
"11260570","면목7동","dong","100","1","1","100","1","1","100","1","1","100","3","3","100","3","3","66.7","2","3","100","4","4","75","3","4","75","3","4"
"11260575","면목3.8동","dong","100","4","4","50","2","4","25","1","4","100","4","4","75","3","4","75","3","4","75","3","4","50","2","4","25","1","4"
"11260580","상봉1동","dong","100","4","4","75","3","4","75","3","4","100","4","4","50","2","4","50","2","4","100","1","1","100","1","1","100","1","1"
"11260590","상봉2동","dong","80","4","5","40","2","5","40","2","5","100","2","2","100","2","2","0","0","2","100","4","4","100","4","4","100","4","4"
"11260600","중화1동","dong","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0","100","5","5","100","5","5","60","3","5"
"11260610","중화2동","dong","100","1","1","0","0","1","0","0","1","100","1","1","100","1","1","100","1","1","75","3","4","50","2","4","50","2","4"
"11260620","묵1동","dong","100","3","3","66.7","2","3","33.3","1","3","100","2","2","50","1","2","0","0","2","100","4","4","75","3","4","50","2","4"
"11260630","묵2동","dong","100","2","2","50","1","2","0","0","2","100","2","2","50","1","2","50","1","2","100","4","4","75","3","4","50","2","4"
"11260655","망우본동","dong","100","1","1","100","1","1","100","1","1","100","2","2","50","1","2","0","0","2","100","3","3","66.7","2","3","33.3","1","3"
"11260660","망우3동","dong","0","0","0","0","0","0","0","0","0","50","1","2","50","1","2","50","1","2","100","2","2","50","1","2","50","1","2"
"11260680","신내1동","dong","100","2","2","50","1","2","0","0","2","100","1","1","100","1","1","100","1","1","100","4","4","100","4","4","75","3","4"
