NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
광장동,11215810,dong,0,1,0,5,0,0,0,0,0,1,0,4.8,0,1,0,4.2,1,1,4,4,2,2,8,8,1,1,4,4,0,3,0,12
자양1동,11215820,dong,1,2,4.5,9.1,1,1,4.3,4.3,0,0,0,0,0,1,0,4.3,0,1,0,4.2,1,3,4,12,1,0,3.7,0,0,1,0,3.8
자양2동,11215830,dong,1,1,5,5,1,1,5,5,1,0,5,0,1,3,5.3,15.8,1,1,4.8,4.8,1,1,4.8,4.8,2,2,9.5,9.5,1,1,4.8,4.8
자양3동,11215840,dong,1,1,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7.4,0,0,2,0,8,0,0,0,0,1,2,3.7,7.4
자양4동,11215847,dong,0,1,0,3.3,0,2,0,6.5,2,1,5.9,2.9,0,0,0,0,3,0,9.1,0,0,6,0,20,2,1,5.6,2.8,2,0,5.7,0
구의1동,11215850,dong,0,1,0,3.6,1,1,3.4,3.4,1,1,3.4,3.4,2,3,7.1,10.7,3,4,10.3,13.8,3,2,10,6.7,2,0,6.9,0,0,1,0,3.7
구의2동,11215860,dong,2,1,11.1,5.6,1,1,5.9,5.9,0,1,0,5.9,1,1,5.6,5.6,0,0,0,0,0,0,0,0,4,2,22.2,11.1,1,1,6.3,6.3
구의3동,11215870,dong,1,2,3.1,6.3,0,1,0,3,1,0,3.1,0,1,0,3.2,0,1,2,3.3,6.7,1,0,3.2,0,1,0,3.3,0,1,3,3.4,10.3
동대문구,11230,gu,8,14,2.1,3.6,16,17,4.1,4.3,16,15,4.2,3.9,10,12,2.7,3.2,11,11,2.9,2.9,8,21,2.1,5.5,13,13,3.3,3.3,14,16,3.6,4.1
용신동,11230536,dong,1,1,2,2,0,1,0,2,1,2,2,4,1,3,1.9,5.8,1,2,1.9,3.7,0,6,0,10.9,4,4,6.6,6.6,2,2,3.3,3.3
제기동,11230545,dong,0,1,0,3.3,1,1,3.2,3.2,2,0,6.5,0,1,0,3.6,0,0,0,0,0,1,1,3.7,3.7,0,0,0,0,1,1,3.7,3.7
전농1동,11230560,dong,1,3,3.4,10.3,2,0,6.5,0,2,2,7.4,7.4,0,2,0,7.4,1,2,3.4,6.9,0,0,0,0,1,1,3.3,3.3,4,4,13.3,13.3
전농2동,11230570,dong,0,0,0,0,0,1,0,6.3,2,2,12.5,12.5,1,1,6.3,6.3,1,0,6.3,0,0,0,0,0,1,1,6.7,6.7,1,1,6.7,6.7
답십리1동,11230600,dong,1,3,3,9.1,4,2,11.4,5.7,2,0,6.3,0,0,0,0,0,0,0,0,0,0,2,0,6.7,0,1,0,3.1,1,0,3,0
답십리2동,11230610,dong,0,0,0,0,0,1,0,6.3,1,1,5.9,5.9,0,0,0,0,1,1,5.9,5.9,2,1,11.8,5.9,0,1,0,6.3,2,1,11.8,5.9
장안1동,11230650,dong,1,2,1.9,3.7,1,4,1.8,7.3,2,3,3.6,5.5,1,3,1.9,5.8,3,0,5.4,0,1,2,1.9,3.8,4,2,7.4,3.7,1,3,1.9,5.8
장안2동,11230660,dong,1,1,2.6,2.6,2,1,5.3,2.6,2,2,5.7,5.7,1,0,2.9,0,2,0,5.9,0,2,2,6.3,6.3,0,1,0,3.1,0,1,0,3
청량리동,11230705,dong,1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12.5,1,0,5.6,0,0,0,0,0,0,0,0,0
회기동,11230710,dong,0,1,0,4.3,0,1,0,4.2,1,0,4.2,0,0,0,0,0,0,0,0,0,0,3,0,13.6,1,2,4,8,1,0,3.8,0
휘경1동,11230720,dong,0,1,0,5.6,3,1,15.8,5.3,0,1,0,5.9,2,0,11.1,0,0,1,0,6.3,0,1,0,5.9,1,0,5.6,0,0,0,0,0
휘경2동,11230730,dong,0,0,0,0,1,1,5.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.9,0
이문1동,11230740,dong,2,0,6.5,0,0,3,0,10,1,2,3,6.1,2,2,5.9,5.9,2,2,6.1,6.1,0,3,0,9.1,1,0,2.8,0,0,1,0,2.9
이문2동,11230750,dong,0,1,0,7.7,2,0,14.3,0,0,0,0,0,1,1,8.3,8.3,0,1,0,8.3,1,0,7.7,0,0,0,0,0,0,2,0,16.7
중랑구,11260,gu,10,11,3.2,3.5,8,8,2.6,2.6,11,7,3.6,2.3,9,12,3,4,11,4,3.6,1.3,6,9,2,3.1,12,12,4,4,12,10,4,3.4
면목2동,11260520,dong,0,0,0,0,0,2,0,9.1,2,1,8.7,4.3,0,0,0,0,1,1,4.8,4.8,0,0,0,0,0,0,0,0,2,2,9.5,9.5
면목4동,11260540,dong,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.1,9.1,0,0,0,0,0,0,0,0,0,2,0,18.2,0,0,0,0
면목5동,11260550,dong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.3,0,0,1,0,16.7,1,0,14.3,0,0,0,0,0,0,0,0,0
면목본동,11260565,dong,1,1,3.3,3.3,2,0,6.7,0,0,1,0,3.6,0,2,0,7.1,1,0,3.3,0,1,2,3.4,6.9,3,2,10,6.7,0,0,0,0
면목7동,11260570,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.9,5.9,0,0,0,0
면목3.8동,11260575,dong,0,1,0,5,1,2,4.8,9.5,0,0,0,0,0,0,0,0,1,0,4.8,0,0,1,0,5,1,0,4.8,0,0,0,0,0
상봉1동,11260580,dong,0,1,0,7.1,0,0,0,0,0,1,0,7.1,0,2,0,13.3,1,0,5.9,0,1,1,6.3,6.3,0,0,0,0,1,0,6.3,0
