NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
상계2동,11350640,dong,5.558333333,3.525,4.783333333,2.616666667,4.916666667,2.483333333
상계3.4동,11350665,dong,5.2,3.325,5.15,3.275,5.1,3.1
상계5동,11350670,dong,3.35,2.775,3.491666667,2.808333333,3.541666667,2.833333333
상계6.7동,11350695,dong,5.391666667,2.825,5.441666667,2.725,5.383333333,2.7
상계8동,11350700,dong,4.891666667,3.883333333,5.35,3.658333333,5.316666667,3.491666667
상계9동,11350710,dong,3.816666667,2.991666667,3.558333333,2.266666667,4.008333333,3.116666667
상계10동,11350720,dong,2.925,2.575,3.041666667,2.566666667,3.241666667,2.825
은평구,11380,gu,4.608333333,3.033333333,4.7,3.133333333,4.766666667,3.116666667
녹번동,11380510,dong,5.633333333,2.991666667,5.391666667,2.858333333,5.441666667,3.258333333
불광1동,11380520,dong,5.141666667,3.85,5.041666667,3.541666667,4.841666667,3.258333333
불광2동,11380530,dong,4.883333333,2.916666667,5.091666667,3.175,4.7,2.775
갈현1동,11380551,dong,4.133333333,2.575,4.308333333,2.708333333,4.491666667,2.691666667
갈현2동,11380552,dong,3.883333333,2.725,4.175,3.108333333,4.416666667,3.25
구산동,11380560,dong,4.658333333,2.675,4.908333333,2.791666667,5.183333333,3.05
대조동,11380570,dong,4.05,2.966666667,4.175,3.125,4.358333333,3.225
응암1동,11380580,dong,5.691666667,3.216666667,5.775,3.35,6.008333333,2.975
응암2동,11380590,dong,7.475,4.375,8.141666667,5.125,5.933333333,1.033333333
응암3동,11380600,dong,5.025,3.783333333,4.95,3.191666667,4.741666667,2.933333333
역촌동,11380625,dong,4.875,3.45,5.133333333,3.766666667,5.141666667,3.525
신사1동,11380631,dong,4.25,3.233333333,4.466666667,3.566666667,4.808333333,3.858333333
신사2동,11380632,dong,4.091666667,2.825,4.15,2.825,4.675,3.408333333
증산동,11380640,dong,5.05,2.866666667,4.875,2.908333333,5.1,3.2
수색동,11380650,dong,8.5,1.75,8.833333333,1.75,6.875,1.208333333
진관동,11380690,dong,2.833333333,2.616666667,2.858333333,2.675,2.941666667,2.816666667
서대문구,11410,gu,5.116666667,3.358333333,5.191666667,3.391666667,5.258333333,3.258333333
천연동,11410520,dong,5.3,3.741666667,5.033333333,3.566666667,4.75,3.283333333
북아현동,11410555,dong,4.808333333,3.758333333,4.891666667,3.258333333,4.9,3.991666667
충현동,11410565,dong,5.866666667,4.333333333,6.15,4.433333333,6.3,4.216666667
신촌동,11410585,dong,5.275,3.083333333,5.258333333,3.075,5.458333333,3.041666667
연희동,11410615,dong,5.108333333,4.233333333,5.258333333,4.133333333,5.175,3.15
홍제1동,11410620,dong,4.616666667,2.966666667,4.333333333,2.616666667,4.3,2.708333333
홍제3동,11410640,dong,5.575,3.85,5.375,3.733333333,5.691666667,3.783333333
홍제2동,11410655,dong,5.058333333,3.933333333,5,3.891666667,4.475,2.866666667
홍은1동,11410660,dong,4.491666667,2.233333333,4.725,2.6,4.175,2.033333333
홍은2동,11410685,dong,5.458333333,3.075,5.65,3.383333333,5.85,3.808333333
남가좌1동,11410690,dong,3.541666667,1.908333333,4.041666667,2.575,4.558333333,3.408333333
남가좌2동,11410700,dong,3.983333333,2.508333333,3.916666667,2.566666667,4.091666667,2.625
북가좌1동,11410710,dong,4.25,2.775,4.683333333,3.341666667,4.35,3.016666667
