NM,CD,GUBUN,20182분기소득분위,20182분위가구수,20192분기소득분위,20192분기가구수,20202분기소분분위,20202분기가구수
도봉구,11320,gu,"6분위:2,440,600~2,983,558원",136288,"6분위:2,440,600~2,983,558원",137261,"6분위:2,440,600~2,983,558원",137991
창1동,11320511,dong,"7분위:2,983,559~3,741,082원",10889,"7분위:2,983,559~3,741,082원",10863,"7분위:2,983,559~3,741,082원",10930
창2동,11320512,dong,"6분위:2,440,600~2,983,558원",12267,"6분위:2,440,600~2,983,558원",12319,"6분위:2,440,600~2,983,558원",12354
창3동,11320513,dong,"5분위:2,020,852~2,440,599원",6608,"5분위:2,020,852~2,440,599원",6660,"5분위:2,020,852~2,440,599원",6657
창4동,11320514,dong,"7분위:2,983,559~3,741,082원",10591,"7분위:2,983,559~3,741,082원",10613,"7분위:2,983,559~3,741,082원",10614
창5동,11320515,dong,"7분위:2,983,559~3,741,082원",9846,"7분위:2,983,559~3,741,082원",9865,"7분위:2,983,559~3,741,082원",9811
도봉1동,11320521,dong,"5분위:2,020,852~2,440,599원",10251,"5분위:2,020,852~2,440,599원",10265,"5분위:2,020,852~2,440,599원",10225
도봉2동,11320522,dong,"6분위:2,440,600~2,983,558원",11844,"6분위:2,440,600~2,983,558원",11931,"6분위:2,440,600~2,983,558원",12129
쌍문1동,11320660,dong,"6분위:2,440,600~2,983,558원",8927,"6분위:2,440,600~2,983,558원",9005,"5분위:2,020,852~2,440,599원",9306
쌍문2동,11320670,dong,"6분위:2,440,600~2,983,558원",8450,"5분위:2,020,852~2,440,599원",8667,"5분위:2,020,852~2,440,599원",8636
쌍문3동,11320680,dong,"6분위:2,440,600~2,983,558원",7606,"6분위:2,440,600~2,983,558원",7663,"5분위:2,020,852~2,440,599원",7788
쌍문4동,11320681,dong,"7분위:2,983,559~3,741,082원",6774,"7분위:2,983,559~3,741,082원",7061,"6분위:2,440,600~2,983,558원",7159
방학1동,11320690,dong,"7분위:2,983,559~3,741,082원",12630,"6분위:2,440,600~2,983,558원",12724,"6분위:2,440,600~2,983,558원",12766
방학2동,11320700,dong,"5분위:2,020,852~2,440,599원",9501,"5분위:2,020,852~2,440,599원",9543,"5분위:2,020,852~2,440,599원",9543
방학3동,11320710,dong,"7분위:2,983,559~3,741,082원",10104,"6분위:2,440,600~2,983,558원",10082,"6분위:2,440,600~2,983,558원",10073
노원구,11350,gu,"7분위:2,983,559~3,741,082원",213477,"7분위:2,983,559~3,741,082원",216058,"7분위:2,983,559~3,741,082원",216478
월계1동,11350560,dong,"6분위:2,440,600~2,983,558원",10928,"6분위:2,440,600~2,983,558원",11341,"6분위:2,440,600~2,983,558원",11405
월계2동,11350570,dong,"6분위:2,440,600~2,983,558원",11246,"6분위:2,440,600~2,983,558원",11608,"6분위:2,440,600~2,983,558원",11229
월계3동,11350580,dong,"7분위:2,983,559~3,741,082원",11875,"7분위:2,983,559~3,741,082원",11911,"7분위:2,983,559~3,741,082원",11997
공릉1동,11350595,dong,"6분위:2,440,600~2,983,558원",17432,"6분위:2,440,600~2,983,558원",17806,"6분위:2,440,600~2,983,558원",18112
공릉2동,11350600,dong,"7분위:2,983,559~3,741,082원",15762,"7분위:2,983,559~3,741,082원",16061,"7분위:2,983,559~3,741,082원",16291
하계1동,11350611,dong,"8분위:3,741,083~4,890,361원",10883,"7분위:2,983,559~3,741,082원",10932,"7분위:2,983,559~3,741,082원",12281
하계2동,11350612,dong,"7분위:2,983,559~3,741,082원",8350,"7분위:2,983,559~3,741,082원",8350,"7분위:2,983,559~3,741,082원",8276
중계본동,11350619,dong,"8분위:3,741,083~4,890,361원",9070,"8분위:3,741,083~4,890,361원",9341,"8분위:3,741,083~4,890,361원",8896
중계1동,11350621,dong,"8분위:3,741,083~4,890,361원",9124,"8분위:3,741,083~4,890,361원",9081,"8분위:3,741,083~4,890,361원",9114
중계4동,11350624,dong,"7분위:2,983,559~3,741,082원",7953,"7분위:2,983,559~3,741,082원",8196,"7분위:2,983,559~3,741,082원",8460
중계2.3동,11350625,dong,"7분위:2,983,559~3,741,082원",15500,"6분위:2,440,600~2,983,558원",15503,"6분위:2,440,600~2,983,558원",15385
상계1동,11350630,dong,"7분위:2,983,559~3,741,082원",15486,"7분위:2,983,559~3,741,082원",15542,"7분위:2,983,559~3,741,082원",15486
상계2동,11350640,dong,"7분위:2,983,559~3,741,082원",8644,"7분위:2,983,559~3,741,082원",8716,"7분위:2,983,559~3,741,082원",8763
상계3.4동,11350665,dong,"6분위:2,440,600~2,983,558원",13628,"6분위:2,440,600~2,983,558원",13872,"6분위:2,440,600~2,983,558원",13396
