NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11470640,신정3동,dong,132155,130896,142228,56361,62116,52709,102743,98611,90554
11470650,신정4동,dong,109967,111366,106319,60473,52908,64513,88293,88115,85843
11470670,신정6동,dong,215697,161151,204418,78874,124940,88675,128628,144856,133394
11470680,신정7동,dong,136951,171447,138659,89951,80904,83271,113451,128838,114241
11500,강서구,gu,124556,133785,129933,73641,70141,73660,102124,106206,100997
11500510,염창동,dong,120022,112480,103649,67539,60368,65727,93008,90823,85145
11500520,등촌1동,dong,96292,89705,124093,54974,60686,59561,80798,76372,87927
11500530,등촌2동,dong,83520,107480,86348,76061,55559,70744,82028,91746,80259
11500535,등촌3동,dong,153408,152034,149161,78008,56168,85673,101328,104639,109404
11500540,화곡1동,dong,88548,107443,103564,75086,64396,58138,84472,91155,86251
11500550,화곡2동,dong,74873,95735,84558,38306,77416,31445,65731,92438,70450
11500560,화곡3동,dong,111778,122846,125647,61849,92385,70187,83370,112490,102884
11500570,화곡4동,dong,120581,122191,124228,53415,64021,49828,104269,105352,103138
11500590,화곡본동,dong,113590,105134,107019,63406,72129,62638,90316,91932,91143
11500591,화곡6동,dong,110257,104271,98422,68862,53744,77763,91994,82759,89943
11500593,화곡8동,dong,152370,146460,141799,93252,72000,47969,132244,134703,111091
11500603,가양1동,dong,239840,236100,206388,87310,86946,87499,146398,144927,122962
11500604,가양2동,dong,158938,180154,157863,77504,59909,75329,115089,127547,108343
11500605,가양3동,dong,92691,98568,143167,82277,110548,87564,87137,106954,103278
11500611,발산1동,dong,107256,118303,130124,47372,51946,64072,87909,81776,86619
11500615,우장산동,dong,126287,137671,141462,85895,70994,69628,110437,114940,111237
11500620,공항동,dong,103373,120392,101476,94645,57485,90511,100427,100287,97669
11500630,방화1동,dong,119026,121070,142739,70010,61963,64361,99255,100411,107644
11500640,방화2동,dong,75611,61987,85806,39389,52485,76941,61122,58964,82614
11500641,방화3동,dong,135092,147961,138970,76276,62791,62294,107522,110699,104117
11530,구로구,gu,108803,117675,125076,83963,89158,91678,95567,103372,108346
11530510,신도림동,dong,121697,129209,127137,106494,130869,118890,116233,130001,123033
11530520,구로1동,dong,127816,138793,162310,47675,52621,101995,92198,101862,136792
11530530,구로2동,dong,113861,112997,121898,87330,85300,97709,96558,96546,108526
11530540,구로3동,dong,171524,168180,172368,124490,112183,106854,138651,129806,126907
11530550,구로4동,dong,126113,128100,145626,56139,99113,61079,111200,117592,118654
11530560,구로5동,dong,86362,111857,101415,85861,112732,100862,86027,112440,101061
11530595,가리봉동,dong,76350,94573,128673,35912,39879,60136,62871,71784,110871
11530720,고척1동,dong,101807,101455,151326,45228,44523,56552,76513,78426,106332
11530730,고척2동,dong,69820,79060,91993,40212,44577,73952,60105,69605,85889
11530740,개봉1동,dong,93218,91282,91468,34727,51088,47537,71427,79647,79001
11530750,개봉2동,dong,99193,139488,118448,59622,77627,88091,87202,120786,105530
11530760,개봉3동,dong,79498,96867,93711,35261,41529,38865,60731,76744,76572
11530770,오류1동,dong,97961,153515,149505,64698,39766,90045,86873,117765,125721
11530780,오류2동,dong,108371,126987,107969,67590,71822,70967,85533,105096,90722
11530790,수궁동,dong,73171,80094,95966,36367,35180,62805,57255,62128,84597
11545,금천구,gu,100783,110918,123501,66217,78621,86218,81736,93200,102905
11545510,가산동,dong,108401,137590,166558,88403,90450,86548,93482,101121,104862
11545610,독산1동,dong,101676,110389,109787,49784,79092,76056,74944,94040,92057
11545620,독산2동,dong,77147,90324,94324,44774,48917,29520,68113,76822,74073
11545630,독산3동,dong,90960,86576,93418,45406,70718,60727,71103,82414,83073
11545640,독산4동,dong,79178,102744,107298,38269,34596,65173,70786,84158,99317
11545670,시흥1동,dong,108348,111267,136440,44237,40300,74720,84220,90782,111895
11545680,시흥2동,dong,154199,123494,152894,39399, ,76365,93423, ,119847
11545690,시흥3동,dong,106961,86902,110290,38980,71750,132303,64990,77748,122980
11545700,시흥4동,dong,92996,120069,99453,26254,33286,67956,72973,99121,86484
11545710,시흥5동,dong,106072,137902,110252,66022,51163,35826,93032,111717,96297
11560,영등포구,gu,112828,113743,124311,72516,79485,86428,92224,96914,105790
11560515,영등포본동,dong,130543,100810,89692,88369,113769,142357,105941,107289,119422
11560535,영등포동,dong,128215,123568,136441,81901,89686,111514,103970,106193,126005
11560540,여의동,dong,187993,225105,204094,87524,99598,97177,110025,130334,128036
11560550,당산1동,dong,98777,93185,107130,57463,58720,65382,77319,76248,86110
11560560,당산2동,dong,143401,135625,158043,66831,76208,76415,102315,105034,107026
11560585,도림동,dong,79065,81208,99885,44618,43855,73096,66763,68084,89632
11560605,문래동,dong,114516,98580,106184,79635,76348,86045,98763,89251,97338
11560610,양평1동,dong,72461,91690,94279,61873,72538,86038,69347,83482,91101
11560620,양평2동,dong,110113,105773,114266,67065,76569,66733,86632,90571,91592
11560630,신길1동,dong,87032,88591,129279,45722,42673,74372,73262,75676,113592
11560650,신길3동,dong,111927,123715,89922,33034,63813,46269,89386,103748,77378
11560660,신길4동,dong,103159,70967,52660, ,23781,58789, ,51663,54703
