NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
번3동,11305606,dong,11,3,8,10,2,8,10,1,9,8,1,7,8,1,7,8,1,7,8,1,7,8,1,7
수유1동,11305610,dong,23,6,17,20,3,17,18,3,15,17,3,14,18,4,14,18,4,14,19,4,15,19,4,15
수유2동,11305620,dong,17,3,14,18,3,15,18,3,15,18,3,15,19,3,16,19,3,16,18,3,15,18,3,15
수유3동,11305630,dong,35,1,34,33,1,32,32,1,31,32,4,28,35,5,30,34,4,30,34,4,30,33,4,29
우이동,11305645,dong,17,1,16,17,1,16,16,1,15,16,1,15,19,1,18,18,1,17,18,1,17,16,1,15
인수동,11305660,dong,27,2,25,28,2,26,26,2,24,26,4,22,27,5,22,30,6,24,30,6,24,29,5,24
도봉구,11320,gu,232,31,201,227,24,203,220,25,195,217,39,178,220,39,181,220,40,180,218,38,180,220,37,183
창1동,11320511,dong,15,2,13,15,0,15,13,0,13,13,1,12,13,1,12,13,1,12,14,1,13,15,1,14
창2동,11320512,dong,22,4,18,21,2,19,20,1,19,20,3,17,20,3,17,20,3,17,20,3,17,20,3,17
창3동,11320513,dong,14,1,13,12,1,11,10,1,9,10,3,7,10,3,7,10,3,7,10,3,7,11,3,8
창4동,11320514,dong,18,4,14,18,4,14,18,4,14,19,6,13,20,6,14,19,5,14,18,5,13,18,4,14
창5동,11320515,dong,19,3,16,20,3,17,20,3,17,19,3,16,19,3,16,18,3,15,18,3,15,18,3,15
도봉1동,11320521,dong,22,5,17,20,3,17,20,3,17,21,5,16,20,5,15,22,6,16,22,6,16,23,6,17
도봉2동,11320522,dong,14,0,14,14,0,14,14,0,14,13,1,12,14,1,13,14,1,13,12,1,11,12,1,11
쌍문1동,11320660,dong,18,3,15,18,3,15,17,3,14,17,5,12,17,5,12,18,6,12,18,6,12,17,5,12
쌍문2동,11320670,dong,13,0,13,13,0,13,13,0,13,12,0,12,12,0,12,14,1,13,15,1,14,14,1,13
쌍문3동,11320680,dong,14,3,11,14,3,11,14,3,11,15,4,11,16,4,12,16,4,12,15,3,12,17,4,13
쌍문4동,11320681,dong,11,1,10,10,0,10,10,0,10,10,1,9,10,1,9,10,1,9,10,1,9,10,1,9
방학1동,11320690,dong,25,2,23,25,2,23,26,4,22,26,6,20,27,6,21,25,5,20,24,4,20,24,4,20
방학2동,11320700,dong,16,2,14,16,2,14,14,2,12,12,1,11,12,1,11,12,1,11,12,1,11,12,1,11
방학3동,11320710,dong,11,1,10,11,1,10,11,1,10,10,0,10,10,0,10,9,0,9,10,0,10,9,0,9
노원구,11350,gu,356,56,300,351,50,301,348,46,302,357,67,290,355,65,290,349,63,286,347,64,283,347,61,286
월계1동,11350560,dong,33,6,27,33,5,28,36,5,31,37,7,30,37,7,30,36,6,30,36,6,30,36,6,30
월계2동,11350570,dong,18,5,13,18,5,13,18,5,13,20,6,14,19,6,13,19,6,13,19,6,13,18,6,12
월계3동,11350580,dong,10,2,8,10,2,8,11,2,9,10,2,8,8,1,7,8,1,7,8,1,7,8,1,7
공릉1동,11350595,dong,45,5,40,44,5,39,44,5,39,44,6,38,45,6,39,44,5,39,46,6,40,47,6,41
공릉2동,11350600,dong,38,6,32,39,6,33,37,5,32,38,8,30,37,8,29,38,9,29,39,9,30,41,10,31
하계1동,11350611,dong,20,4,16,20,3,17,21,3,18,22,3,19,21,2,19,21,2,19,21,2,19,22,2,20
하계2동,11350612,dong,5,0,5,5,0,5,5,0,5,4,1,3,5,1,4,4,1,3,4,1,3,4,1,3
중계본동,11350619,dong,15,3,12,13,1,12,12,1,11,12,2,10,12,2,10,13,2,11,13,2,11,13,2,11
중계1동,11350621,dong,13,0,13,12,0,12,12,0,12,12,1,11,14,1,13,13,1,12,13,1,12,13,1,12
중계4동,11350624,dong,12,4,8,12,4,8,12,4,8,14,5,9,14,5,9,14,5,9,13,5,8,12,4,8
중계2.3동,11350625,dong,10,1,9,10,1,9,10,1,9,9,1,8,9,1,8,9,1,8,9,1,8,9,1,8
상계1동,11350630,dong,25,1,24,26,1,25,25,0,25,27,2,25,26,2,24,26,2,24,26,2,24,27,2,25
상계2동,11350640,dong,31,4,27,30,4,26,28,3,25,30,7,23,32,7,25,30,7,23,26,7,19,24,6,18
상계3.4동,11350665,dong,17,3,14,17,3,14,17,2,15,18,5,13,16,5,11,16,4,12,15,4,11,15,3,12
상계5동,11350670,dong,17,4,13,15,3,12,13,3,10,13,3,10,13,3,10,13,3,10,13,3,10,12,3,9
상계6.7동,11350695,dong,28,6,22,28,5,23,27,5,22,28,6,22,28,6,22,28,6,22,29,6,23,27,5,22
상계8동,11350700,dong,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,6,0,6
상계9동,11350710,dong,9,1,8,9,1,8,9,1,8,9,1,8,9,1,8,7,1,6,7,1,6,7,1,6
상계10동,11350720,dong,5,1,4,5,1,4,6,1,5,5,1,4,5,1,4,5,1,4,5,1,4,6,1,5
은평구,11380,gu,374,61,313,370,57,313,356,51,305,358,66,292,359,64,295,358,63,295,365,64,301,360,62,298
녹번동,11380510,dong,31,2,29,29,2,27,28,3,25,29,6,23,28,6,22,28,6,22,30,7,23,27,6,21
불광1동,11380520,dong,14,5,9,16,5,11,14,3,11,14,3,11,15,4,11,14,3,11,14,3,11,13,3,10
불광2동,11380530,dong,29,5,24,28,3,25,26,3,23,25,4,21,24,3,21,24,3,21,24,3,21,24,4,20
갈현1동,11380551,dong,20,3,17,21,2,19,20,2,18,21,4,17,20,4,16,20,4,16,21,4,17,22,3,19
갈현2동,11380552,dong,33,6,27,32,6,26,31,6,25,33,6,27,33,6,27,32,6,26,32,6,26,35,6,29
구산동,11380560,dong,23,3,20,23,4,19,24,3,21,23,3,20,22,3,19,23,3,20,23,3,20,23,3,20
대조동,11380570,dong,36,5,31,36,5,31,34,4,30,34,6,28,34,6,28,33,6,27,35,6,29,34,6,28
응암1동,11380580,dong,25,6,19,23,5,18,24,5,19,24,5,19,25,5,20,26,5,21,27,5,22,26,5,21
응암2동,11380590,dong,6,1,5,5,1,4,5,0,5,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4
응암3동,11380600,dong,34,9,25,35,9,26,31,6,25,32,10,22,33,9,24,30,9,21,30,8,22,28,8,20
역촌동,11380625,dong,42,6,36,43,6,37,42,6,36,39,4,35,39,4,35,39,4,35,41,5,36,43,5,38
신사1동,11380631,dong,19,2,17,20,2,18,19,2,17,20,3,17,20,3,17,21,3,18,21,4,17,21,4,17
신사2동,11380632,dong,10,2,8,11,2,9,11,2,9,11,2,9,12,2,10,13,2,11,12,2,10,12,2,10
증산동,11380640,dong,12,2,10,13,2,11,13,2,11,14,3,11,15,3,12,17,3,14,16,3,13,15,2,13
수색동,11380650,dong,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
