NM,CD,GUBUN,2018전체점포,2018프랜차이즈,2018일반,2019전체점포,2019프랜차이즈,2019일반,2020전체점포,2020프랜차이즈,2020일반
거여2동,11710532,dong,12,2,10,11,2,9,11,1,10
마천1동,11710540,dong,11,3,8,10,2,8,14,3,11
마천2동,11710550,dong,9,0,9,10,1,9,11,0,11
방이1동,11710561,dong,24,4,20,22,4,18,20,3,17
방이2동,11710562,dong,38,8,30,38,10,28,42,7,35
오륜동,11710566,dong,13,3,10,16,3,13,16,4,12
오금동,11710570,dong,36,9,27,40,12,28,43,9,34
송파1동,11710580,dong,26,4,22,24,4,20,27,3,24
송파2동,11710590,dong,12,5,7,13,5,8,16,6,10
석촌동,11710600,dong,47,10,37,45,10,35,45,5,40
삼전동,11710610,dong,36,12,24,36,13,23,37,13,24
가락본동,11710620,dong,44,9,35,43,9,34,41,6,35
가락1동,11710631,dong,5,2,3,6,2,4,11,1,10
가락2동,11710632,dong,19,2,17,19,2,17,20,3,17
문정1동,11710641,dong,20,4,16,15,3,12,13,2,11
문정2동,11710642,dong,69,16,53,64,16,48,71,12,59
장지동,11710646,dong,24,4,20,25,7,18,20,3,17
위례동,11710647,dong,16,5,11,14,4,10,15,4,11
잠실본동,11710650,dong,62,17,45,55,19,36,55,14,41
잠실2동,11710670,dong,24,11,13,23,10,13,23,10,13
잠실3동,11710680,dong,18,9,9,17,9,8,20,9,11
잠실4동,11710690,dong,8,3,5,6,2,4,6,2,4
잠실6동,11710710,dong,30,11,19,30,11,19,24,7,17
잠실7동,11710720,dong,2,0,2,2,0,2,2,0,2
강동구,11740,gu,417,84,333,399,80,319,399,68,331
강일동,11740515,dong,23,6,17,21,6,15,23,7,16
상일동,11740520,dong,11,0,11,11,0,11,15,1,14
명일1동,11740530,dong,18,1,17,18,1,17,17,1,16
명일2동,11740540,dong,17,3,14,18,4,14,17,3,14
고덕1동,11740550,dong,9,1,8,8,1,7,8,0,8
고덕2동,11740560,dong,6,2,4,6,2,4,8,3,5
암사1동,11740570,dong,34,7,27,32,7,25,32,6,26
암사2동,11740580,dong,10,0,10,10,0,10,11,2,9
암사3동,11740590,dong,7,0,7,7,0,7,7,0,7
천호1동,11740600,dong,24,7,17,23,6,17,25,4,21
천호2동,11740610,dong,51,12,39,48,11,37,49,7,42
천호3동,11740620,dong,30,9,21,29,9,20,27,8,19
성내1동,11740640,dong,26,5,21,23,4,19,21,2,19
성내2동,11740650,dong,25,4,21,26,4,22,25,4,21
성내3동,11740660,dong,35,6,29,31,5,26,31,6,25
길동,11740685,dong,65,13,52,62,14,48,58,10,48
둔촌1동,11740690,dong,3,1,2,4,1,3,5,1,4
둔촌2동,11740700,dong,23,7,16,22,5,17,20,3,17
