NM,CD,GUBUN,TOT_REPOP_CO_1,TOT_WRC_POPLTN_CO_1,TOT_REPOP_CO_2,TOT_WRC_POPLTN_CO_2,TOT_REPOP_CO_3,TOT_WRC_POPLTN_CO_3,,,,면적(km),,,,,,
중화2동,11260610,dong,293.7832283,43.21107203,291.5133455,32.56969477,280.4763005,15.95165358,,,,0.98,28790.75637,4234.685059,28568.30785,3191.830088,27486.67745,1563.262051
묵1동,11260620,dong,284.4495028,25.66715609,307.7356925,27.9045891,302.6866927,21.98594554,,,,1.2,34133.94034,3080.058731,36928.2831,3348.550692,36322.40312,2638.313465
묵2동,11260630,dong,286.024296,26.48074428,290.9069582,28.68014164,288.1650428,30.23438245,,,,0.7,20021.70072,1853.652099,20363.48707,2007.609915,20171.55299,2116.406771
망우본동,11260655,dong,106.8251188,18.06979115,101.1693653,18.94791275,100.079844,11.14238742,,,,2.88,30765.63422,5204.099852,29136.7772,5456.998873,28822.99508,3209.007576
망우3동,11260660,dong,192.1404964,16.97485716,187.0025524,17.76053873,181.6268364,11.12359702,,,,0.99,19021.90914,1680.510858,18513.25269,1758.293334,17981.0568,1101.236105
신내1동,11260680,dong,179.969039,26.50650976,171.3099636,28.7294998,171.983212,17.93635389,,,,2.53,45532.16688,6706.14697,43341.42078,7268.563449,43511.75263,4537.897534
신내2동,11260690,dong,251.1391231,43.76658672,238.0825702,46.61838473,232.8791029,40.18055712,,,,0.99,24862.77318,4332.892085,23570.17445,4615.220089,23055.03119,3977.875155
성북구,11290,gu,179.9932315,26.26813909,176.0730905,27.98130498,170.6456387,44.79305959,,,,24.57,442243.3697,64540.81775,432611.5835,68750.06633,419276.3342,110056.5474
성북동,11290525,dong,43.55159882,9.936767212,42.83437808,10.5627053,41.95089255,70.70166356,,,,2.86,12455.75726,2841.915423,12250.63213,3020.933717,11997.95527,20220.67578
삼선동,11290555,dong,310.6663735,76.86214312,309.4607594,74.39148327,298.2876035,72.07364774,,,,0.92,28581.30636,7071.317167,28470.38986,6844.016461,27442.45952,6630.775592
동선동,11290575,dong,216.590468,84.10628337,216.7549255,86.71019307,213.685053,184.3705117,,,,0.73,15811.10417,6139.758686,15823.10956,6329.844094,15599.00887,13459.04735
돈암1동,11290580,dong,357.0724351,20.88827158,343.0746929,21.29996988,338.502675,50.42220744,,,,0.49,17496.54932,1023.525308,16810.65995,1043.698524,16586.63107,2470.688165
돈암2동,11290590,dong,455.0927099,16.02065313,454.9961999,18.45752959,451.5942239,18.96420687,,,,0.48,21844.45007,768.9913503,21839.8176,885.9614201,21676.52275,910.2819297
안암동,11290600,dong,117.5705837,61.31364997,116.1114701,77.07825249,48.5213158,36.29255458,,,,1.33,15636.88763,8154.715446,15442.82552,10251.40758,6453.335001,4826.90976
보문동,11290610,dong,305.9117662,63.0293266,305.2041831,63.97277075,272.2924967,126.1312258,,,,0.56,17131.05891,3529.64229,17091.43425,3582.475162,15248.37982,7063.348646
정릉1동,11290620,dong,442.9860714,23.99236282,432.8718501,25.04373717,425.4701746,31.75150557,,,,0.44,19491.38714,1055.663964,19046.3614,1101.924436,18720.68768,1397.066245
정릉2동,11290630,dong,211.6274978,12.61526447,211.0181892,14.01409992,207.0533917,15.1640628,,,,1.17,24760.41725,1475.985943,24689.12813,1639.64969,24225.24683,1774.195348
정릉3동,11290640,dong,49.54695349,8.993681797,48.88389729,9.358205588,48.81476346,7.651857154,,,,3.71,18381.91975,3336.655947,18135.92589,3471.894273,18110.27725,2838.839004
정릉4동,11290650,dong,73.1703968,7.557467852,72.12306692,7.861705069,70.75265326,6.453598305,,,,3.13,22902.3342,2365.487438,22574.51994,2460.713687,22145.58047,2019.976269
